vamb.spades.298_1_1	K02035
vamb.spades.298_27_4	K02879
vamb.spades.298_27_5	K16786
vamb.spades.298_27_5	K16787

vamb.spades.298_27_6	K16787
vamb.spades.298_27_7	K16783
vamb.spades.298_27_7	K16785

vamb.spades.298_27_8	K06173
vamb.spades.298_27_9	K02871
vamb.spades.298_27_10	K02996
vamb.spades.298_28_3	K00845
vamb.spades.298_28_5	K00705
vamb.spades.298_28_6	K00705
vamb.spades.298_28_7	K09942
vamb.spades.298_28_8	K16149
vamb.spades.298_28_9	K00688
vamb.spades.298_30_3	K08352
vamb.spades.298_31_1	K01533
vamb.spades.298_31_1	K17686

vamb.spades.298_33_3	K01358
vamb.spades.298_33_4	K12574
vamb.spades.298_34_2	K00989
vamb.spades.298_34_2	K02428

vamb.spades.298_34_3	K02428
vamb.spades.298_34_4	K07095
vamb.spades.298_34_5	K03545
vamb.spades.298_34_6	K01358
vamb.spades.298_34_7	K03544
vamb.spades.298_34_8	K06423
vamb.spades.298_34_9	K01338
vamb.spades.298_34_9	K04076

vamb.spades.298_35_1	K05515
vamb.spades.298_35_1	K21467

vamb.spades.298_35_2	K12132
vamb.spades.298_35_3	K06949
vamb.spades.298_35_4	K01783
vamb.spades.298_36_7	K01365
vamb.spades.298_36_7	K01371
vamb.spades.298_36_7	K01372
vamb.spades.298_36_7	K14475
vamb.spades.298_36_7	K20276

vamb.spades.298_37_2	K00259
vamb.spades.298_37_3	K00020
vamb.spades.298_37_3	K00042

vamb.spades.298_38_1	K02013
vamb.spades.298_38_3	K09155
vamb.spades.298_38_4	K03310
vamb.spades.298_38_4	K11626

vamb.spades.298_40_1	K01265
vamb.spades.298_40_3	K02518
vamb.spades.298_40_4	K02919
vamb.spades.298_40_5	K02952
vamb.spades.298_40_6	K02948
vamb.spades.298_41_1	K06297
vamb.spades.298_41_2	K06298
vamb.spades.298_42_6	K02237
vamb.spades.298_43_1	K05837
vamb.spades.298_43_2	K03608
vamb.spades.298_43_3	K03609
vamb.spades.298_43_4	K03610
vamb.spades.298_43_5	K05515
vamb.spades.298_43_6	K03571
vamb.spades.298_43_7	K03570
vamb.spades.298_43_8	K03569
vamb.spades.298_43_9	K06287
vamb.spades.298_44_1	K03605
vamb.spades.298_44_2	K04651
vamb.spades.298_44_3	K04652
vamb.spades.298_44_4	K04656
vamb.spades.298_44_5	K04653
vamb.spades.298_44_6	K04654
vamb.spades.298_44_7	K04655
vamb.spades.298_45_1	K00533
vamb.spades.298_45_2	K00124
vamb.spades.298_46_1	K01933
vamb.spades.298_46_2	K00764
vamb.spades.298_46_3	K01952
vamb.spades.298_46_4	K01952
vamb.spades.298_46_5	K01952
vamb.spades.298_46_6	K01756
vamb.spades.298_46_6	K01923

vamb.spades.298_46_7	K01756
vamb.spades.298_46_8	K01588
vamb.spades.298_46_9	K06901
vamb.spades.298_46_10	K02057
vamb.spades.298_46_11	K02057
vamb.spades.298_47_2	K11069
vamb.spades.298_47_3	K11070
vamb.spades.298_47_4	K11071
vamb.spades.298_47_5	K11072
vamb.spades.298_47_7	K03642
vamb.spades.298_47_10	K03307
vamb.spades.298_47_10	K11928

vamb.spades.298_48_3	K03469
vamb.spades.298_48_5	K16899
vamb.spades.298_48_6	K16898
vamb.spades.298_48_7	K03547
vamb.spades.298_48_8	K03547
vamb.spades.298_48_9	K03546
vamb.spades.298_49_6	K02238
vamb.spades.298_49_8	K03648
vamb.spades.298_49_10	K03798
vamb.spades.298_49_11	K01784
vamb.spades.298_49_14	K03716
vamb.spades.298_49_15	K07727
vamb.spades.298_50_1	K07037
vamb.spades.298_50_2	K07042
vamb.spades.298_50_3	K00887
vamb.spades.298_50_3	K00901

vamb.spades.298_50_5	K01489
vamb.spades.298_50_6	K03595
vamb.spades.298_51_2	K03320
vamb.spades.298_51_2	K06580

vamb.spades.298_52_1	K09157
vamb.spades.298_52_5	K03101
vamb.spades.298_53_1	K06960
vamb.spades.298_53_3	K02860
vamb.spades.298_53_4	K00554
vamb.spades.298_53_6	K02884
vamb.spades.298_53_7	K03100
vamb.spades.298_53_8	K14540
vamb.spades.298_54_1	K03496
vamb.spades.298_54_2	K03497
vamb.spades.298_55_2	K07056
vamb.spades.298_55_4	K06284
vamb.spades.298_56_3	K10112
vamb.spades.298_56_4	K10119
vamb.spades.298_56_5	K10118
vamb.spades.298_57_3	K07460
vamb.spades.298_57_4	K00343
vamb.spades.298_57_5	K00342
vamb.spades.298_57_5	K05575

vamb.spades.298_57_6	K00341
vamb.spades.298_57_7	K00340
vamb.spades.298_57_7	K05576

vamb.spades.298_57_8	K00339
vamb.spades.298_57_8	K05578

vamb.spades.298_57_9	K00338
vamb.spades.298_57_9	K05580

vamb.spades.298_57_10	K00337
vamb.spades.298_57_11	K00333
vamb.spades.298_58_1	K19171
vamb.spades.298_58_4	K01768
vamb.spades.298_58_7	K01387
vamb.spades.298_58_11	K01802
vamb.spades.298_58_11	K03770

vamb.spades.298_58_12	K02022
vamb.spades.298_58_14	K10914
vamb.spades.298_58_17	K07052
vamb.spades.298_58_18	K02548
vamb.spades.298_58_19	K02172
vamb.spades.298_58_32	K19784
vamb.spades.298_58_33	K06911
vamb.spades.298_58_35	K03829
vamb.spades.298_58_37	K03827
vamb.spades.298_59_2	K02051
vamb.spades.298_59_4	K03406
vamb.spades.298_59_5	K01951
vamb.spades.298_59_6	K07238
vamb.spades.298_59_8	K01975
vamb.spades.298_59_9	K11751
vamb.spades.298_60_2	K22278
vamb.spades.298_61_3	K01993
vamb.spades.298_61_4	K01992
vamb.spades.298_61_5	K01992
vamb.spades.298_62_2	K02878
vamb.spades.298_62_3	K02982
vamb.spades.298_62_4	K02890
vamb.spades.298_62_5	K02965
vamb.spades.298_62_6	K02886
vamb.spades.298_62_7	K02892
vamb.spades.298_62_8	K02926
vamb.spades.298_62_9	K02906
vamb.spades.298_62_10	K02946
vamb.spades.298_62_11	K02358
vamb.spades.298_62_12	K02355
vamb.spades.298_62_13	K02992
vamb.spades.298_62_14	K02950
vamb.spades.298_62_15	K07590
vamb.spades.298_62_16	K03046
vamb.spades.298_63_3	K05810
vamb.spades.298_63_6	K02594
vamb.spades.298_63_7	K01681
vamb.spades.298_63_8	K00030
vamb.spades.298_64_1	K01652
vamb.spades.298_64_2	K00053
vamb.spades.298_64_3	K01653
vamb.spades.298_65_1	K11753
vamb.spades.298_65_2	K03177
vamb.spades.298_65_3	K06881
vamb.spades.298_65_4	K02834
vamb.spades.298_65_5	K02519
vamb.spades.298_66_1	K04075
vamb.spades.298_66_2	K06382
vamb.spades.298_66_4	K03498
vamb.spades.298_66_5	K03499
vamb.spades.298_66_6	K03310
vamb.spades.298_67_1	K00052
vamb.spades.298_67_2	K01704
vamb.spades.298_67_3	K01703
vamb.spades.298_67_4	K01649
vamb.spades.298_68_1	K02904
vamb.spades.298_68_2	K02961
vamb.spades.298_68_3	K02874
vamb.spades.298_68_4	K02895
vamb.spades.298_68_5	K02931
vamb.spades.298_68_6	K02954
vamb.spades.298_68_7	K02994
vamb.spades.298_68_8	K02933
vamb.spades.298_68_9	K02881
vamb.spades.298_69_2	K00015
vamb.spades.298_69_2	K00058
vamb.spades.298_69_2	K00090

vamb.spades.298_69_3	K00010
vamb.spades.298_69_3	K16043

vamb.spades.298_71_1	K00858
vamb.spades.298_71_3	K06442
vamb.spades.298_71_4	K01662
vamb.spades.298_71_6	K09775
vamb.spades.298_71_7	K13789
vamb.spades.298_71_8	K03602
vamb.spades.298_71_9	K03601
vamb.spades.298_71_10	K00266
vamb.spades.298_71_11	K00528
vamb.spades.298_71_11	K16951

vamb.spades.298_71_12	K01409
vamb.spades.298_71_13	K03625
vamb.spades.298_71_17	K06397
vamb.spades.298_71_18	K06396
vamb.spades.298_71_19	K06395
vamb.spades.298_72_2	K02051
vamb.spades.298_72_4	K01873
vamb.spades.298_72_5	K11754
vamb.spades.298_73_1	K03385
vamb.spades.298_73_2	K00184
vamb.spades.298_73_3	K00185
vamb.spades.298_74_1	K06405
vamb.spades.298_74_2	K06406
vamb.spades.298_74_3	K06407
vamb.spades.298_74_4	K06407
vamb.spades.298_74_5	K06408
vamb.spades.298_75_1	K01778
vamb.spades.298_76_1	K07456
vamb.spades.298_76_2	K08303
vamb.spades.298_78_1	K05601
vamb.spades.298_78_4	K00176
vamb.spades.298_78_4	K00528
vamb.spades.298_78_4	K03737
vamb.spades.298_78_4	K20449

vamb.spades.298_79_1	K02221
vamb.spades.298_79_2	K00286
vamb.spades.298_79_3	K09772
vamb.spades.298_79_4	K06997
vamb.spades.298_79_6	K00030
vamb.spades.298_80_2	K02395
vamb.spades.298_80_4	K06333
vamb.spades.298_80_5	K06334
vamb.spades.298_81_1	K06398
vamb.spades.298_81_2	K00057
vamb.spades.298_81_3	K08591
vamb.spades.298_81_4	K03977
vamb.spades.298_81_9	K05739
vamb.spades.298_81_10	K06385
vamb.spades.298_81_13	K01823
vamb.spades.298_81_14	K02945
vamb.spades.298_81_14	K03527

vamb.spades.298_81_15	K00655
vamb.spades.298_81_16	K00945
vamb.spades.298_81_17	K03856
vamb.spades.298_81_21	K07007
vamb.spades.298_81_22	K11473
vamb.spades.298_81_23	K00104
vamb.spades.298_81_24	K03303
vamb.spades.298_81_25	K06178
vamb.spades.298_81_26	K06374
vamb.spades.298_81_27	K06373
vamb.spades.298_81_30	K06024
vamb.spades.298_81_31	K05896
vamb.spades.298_81_32	K00970
vamb.spades.298_81_32	K00974

vamb.spades.298_82_3	K04477
vamb.spades.298_82_4	K04477
vamb.spades.298_82_5	K06958
vamb.spades.298_82_7	K09762
vamb.spades.298_83_1	K03664
vamb.spades.298_83_2	K12573
vamb.spades.298_83_4	K03928
vamb.spades.298_83_5	K00020
vamb.spades.298_83_5	K00042

vamb.spades.298_84_2	K01893
vamb.spades.298_85_1	K02238
vamb.spades.298_85_2	K07258
vamb.spades.298_85_3	K02340
vamb.spades.298_86_3	K07301
vamb.spades.298_86_5	K06298
vamb.spades.298_86_9	K09928
vamb.spades.298_86_10	K06208
vamb.spades.298_87_1	K06949
vamb.spades.298_87_3	K02013
vamb.spades.298_87_4	K02015
vamb.spades.298_87_5	K02016
vamb.spades.298_87_6	K07141
vamb.spades.298_87_8	K01464
vamb.spades.298_87_9	K03458
vamb.spades.298_88_3	K01142
vamb.spades.298_88_6	K01654
vamb.spades.298_88_6	K15898

vamb.spades.298_89_1	K01971
vamb.spades.298_89_2	K07238
vamb.spades.298_89_3	K07090
vamb.spades.298_89_4	K07090
vamb.spades.298_90_1	K03769
vamb.spades.298_90_1	K07533

vamb.spades.298_90_2	K03723
vamb.spades.298_90_4	K01056
vamb.spades.298_90_5	K02897
vamb.spades.298_90_6	K00948
vamb.spades.298_90_7	K04042
vamb.spades.298_90_8	K06412
vamb.spades.298_90_9	K09685
vamb.spades.298_90_12	K00919
vamb.spades.298_90_13	K02824
vamb.spades.298_90_15	K02028
vamb.spades.298_90_16	K02029
vamb.spades.298_90_16	K16962

vamb.spades.298_90_17	K02030
vamb.spades.298_90_17	K02424

vamb.spades.298_91_3	K03599
vamb.spades.298_91_7	K03978
vamb.spades.298_91_8	K01338
vamb.spades.298_93_2	K01155
vamb.spades.298_93_3	K06223
vamb.spades.298_94_1	K04024
vamb.spades.298_94_3	K04028
vamb.spades.298_94_4	K00798
vamb.spades.298_94_5	K13922
vamb.spades.298_94_6	K03615
vamb.spades.298_94_8	K00005
vamb.spades.298_94_8	K08317

vamb.spades.298_94_11	K00172
vamb.spades.298_94_12	K00171
vamb.spades.298_94_13	K00169
vamb.spades.298_94_13	K19070

vamb.spades.298_94_14	K00170
vamb.spades.298_94_15	K00483
vamb.spades.298_94_15	K14534

vamb.spades.298_94_16	K00626
vamb.spades.298_94_17	K00074
vamb.spades.298_94_18	K01715
vamb.spades.298_95_2	K07651
vamb.spades.298_95_3	K07775
vamb.spades.298_95_4	K02003
vamb.spades.298_96_5	K13280
vamb.spades.298_97_1	K01258
vamb.spades.298_97_6	K06384
vamb.spades.298_97_7	K03310
vamb.spades.298_97_8	K00176
vamb.spades.298_97_10	K04763
vamb.spades.298_97_11	K01839
vamb.spades.298_97_12	K03783
vamb.spades.298_97_13	K00756
vamb.spades.298_97_15	K07258
vamb.spades.298_97_16	K06378
vamb.spades.298_97_17	K06379
vamb.spades.298_97_18	K03090
vamb.spades.298_97_18	K03091

vamb.spades.298_97_20	K03408
vamb.spades.298_98_1	K03581
vamb.spades.298_99_1	K06213
vamb.spades.298_100_3	K14126
vamb.spades.298_100_4	K14128
vamb.spades.298_100_5	K14127
vamb.spades.298_100_6	K03388
vamb.spades.298_100_7	K03389
vamb.spades.298_100_10	K05799
vamb.spades.298_102_2	K03852
vamb.spades.298_102_3	K00833
vamb.spades.298_102_3	K03851
vamb.spades.298_102_3	K12256
vamb.spades.298_102_3	K15372

vamb.spades.298_103_1	K02226
vamb.spades.298_103_3	K00088
vamb.spades.298_103_5	K03569
vamb.spades.298_103_6	K01585
vamb.spades.298_104_1	K03525
vamb.spades.298_104_2	K05540
vamb.spades.298_104_3	K03706
vamb.spades.298_104_4	K02242
vamb.spades.298_105_2	K03637
vamb.spades.298_105_3	K03639
vamb.spades.298_105_4	K03750
vamb.spades.298_105_4	K07219

vamb.spades.298_106_1	K02483
vamb.spades.298_106_1	K07658
vamb.spades.298_106_1	K07668

vamb.spades.298_106_2	K02040
vamb.spades.298_106_3	K02037
vamb.spades.298_106_4	K02038
vamb.spades.298_106_5	K02036
vamb.spades.298_106_6	K02039
vamb.spades.298_106_7	K07045
vamb.spades.298_106_10	K00015
vamb.spades.298_106_12	K01992
vamb.spades.298_106_13	K01990
vamb.spades.298_106_14	K01990
vamb.spades.298_106_15	K01993
vamb.spades.298_106_19	K07080
vamb.spades.298_106_21	K04518
vamb.spades.298_106_21	K14170

vamb.spades.298_107_4	K03118
vamb.spades.298_109_1	K02116
vamb.spades.298_109_2	K01791
vamb.spades.298_110_1	K00010
vamb.spades.298_110_1	K16043

vamb.spades.298_110_3	K01470
vamb.spades.298_110_4	K03392
vamb.spades.298_110_5	K15977
vamb.spades.298_110_5	K16937

vamb.spades.298_111_2	K00991
vamb.spades.298_111_3	K01770
vamb.spades.298_111_3	K12506

vamb.spades.298_111_4	K09698
vamb.spades.298_111_5	K00640
vamb.spades.298_111_6	K01883
vamb.spades.298_111_7	K11145
vamb.spades.298_111_8	K00560
vamb.spades.298_111_9	K00287
vamb.spades.298_111_10	K03218
vamb.spades.298_111_11	K06962
vamb.spades.298_111_12	K03091
vamb.spades.298_112_1	K01524
vamb.spades.298_112_2	K07570
vamb.spades.298_112_2	K07571

vamb.spades.298_112_3	K05589
vamb.spades.298_112_7	K06381
vamb.spades.298_112_9	K03530
vamb.spades.298_112_10	K02428
vamb.spades.298_112_10	K02499

vamb.spades.298_113_2	K05592
vamb.spades.298_113_3	K04487
vamb.spades.298_113_4	K03151
vamb.spades.298_114_1	K07080
vamb.spades.298_115_1	K00027
vamb.spades.298_116_2	K01725
vamb.spades.298_116_3	K07168
vamb.spades.298_117_1	K01582
vamb.spades.298_118_4	K07720
vamb.spades.298_118_7	K06113
vamb.spades.298_118_7	K12685

vamb.spades.298_119_2	K03855
vamb.spades.298_119_3	K00313
vamb.spades.298_119_4	K03522
vamb.spades.298_119_5	K03521
vamb.spades.298_119_7	K04486
vamb.spades.298_119_8	K01409
vamb.spades.298_119_9	K03789
vamb.spades.298_119_10	K14742
vamb.spades.298_119_11	K06925
vamb.spades.298_119_12	K02490
vamb.spades.298_119_15	K06959
vamb.spades.298_119_17	K07010
vamb.spades.298_119_18	K07171
vamb.spades.298_119_19	K07723
vamb.spades.298_120_3	K04757
vamb.spades.298_121_3	K09710
vamb.spades.298_121_4	K00969
vamb.spades.298_123_2	K03657
vamb.spades.298_123_3	K03657
vamb.spades.298_123_4	K07043
vamb.spades.298_124_1	K04024
vamb.spades.298_124_2	K15024
vamb.spades.298_124_7	K06122
vamb.spades.298_124_7	K13920

vamb.spades.298_124_8	K13919
vamb.spades.298_124_9	K01699
vamb.spades.298_124_9	K06120

vamb.spades.298_125_1	K06337
vamb.spades.298_125_6	K01181
vamb.spades.298_125_6	K12065

vamb.spades.298_126_6	K01012
vamb.spades.298_126_7	K03150
vamb.spades.298_126_7	K03650

vamb.spades.298_126_8	K03150
vamb.spades.298_127_4	K03826
vamb.spades.298_128_2	K01524
vamb.spades.298_129_1	K09776
vamb.spades.298_129_2	K01449
vamb.spades.298_129_4	K06436
vamb.spades.298_129_7	K06387
vamb.spades.298_129_8	K22010
vamb.spades.298_129_9	K01915
vamb.spades.298_129_12	K01740
vamb.spades.298_129_13	K00651
vamb.spades.298_129_14	K00548
vamb.spades.298_129_15	K00297
vamb.spades.298_130_1	K16923
vamb.spades.298_130_2	K00375
vamb.spades.298_131_5	K01534
vamb.spades.298_132_3	K02654
vamb.spades.298_132_4	K02650
vamb.spades.298_132_5	K02653
vamb.spades.298_132_6	K02669
vamb.spades.298_132_7	K02652
vamb.spades.298_132_8	K00891
vamb.spades.298_133_1	K06409
vamb.spades.298_133_2	K03787
vamb.spades.298_133_3	K03100
vamb.spades.298_134_3	K00390
vamb.spades.298_135_1	K01754
vamb.spades.298_135_2	K00198
vamb.spades.298_135_3	K00821
vamb.spades.298_135_3	K09251

vamb.spades.298_135_4	K01938
vamb.spades.298_135_5	K00812
vamb.spades.298_135_5	K10907

vamb.spades.298_137_5	K07164
vamb.spades.298_137_7	K06967
vamb.spades.298_139_1	K15876
vamb.spades.298_139_2	K03385
vamb.spades.298_140_1	K04655
vamb.spades.298_140_5	K12410
vamb.spades.298_141_4	K08221
vamb.spades.298_141_4	K19578

vamb.spades.298_141_7	K06296
vamb.spades.298_141_8	K06296
vamb.spades.298_142_2	K18231
vamb.spades.298_142_6	K10947
vamb.spades.298_142_7	K02194
vamb.spades.298_143_1	K01775
vamb.spades.298_143_2	K17758
vamb.spades.298_143_2	K17759

vamb.spades.298_143_3	K00997
vamb.spades.298_143_4	K03431
vamb.spades.298_143_6	K18672
vamb.spades.298_143_14	K04562
vamb.spades.298_143_16	K01448
vamb.spades.298_143_17	K13653
vamb.spades.298_143_19	K01759
vamb.spades.298_144_4	K07053
vamb.spades.298_145_1	K01955
vamb.spades.298_145_2	K03307
vamb.spades.298_145_2	K11928

vamb.spades.298_145_5	K06131
vamb.spades.298_145_6	K06147
vamb.spades.298_145_7	K06147
vamb.spades.298_145_9	K01779
vamb.spades.298_146_1	K04075
vamb.spades.298_146_2	K03798
vamb.spades.298_146_3	K00940
vamb.spades.298_146_4	K00832
vamb.spades.298_146_5	K18700
vamb.spades.298_148_1	K01585
vamb.spades.298_148_2	K06168
vamb.spades.298_148_4	K03555
vamb.spades.298_149_1	K01738
vamb.spades.298_149_2	K03091
vamb.spades.298_149_5	K03708
vamb.spades.298_150_1	K03706
vamb.spades.298_150_2	K03667
vamb.spades.298_150_3	K01419
vamb.spades.298_150_4	K03733
vamb.spades.298_150_4	K04763

vamb.spades.298_150_5	K04094
vamb.spades.298_150_6	K03168
vamb.spades.298_150_7	K04096
vamb.spades.298_151_1	K05366
vamb.spades.298_151_1	K12555

vamb.spades.298_152_1	K07005
vamb.spades.298_152_2	K06990
vamb.spades.298_152_3	K06894
vamb.spades.298_153_3	K06206
vamb.spades.298_153_6	K02315
vamb.spades.298_153_8	K00382
vamb.spades.298_153_11	K03925
vamb.spades.298_153_12	K03438
vamb.spades.298_153_14	K08384
vamb.spades.298_153_15	K01928
vamb.spades.298_154_5	K07090
vamb.spades.298_154_10	K01923
vamb.spades.298_156_1	K07673
vamb.spades.298_156_4	K00384
vamb.spades.298_156_6	K01537
vamb.spades.298_157_4	K00567
vamb.spades.298_159_3	K03451
vamb.spades.298_159_4	K04027
vamb.spades.298_159_6	K00132
vamb.spades.298_159_8	K04030
vamb.spades.298_159_11	K04028
vamb.spades.298_159_13	K04024
vamb.spades.298_159_15	K04029
vamb.spades.298_160_1	K06027
vamb.spades.298_160_2	K03742
vamb.spades.298_160_2	K03743

vamb.spades.298_161_1	K01953
vamb.spades.298_162_1	K04065
vamb.spades.298_162_3	K04771
vamb.spades.298_162_4	K00783
vamb.spades.298_163_3	K10914
vamb.spades.298_163_3	K21558

vamb.spades.298_163_6	K01990
vamb.spades.298_163_6	K19340

vamb.spades.298_163_7	K01992
vamb.spades.298_165_1	K13993
vamb.spades.298_165_2	K01507
vamb.spades.298_165_3	K03311
vamb.spades.298_166_4	K17103
vamb.spades.298_166_5	K03722
vamb.spades.298_167_4	K00052
vamb.spades.298_168_4	K05521
vamb.spades.298_170_1	K04771
vamb.spades.298_170_4	K07636
vamb.spades.298_171_1	K00334
vamb.spades.298_171_1	K18330
vamb.spades.298_171_1	K22340

vamb.spades.298_171_2	K17992
vamb.spades.298_171_3	K00335
vamb.spades.298_171_3	K18331
vamb.spades.298_171_3	K22339

vamb.spades.298_171_4	K00336
vamb.spades.298_171_4	K18332

vamb.spades.298_171_5	K07150
vamb.spades.298_172_1	K00805
vamb.spades.298_172_1	K02523

vamb.spades.298_173_1	K03665
vamb.spades.298_173_3	K06413
vamb.spades.298_174_1	K02503
vamb.spades.298_174_2	K18707
vamb.spades.298_174_3	K09761
vamb.spades.298_175_1	K01756
vamb.spades.298_175_1	K01857

vamb.spades.298_175_5	K07793
vamb.spades.298_176_1	K07698
vamb.spades.298_176_2	K03183
vamb.spades.298_176_4	K00215
vamb.spades.298_177_1	K00806
vamb.spades.298_177_2	K07137
vamb.spades.298_178_1	K00951
vamb.spades.298_178_2	K00759
vamb.spades.298_178_3	K07462
vamb.spades.298_179_1	K00113
vamb.spades.298_179_2	K00112
vamb.spades.298_179_3	K00111
vamb.spades.298_179_4	K00864
vamb.spades.298_181_3	K07088
vamb.spades.298_181_4	K07149
vamb.spades.298_182_3	K01687
vamb.spades.298_183_1	K00332
vamb.spades.298_183_2	K00331
vamb.spades.298_183_3	K00330
vamb.spades.298_183_4	K03470
vamb.spades.298_183_5	K14540
vamb.spades.298_184_1	K01928
vamb.spades.298_184_2	K01929
vamb.spades.298_184_3	K01000
vamb.spades.298_184_4	K01925
vamb.spades.298_184_5	K03588
vamb.spades.298_184_6	K02563
vamb.spades.298_184_7	K01924
vamb.spades.298_184_8	K00075
vamb.spades.298_184_9	K00790
vamb.spades.298_184_10	K03589
vamb.spades.298_184_11	K03531
vamb.spades.298_185_1	K02548
vamb.spades.298_185_2	K02051
vamb.spades.298_185_3	K02049
vamb.spades.298_185_4	K02050
vamb.spades.298_185_5	K00868
vamb.spades.298_187_2	K02837
vamb.spades.298_187_4	K03711
vamb.spades.298_187_4	K09825

vamb.spades.298_187_7	K02003
vamb.spades.298_187_9	K02004
vamb.spades.298_187_16	K03794
vamb.spades.298_187_16	K03795

vamb.spades.298_187_17	K04757
vamb.spades.298_187_18	K03090
vamb.spades.298_187_21	K07399
vamb.spades.298_188_1	K05363
vamb.spades.298_188_1	K11693

vamb.spades.298_188_2	K01937
vamb.spades.298_188_3	K01887
vamb.spades.298_189_4	K00826
vamb.spades.298_189_4	K02619

vamb.spades.298_189_5	K01258
vamb.spades.298_189_5	K01263

vamb.spades.298_190_1	K00656
vamb.spades.298_190_1	K20038

vamb.spades.298_190_2	K20037
vamb.spades.298_190_3	K04031
vamb.spades.298_190_4	K04029
vamb.spades.298_191_1	K07813
vamb.spades.298_191_4	K16950
vamb.spades.298_193_2	K02398
vamb.spades.298_193_4	K02396
vamb.spades.298_193_5	K02397
vamb.spades.298_193_7	K13626
vamb.spades.298_193_8	K03563
vamb.spades.298_193_9	K06603
vamb.spades.298_193_10	K02407
vamb.spades.298_194_4	K01989
vamb.spades.298_196_1	K03324
vamb.spades.298_196_2	K01921
vamb.spades.298_196_5	K03310
vamb.spades.298_196_6	K05837
vamb.spades.298_197_1	K07043
vamb.spades.298_197_2	K03298
vamb.spades.298_198_1	K02049
vamb.spades.298_198_1	K15555

vamb.spades.298_198_2	K03710
vamb.spades.298_198_3	K15987
vamb.spades.298_199_3	K00104
vamb.spades.298_199_4	K11473
vamb.spades.298_199_5	K03976
vamb.spades.298_199_6	K01611
vamb.spades.298_199_7	K03321
vamb.spades.298_199_11	K02569
vamb.spades.298_199_11	K03532
vamb.spades.298_199_11	K15876

vamb.spades.298_199_13	K01733
vamb.spades.298_200_1	K02479
vamb.spades.298_200_1	K07684

vamb.spades.298_201_2	K06969
vamb.spades.298_202_1	K07742
vamb.spades.298_202_2	K02600
vamb.spades.298_202_3	K09748
vamb.spades.298_202_4	K03763
vamb.spades.298_202_5	K03763
vamb.spades.298_202_6	K07507
vamb.spades.298_202_8	K01881
vamb.spades.298_202_9	K03526
vamb.spades.298_202_10	K11749
vamb.spades.298_203_1	K02838
vamb.spades.298_203_2	K09903
vamb.spades.298_203_3	K02357
vamb.spades.298_204_1	K19701
vamb.spades.298_204_2	K06897
vamb.spades.298_204_3	K03282
vamb.spades.298_204_7	K00001
vamb.spades.298_205_4	K17686
vamb.spades.298_206_2	K03980
vamb.spades.298_206_4	K06385
