metabat2.megahit.33_1_8	K04085
metabat2.megahit.33_14_60	K01945
metabat2.megahit.33_14_61	K01938
metabat2.megahit.33_14_64	K07216
metabat2.megahit.33_14_65	K03409
metabat2.megahit.33_14_66	K03657
metabat2.megahit.33_14_67	K01972
metabat2.megahit.33_14_68	K02435
metabat2.megahit.33_14_69	K02433
metabat2.megahit.33_14_70	K02434
metabat2.megahit.33_14_72	K04655
metabat2.megahit.33_14_73	K01448
metabat2.megahit.33_14_75	K06298
metabat2.megahit.33_14_76	K02428
metabat2.megahit.33_14_77	K07095
metabat2.megahit.33_14_78	K03324
metabat2.megahit.33_14_79	K00784
metabat2.megahit.33_14_80	K01778
metabat2.megahit.33_14_83	K00286
metabat2.megahit.33_14_86	K01990
metabat2.megahit.33_14_87	K01992
metabat2.megahit.33_14_88	K02030
metabat2.megahit.33_15_1	K06411
metabat2.megahit.33_16_3	K01921
metabat2.megahit.33_16_4	K01929
metabat2.megahit.33_17_1	K01835
metabat2.megahit.33_17_1	K01840

metabat2.megahit.33_17_2	K00528
metabat2.megahit.33_17_2	K16951

metabat2.megahit.33_17_3	K00123
metabat2.megahit.33_17_3	K00266

metabat2.megahit.33_17_8	K01752
metabat2.megahit.33_17_9	K01752
metabat2.megahit.33_17_10	K00806
metabat2.megahit.33_17_15	K02004
metabat2.megahit.33_17_16	K02003
metabat2.megahit.33_17_19	K14475
metabat2.megahit.33_17_20	K03547
metabat2.megahit.33_17_22	K07099
metabat2.megahit.33_17_23	K02564
metabat2.megahit.33_17_24	K05873
metabat2.megahit.33_17_26	K03568
metabat2.megahit.33_17_27	K03592
metabat2.megahit.33_17_29	K01007
metabat2.megahit.33_17_30	K04023
metabat2.megahit.33_17_31	K01262
metabat2.megahit.33_17_33	K03703
metabat2.megahit.33_17_34	K03973
metabat2.megahit.33_17_35	K03737
metabat2.megahit.33_17_36	K00075
metabat2.megahit.33_17_37	K04477
metabat2.megahit.33_17_38	K06958
metabat2.megahit.33_17_43	K09762
metabat2.megahit.33_17_45	K02337
metabat2.megahit.33_17_45	K14162

metabat2.megahit.33_17_47	K00850
metabat2.megahit.33_17_48	K00873
metabat2.megahit.33_17_49	K07079
metabat2.megahit.33_17_51	K10670
metabat2.megahit.33_18_1	K02358
metabat2.megahit.33_18_2	K03091
metabat2.megahit.33_18_3	K06962
metabat2.megahit.33_18_4	K03218
metabat2.megahit.33_18_5	K03465
metabat2.megahit.33_18_6	K11145
metabat2.megahit.33_18_7	K01883
metabat2.megahit.33_18_8	K01885
metabat2.megahit.33_18_8	K09698

metabat2.megahit.33_18_10	K01881
metabat2.megahit.33_18_11	K01770
metabat2.megahit.33_18_11	K12506

metabat2.megahit.33_18_12	K00991
metabat2.megahit.33_18_14	K07736
metabat2.megahit.33_18_16	K04485
metabat2.megahit.33_18_17	K03696
metabat2.megahit.33_18_18	K19405
metabat2.megahit.33_18_19	K19411
metabat2.megahit.33_18_20	K03708
metabat2.megahit.33_18_21	K02355
metabat2.megahit.33_18_22	K00817
metabat2.megahit.33_18_24	K00928
metabat2.megahit.33_18_25	K00940
metabat2.megahit.33_18_26	K03652
metabat2.megahit.33_18_28	K01724
metabat2.megahit.33_18_29	K03406
metabat2.megahit.33_18_30	K03406
metabat2.megahit.33_18_31	K03406
metabat2.megahit.33_18_33	K12410
metabat2.megahit.33_18_39	K01266
metabat2.megahit.33_18_41	K06206
metabat2.megahit.33_18_42	K07719
metabat2.megahit.33_18_43	K07717
metabat2.megahit.33_18_44	K03310
metabat2.megahit.33_18_46	K07088
metabat2.megahit.33_18_47	K11210
metabat2.megahit.33_18_47	K21252

metabat2.megahit.33_18_48	K01739
metabat2.megahit.33_18_48	K01761

metabat2.megahit.33_18_50	K01834
metabat2.megahit.33_18_51	K00876
metabat2.megahit.33_18_55	K01870
metabat2.megahit.33_18_57	K07007
metabat2.megahit.33_18_58	K02824
metabat2.megahit.33_19_1	K03325
metabat2.megahit.33_19_2	K03892
metabat2.megahit.33_20_2	K07098
metabat2.megahit.33_20_3	K07025
metabat2.megahit.33_20_4	K01989
metabat2.megahit.33_21_2	K06878
metabat2.megahit.33_21_4	K01442
metabat2.megahit.33_21_6	K07238
metabat2.megahit.33_22_1	K02390
metabat2.megahit.33_22_3	K02389
metabat2.megahit.33_22_4	K02414
metabat2.megahit.33_22_7	K02412
metabat2.megahit.33_22_7	K03224

metabat2.megahit.33_22_8	K02411
metabat2.megahit.33_22_9	K02410
metabat2.megahit.33_22_10	K02409
metabat2.megahit.33_22_11	K02408
metabat2.megahit.33_22_12	K02388
metabat2.megahit.33_22_13	K02387
metabat2.megahit.33_22_14	K03706
metabat2.megahit.33_22_15	K03168
metabat2.megahit.33_22_16	K04096
metabat2.megahit.33_22_17	K07391
metabat2.megahit.33_22_18	K07460
metabat2.megahit.33_22_19	K04061
metabat2.megahit.33_22_21	K03470
metabat2.megahit.33_22_22	K14540
metabat2.megahit.33_22_23	K02884
metabat2.megahit.33_22_24	K00554
metabat2.megahit.33_22_25	K02860
metabat2.megahit.33_22_26	K06960
metabat2.megahit.33_22_27	K02959
metabat2.megahit.33_22_28	K03106
metabat2.megahit.33_22_29	K09787
metabat2.megahit.33_22_30	K03110
metabat2.megahit.33_22_31	K03529
metabat2.megahit.33_22_33	K03685
metabat2.megahit.33_22_34	K02078
metabat2.megahit.33_22_35	K03621
metabat2.megahit.33_22_36	K02911
metabat2.megahit.33_22_37	K07040
metabat2.megahit.33_22_38	K00925
metabat2.megahit.33_22_42	K00954
metabat2.megahit.33_22_43	K08316
metabat2.megahit.33_22_44	K03655
metabat2.megahit.33_22_45	K07030
metabat2.megahit.33_22_47	K02902
metabat2.megahit.33_22_49	K00949
metabat2.megahit.33_22_50	K16789
metabat2.megahit.33_22_51	K01783
metabat2.megahit.33_22_52	K06949
metabat2.megahit.33_22_53	K12132
metabat2.megahit.33_22_54	K20074
metabat2.megahit.33_22_55	K06941
metabat2.megahit.33_22_56	K03500
metabat2.megahit.33_22_57	K06973
metabat2.megahit.33_22_58	K00604
metabat2.megahit.33_22_59	K01462
metabat2.megahit.33_22_60	K04066
metabat2.megahit.33_22_61	K01598
metabat2.megahit.33_22_61	K13038

metabat2.megahit.33_22_62	K03060
metabat2.megahit.33_22_63	K00942
metabat2.megahit.33_22_64	K09777
metabat2.megahit.33_22_67	K02825
metabat2.megahit.33_22_68	K06180
metabat2.megahit.33_22_69	K03101
metabat2.megahit.33_22_71	K01626
metabat2.megahit.33_22_71	K03856
metabat2.megahit.33_22_71	K13853

metabat2.megahit.33_22_72	K04074
metabat2.megahit.33_22_74	K02221
metabat2.megahit.33_22_75	K09772
metabat2.megahit.33_22_76	K06997
metabat2.megahit.33_22_81	K03798
metabat2.megahit.33_22_82	K03798
metabat2.megahit.33_22_83	K06398
metabat2.megahit.33_22_84	K00057
metabat2.megahit.33_22_85	K08591
metabat2.megahit.33_22_86	K03977
metabat2.megahit.33_22_88	K00600
metabat2.megahit.33_22_91	K21600
metabat2.megahit.33_22_92	K03803
metabat2.megahit.33_22_93	K22132
metabat2.megahit.33_22_94	K01876
metabat2.megahit.33_22_97	K07560
metabat2.megahit.33_22_98	K00951
metabat2.megahit.33_22_99	K07462
metabat2.megahit.33_22_101	K03210
metabat2.megahit.33_22_102	K00773
metabat2.megahit.33_22_103	K07568
metabat2.megahit.33_22_104	K06381
metabat2.megahit.33_22_105	K03551
metabat2.megahit.33_22_106	K03550
metabat2.megahit.33_22_107	K01159
metabat2.megahit.33_22_115	K01914
metabat2.megahit.33_23_7	K03664
metabat2.megahit.33_23_8	K12573
metabat2.megahit.33_23_9	K01921
metabat2.megahit.33_23_10	K01929
metabat2.megahit.33_23_11	K00433
metabat2.megahit.33_23_12	K15987
metabat2.megahit.33_23_13	K03075
metabat2.megahit.33_23_14	K01689
metabat2.megahit.33_23_15	K15633
metabat2.megahit.33_23_16	K01803
metabat2.megahit.33_23_17	K00927
metabat2.megahit.33_23_17	K01803

metabat2.megahit.33_23_18	K00134
metabat2.megahit.33_23_19	K05311
metabat2.megahit.33_23_20	K03092
metabat2.megahit.33_23_21	K02057
metabat2.megahit.33_23_22	K02057
metabat2.megahit.33_23_23	K02056
metabat2.megahit.33_23_24	K07335
metabat2.megahit.33_23_25	K21576
metabat2.megahit.33_23_26	K21577
metabat2.megahit.33_23_27	K10672
metabat2.megahit.33_23_28	K10672
metabat2.megahit.33_23_29	K10670
metabat2.megahit.33_24_1	K10823
metabat2.megahit.33_24_2	K15583
metabat2.megahit.33_24_3	K15582
metabat2.megahit.33_24_4	K02033
metabat2.megahit.33_24_4	K15581

metabat2.megahit.33_24_5	K02035
metabat2.megahit.33_24_5	K15580

metabat2.megahit.33_24_6	K19802
metabat2.megahit.33_24_7	K08641
metabat2.megahit.33_24_8	K16203
metabat2.megahit.33_24_9	K01586
metabat2.megahit.33_24_10	K01436
metabat2.megahit.33_24_13	K10914
metabat2.megahit.33_24_13	K21562

metabat2.megahit.33_24_14	K02030
metabat2.megahit.33_24_15	K02030
metabat2.megahit.33_24_16	K01620
metabat2.megahit.33_24_17	K08591
metabat2.megahit.33_24_18	K03406
metabat2.megahit.33_24_19	K03406
metabat2.megahit.33_24_20	K03406
metabat2.megahit.33_24_21	K05592
metabat2.megahit.33_25_1	K03733
metabat2.megahit.33_25_1	K04763

metabat2.megahit.33_25_3	K01356
metabat2.megahit.33_25_5	K03666
metabat2.megahit.33_25_6	K00791
metabat2.megahit.33_25_7	K03572
metabat2.megahit.33_25_8	K03555
metabat2.megahit.33_25_9	K06168
metabat2.megahit.33_25_10	K00812
metabat2.megahit.33_25_12	K01179
metabat2.megahit.33_25_13	K01179
metabat2.megahit.33_25_15	K00575
metabat2.megahit.33_25_16	K02945
metabat2.megahit.33_25_16	K03527

metabat2.megahit.33_25_17	K00655
metabat2.megahit.33_25_18	K00945
metabat2.megahit.33_25_19	K06208
metabat2.megahit.33_25_20	K07007
metabat2.megahit.33_25_21	K02226
metabat2.megahit.33_25_21	K22305

metabat2.megahit.33_25_23	K00177
metabat2.megahit.33_25_24	K00175
metabat2.megahit.33_25_25	K00174
metabat2.megahit.33_25_26	K00176
metabat2.megahit.33_25_27	K01571
metabat2.megahit.33_25_30	K06178
metabat2.megahit.33_25_30	K06183

metabat2.megahit.33_25_31	K07258
metabat2.megahit.33_25_34	K06024
metabat2.megahit.33_25_35	K05896
metabat2.megahit.33_25_37	K07258
metabat2.megahit.33_25_38	K00756
metabat2.megahit.33_25_38	K00758

metabat2.megahit.33_25_39	K03783
metabat2.megahit.33_25_40	K04763
metabat2.megahit.33_25_41	K06384
metabat2.megahit.33_25_42	K01515
metabat2.megahit.33_25_48	K07699
metabat2.megahit.33_25_49	K06399
metabat2.megahit.33_25_50	K03631
metabat2.megahit.33_25_51	K06442
metabat2.megahit.33_25_52	K13789
metabat2.megahit.33_25_53	K03602
metabat2.megahit.33_25_54	K03601
metabat2.megahit.33_25_55	K03625
metabat2.megahit.33_25_57	K06397
metabat2.megahit.33_25_58	K06396
metabat2.megahit.33_25_59	K06395
metabat2.megahit.33_25_60	K06394
metabat2.megahit.33_25_61	K06393
metabat2.megahit.33_25_62	K06392
metabat2.megahit.33_25_63	K06391
metabat2.megahit.33_25_64	K06390
metabat2.megahit.33_25_66	K02356
metabat2.megahit.33_25_67	K03786
metabat2.megahit.33_25_68	K03785
metabat2.megahit.33_25_69	K02241
metabat2.megahit.33_25_75	K02664
metabat2.megahit.33_27_1	K02933
metabat2.megahit.33_27_2	K02994
metabat2.megahit.33_27_3	K02954
metabat2.megahit.33_27_4	K02931
metabat2.megahit.33_27_5	K02895
metabat2.megahit.33_27_6	K02874
metabat2.megahit.33_27_7	K02961
metabat2.megahit.33_27_8	K02904
metabat2.megahit.33_27_9	K02878
metabat2.megahit.33_27_10	K02982
metabat2.megahit.33_27_11	K02890
metabat2.megahit.33_27_12	K02965
metabat2.megahit.33_27_13	K02886
metabat2.megahit.33_27_14	K02892
metabat2.megahit.33_27_15	K02926
metabat2.megahit.33_27_16	K02906
metabat2.megahit.33_27_17	K02946
metabat2.megahit.33_27_18	K02358
metabat2.megahit.33_28_1	K02015
metabat2.megahit.33_28_2	K02015
metabat2.megahit.33_28_3	K02016
metabat2.megahit.33_28_4	K01142
metabat2.megahit.33_28_6	K13653
metabat2.megahit.33_28_7	K01867
metabat2.megahit.33_28_10	K07636
metabat2.megahit.33_28_10	K07652

metabat2.megahit.33_28_11	K07658
metabat2.megahit.33_28_12	K07507
metabat2.megahit.33_28_13	K07793
metabat2.megahit.33_28_15	K07795
metabat2.megahit.33_28_18	K03215
metabat2.megahit.33_28_19	K09861
metabat2.megahit.33_28_20	K07464
metabat2.megahit.33_28_20	K10844

metabat2.megahit.33_28_21	K07010
metabat2.megahit.33_28_22	K02012
metabat2.megahit.33_28_23	K02010
metabat2.megahit.33_28_26	K00033
metabat2.megahit.33_28_27	K03270
metabat2.megahit.33_28_29	K19091
metabat2.megahit.33_28_33	K00161
metabat2.megahit.33_28_33	K21416

metabat2.megahit.33_28_34	K00162
metabat2.megahit.33_28_34	K21417

metabat2.megahit.33_28_35	K00627
metabat2.megahit.33_29_4	K00244
metabat2.megahit.33_29_9	K18013
metabat2.megahit.33_29_10	K00074
metabat2.megahit.33_29_10	K17735

metabat2.megahit.33_29_12	K01921
metabat2.megahit.33_30_3	K06295
metabat2.megahit.33_30_4	K06297
metabat2.megahit.33_30_5	K06296
metabat2.megahit.33_30_6	K10914
metabat2.megahit.33_30_8	K01273
metabat2.megahit.33_30_11	K03406
metabat2.megahit.33_30_13	K02051
metabat2.megahit.33_30_14	K00995
metabat2.megahit.33_30_14	K08744

metabat2.megahit.33_30_15	K01873
metabat2.megahit.33_30_16	K11754
metabat2.megahit.33_30_19	K06418
