metabat1.spades.2_2_1	K00791
metabat1.spades.2_24_36	K03043
metabat1.spades.2_24_37	K03046
metabat1.spades.2_24_38	K07590
metabat1.spades.2_24_39	K02950
metabat1.spades.2_24_40	K02992
metabat1.spades.2_24_41	K02355
metabat1.spades.2_24_42	K02358
metabat1.spades.2_24_43	K02946
metabat1.spades.2_24_44	K02906
metabat1.spades.2_24_45	K02926
metabat1.spades.2_24_46	K02892
metabat1.spades.2_24_47	K02886
metabat1.spades.2_24_48	K02965
metabat1.spades.2_24_49	K02890
metabat1.spades.2_24_50	K02982
metabat1.spades.2_24_51	K02878
metabat1.spades.2_24_52	K02904
metabat1.spades.2_24_53	K02961
metabat1.spades.2_24_54	K02874
metabat1.spades.2_24_55	K02895
metabat1.spades.2_24_56	K02931
metabat1.spades.2_24_57	K02954
metabat1.spades.2_24_58	K02994
metabat1.spades.2_24_59	K02933
metabat1.spades.2_24_60	K02881
metabat1.spades.2_24_61	K02988
metabat1.spades.2_24_62	K02907
metabat1.spades.2_24_63	K02876
metabat1.spades.2_24_64	K03076
metabat1.spades.2_24_65	K00939
metabat1.spades.2_24_67	K02518
metabat1.spades.2_24_68	K02952
metabat1.spades.2_24_69	K02948
metabat1.spades.2_24_70	K02986
metabat1.spades.2_24_71	K03040
metabat1.spades.2_24_72	K02879
metabat1.spades.2_24_73	K16786
metabat1.spades.2_24_73	K16787

metabat1.spades.2_24_74	K16786
metabat1.spades.2_24_74	K16787

metabat1.spades.2_24_75	K16783
metabat1.spades.2_24_75	K16785

metabat1.spades.2_24_76	K06173
metabat1.spades.2_24_77	K02871
metabat1.spades.2_24_78	K02996
metabat1.spades.2_24_83	K01448
metabat1.spades.2_24_84	K00605
metabat1.spades.2_24_85	K02437
metabat1.spades.2_24_86	K00282
metabat1.spades.2_24_87	K00283
metabat1.spades.2_24_88	K00382
metabat1.spades.2_24_90	K15022
metabat1.spades.2_24_91	K00336
metabat1.spades.2_24_92	K02051
metabat1.spades.2_24_93	K02050
metabat1.spades.2_24_94	K02049
metabat1.spades.2_24_95	K06147
metabat1.spades.2_24_96	K06147
metabat1.spades.2_24_97	K07137
metabat1.spades.2_24_101	K06418
metabat1.spades.2_24_101	K06419
metabat1.spades.2_24_101	K06420
metabat1.spades.2_24_101	K06421

metabat1.spades.2_24_102	K15580
metabat1.spades.2_24_103	K15581
metabat1.spades.2_24_104	K02034
metabat1.spades.2_24_104	K15582

metabat1.spades.2_24_105	K15583
metabat1.spades.2_24_106	K10823
metabat1.spades.2_24_108	K06333
metabat1.spades.2_24_109	K06334
metabat1.spades.2_24_113	K07282
metabat1.spades.2_24_114	K18672
metabat1.spades.2_24_116	K00634
metabat1.spades.2_24_117	K00929
metabat1.spades.2_24_119	K00176
metabat1.spades.2_24_120	K00174
metabat1.spades.2_24_121	K00175
metabat1.spades.2_24_122	K00177
metabat1.spades.2_24_123	K04940
metabat1.spades.2_24_126	K02372
metabat1.spades.2_24_127	K00648
metabat1.spades.2_24_128	K02371
metabat1.spades.2_24_129	K00645
metabat1.spades.2_24_130	K00059
metabat1.spades.2_24_131	K02078
metabat1.spades.2_24_132	K09458
metabat1.spades.2_24_133	K00970
metabat1.spades.2_24_133	K00974

metabat1.spades.2_24_134	K03431
metabat1.spades.2_24_135	K02035
metabat1.spades.2_24_135	K15584

metabat1.spades.2_24_136	K02033
metabat1.spades.2_24_137	K02034
metabat1.spades.2_24_138	K02031
metabat1.spades.2_24_139	K02032
metabat1.spades.2_24_139	K10823

metabat1.spades.2_24_141	K03545
metabat1.spades.2_24_142	K01358
metabat1.spades.2_24_143	K03544
metabat1.spades.2_24_144	K01338
metabat1.spades.2_24_145	K03978
metabat1.spades.2_24_147	K04757
metabat1.spades.2_24_148	K06207
metabat1.spades.2_24_150	K00826
metabat1.spades.2_24_152	K01990
metabat1.spades.2_24_154	K06013
metabat1.spades.2_24_155	K03086
metabat1.spades.2_24_158	K02346
metabat1.spades.2_24_162	K01928
metabat1.spades.2_24_165	K01990
metabat1.spades.2_24_166	K01992
metabat1.spades.2_25_1	K01915
metabat1.spades.2_25_2	K03713
metabat1.spades.2_25_2	K15580

metabat1.spades.2_25_4	K03665
metabat1.spades.2_25_5	K06413
metabat1.spades.2_26_2	K03088
metabat1.spades.2_26_6	K20461
metabat1.spades.2_26_7	K20460
metabat1.spades.2_26_8	K01990
metabat1.spades.2_26_8	K20459

metabat1.spades.2_27_1	K00104
metabat1.spades.2_27_2	K02051
metabat1.spades.2_27_3	K01485
metabat1.spades.2_27_4	K01485
metabat1.spades.2_27_5	K03809
metabat1.spades.2_27_6	K00087
metabat1.spades.2_27_6	K07402

metabat1.spades.2_28_1	K03706
metabat1.spades.2_28_2	K03667
metabat1.spades.2_28_3	K01419
metabat1.spades.2_28_4	K03733
metabat1.spades.2_28_4	K04763

metabat1.spades.2_28_5	K04094
metabat1.spades.2_28_6	K03168
metabat1.spades.2_29_40	K06909
metabat1.spades.2_29_56	K04771
metabat1.spades.2_29_60	K02395
metabat1.spades.2_29_64	K07727
metabat1.spades.2_29_66	K04072
metabat1.spades.2_29_67	K06990
metabat1.spades.2_29_67	K09141

metabat1.spades.2_29_68	K04069
metabat1.spades.2_29_69	K18672
metabat1.spades.2_29_71	K03431
metabat1.spades.2_29_74	K00820
metabat1.spades.2_30_1	K02799
metabat1.spades.2_30_1	K02800

metabat1.spades.2_32_2	K01424
metabat1.spades.2_32_3	K02050
metabat1.spades.2_32_4	K02049
metabat1.spades.2_32_4	K10831
metabat1.spades.2_32_4	K15555

metabat1.spades.2_32_5	K02051
metabat1.spades.2_33_1	K07706
metabat1.spades.2_34_3	K03789
metabat1.spades.2_34_4	K14742
metabat1.spades.2_34_5	K06925
metabat1.spades.2_34_9	K01091
metabat1.spades.2_34_9	K06019

metabat1.spades.2_34_10	K02836
metabat1.spades.2_35_2	K01571
metabat1.spades.2_35_2	K01960

metabat1.spades.2_35_3	K01961
metabat1.spades.2_35_6	K13012
metabat1.spades.2_35_6	K19428

metabat1.spades.2_35_12	K16705
metabat1.spades.2_35_16	K13018
metabat1.spades.2_35_17	K13020
metabat1.spades.2_35_17	K16043

metabat1.spades.2_35_19	K13015
metabat1.spades.2_35_22	K01448
metabat1.spades.2_35_23	K07576
metabat1.spades.2_35_24	K07034
metabat1.spades.2_35_26	K00058
metabat1.spades.2_35_31	K06215
metabat1.spades.2_35_32	K02469
metabat1.spades.2_35_34	K02470
metabat1.spades.2_36_1	K09740
metabat1.spades.2_36_4	K07446
metabat1.spades.2_36_5	K09011
metabat1.spades.2_37_1	K02033
metabat1.spades.2_37_2	K02033
metabat1.spades.2_37_3	K02035
metabat1.spades.2_38_2	K02822
metabat1.spades.2_38_4	K00615
metabat1.spades.2_38_5	K00615
metabat1.spades.2_39_2	K22431
metabat1.spades.2_39_4	K01026
metabat1.spades.2_40_1	K03271
metabat1.spades.2_40_3	K04656
metabat1.spades.2_41_2	K18682
metabat1.spades.2_42_1	K20938
metabat1.spades.2_42_2	K00299
metabat1.spades.2_42_5	K17228
metabat1.spades.2_42_7	K03311
metabat1.spades.2_43_4	K08094
metabat1.spades.2_43_5	K08093
metabat1.spades.2_43_7	K01809
metabat1.spades.2_43_8	K08177
metabat1.spades.2_44_1	K01338
metabat1.spades.2_44_2	K03978
metabat1.spades.2_44_4	K02492
metabat1.spades.2_44_5	K02497
metabat1.spades.2_45_1	K07258
metabat1.spades.2_45_2	K06373
metabat1.spades.2_45_3	K06374
metabat1.spades.2_45_4	K06178
metabat1.spades.2_45_6	K07399
metabat1.spades.2_45_8	K07775
metabat1.spades.2_45_9	K07651
metabat1.spades.2_46_1	K07112
metabat1.spades.2_46_4	K04488
metabat1.spades.2_46_5	K11717
metabat1.spades.2_46_6	K07033
metabat1.spades.2_46_6	K09015

metabat1.spades.2_46_7	K07033
metabat1.spades.2_46_7	K09014

metabat1.spades.2_46_8	K09013
metabat1.spades.2_46_13	K07098
metabat1.spades.2_46_17	K03088
metabat1.spades.2_46_18	K01174
metabat1.spades.2_46_22	K07095
metabat1.spades.2_46_23	K02428
metabat1.spades.2_46_24	K06298
metabat1.spades.2_46_26	K01448
metabat1.spades.2_46_27	K04655
metabat1.spades.2_46_28	K02434
metabat1.spades.2_46_29	K02433
metabat1.spades.2_46_30	K02435
metabat1.spades.2_46_31	K01972
metabat1.spades.2_46_32	K03657
metabat1.spades.2_46_34	K07043
metabat1.spades.2_47_3	K01990
metabat1.spades.2_49_6	K01866
metabat1.spades.2_49_7	K05366
metabat1.spades.2_49_8	K07456
metabat1.spades.2_49_11	K02347
metabat1.spades.2_49_12	K03558
metabat1.spades.2_49_13	K09888
metabat1.spades.2_49_14	K01890
metabat1.spades.2_49_15	K01889
metabat1.spades.2_49_16	K03437
metabat1.spades.2_49_17	K02887
metabat1.spades.2_49_18	K02916
metabat1.spades.2_49_19	K02520
metabat1.spades.2_49_20	K01868
metabat1.spades.2_50_1	K07693
metabat1.spades.2_51_1	K07722
metabat1.spades.2_51_3	K08315
metabat1.spades.2_51_5	K01000
metabat1.spades.2_51_6	K01924
metabat1.spades.2_51_6	K01928

metabat1.spades.2_51_9	K09727
metabat1.spades.2_51_10	K03627
metabat1.spades.2_52_2	K02963
metabat1.spades.2_52_3	K03111
metabat1.spades.2_52_4	K02990
metabat1.spades.2_52_5	K06942
metabat1.spades.2_52_8	K03497
metabat1.spades.2_52_9	K03496
metabat1.spades.2_52_10	K03497
metabat1.spades.2_52_11	K03501
metabat1.spades.2_52_12	K03495
metabat1.spades.2_52_13	K03650
metabat1.spades.2_53_2	K01448
metabat1.spades.2_54_1	K01886
metabat1.spades.2_54_2	K14645
metabat1.spades.2_55_4	K06147
metabat1.spades.2_55_5	K06147
metabat1.spades.2_55_5	K06148

metabat1.spades.2_55_11	K19784
metabat1.spades.2_55_12	K00537
metabat1.spades.2_56_1	K01610
metabat1.spades.2_56_2	K00789
metabat1.spades.2_56_3	K19302
metabat1.spades.2_56_5	K01048
metabat1.spades.2_56_6	K16188
metabat1.spades.2_57_2	K07079
metabat1.spades.2_57_5	K01273
metabat1.spades.2_57_6	K06385
metabat1.spades.2_57_9	K09811
metabat1.spades.2_57_10	K03406
metabat1.spades.2_57_14	K01438
metabat1.spades.2_57_16	K01119
metabat1.spades.2_57_17	K11751
metabat1.spades.2_57_19	K10793
metabat1.spades.2_57_20	K21579
metabat1.spades.2_57_23	K04940
metabat1.spades.2_57_24	K00259
metabat1.spades.2_57_26	K07335
metabat1.spades.2_57_27	K02056
metabat1.spades.2_57_28	K02057
metabat1.spades.2_57_29	K02057
metabat1.spades.2_57_30	K00382
metabat1.spades.2_57_31	K00757
metabat1.spades.2_57_33	K01999
metabat1.spades.2_57_34	K01997
metabat1.spades.2_57_35	K01995
metabat1.spades.2_57_36	K01996
metabat1.spades.2_57_38	K03980
metabat1.spades.2_57_43	K00179
metabat1.spades.2_57_44	K00179
metabat1.spades.2_57_45	K00180
metabat1.spades.2_57_46	K03738
metabat1.spades.2_57_47	K03308
metabat1.spades.2_57_49	K01779
metabat1.spades.2_57_51	K03310
metabat1.spades.2_57_52	K06895
metabat1.spades.2_57_54	K06901
metabat1.spades.2_57_55	K00600
metabat1.spades.2_57_59	K01304
metabat1.spades.2_57_61	K02033
metabat1.spades.2_57_61	K15581

metabat1.spades.2_57_62	K02034
metabat1.spades.2_57_63	K02031
metabat1.spades.2_57_63	K02032

metabat1.spades.2_57_64	K02032
metabat1.spades.2_57_65	K02035
metabat1.spades.2_57_70	K08963
metabat1.spades.2_57_71	K01628
metabat1.spades.2_57_72	K01273
metabat1.spades.2_57_73	K06934
metabat1.spades.2_57_74	K01266
metabat1.spades.2_57_79	K01104
metabat1.spades.2_57_81	K05988
metabat1.spades.2_57_83	K01937
metabat1.spades.2_57_86	K06147
metabat1.spades.2_57_87	K06147
metabat1.spades.2_57_88	K02004
metabat1.spades.2_57_90	K02003
metabat1.spades.2_57_91	K14155
metabat1.spades.2_57_92	K18014
metabat1.spades.2_57_93	K18013
metabat1.spades.2_57_95	K01624
metabat1.spades.2_57_96	K00616
metabat1.spades.2_57_97	K02446
metabat1.spades.2_57_98	K02446
metabat1.spades.2_57_99	K03628
metabat1.spades.2_57_100	K02909
metabat1.spades.2_57_102	K02493
metabat1.spades.2_57_103	K07240
metabat1.spades.2_57_104	K07240
metabat1.spades.2_57_105	K02835
metabat1.spades.2_57_107	K14534
metabat1.spades.2_57_109	K18122
metabat1.spades.2_57_116	K07238
metabat1.spades.2_57_117	K07566
metabat1.spades.2_57_118	K01104
metabat1.spades.2_57_118	K20201

metabat1.spades.2_57_119	K01808
metabat1.spades.2_57_120	K00761
metabat1.spades.2_57_121	K01779
metabat1.spades.2_57_126	K01439
metabat1.spades.2_57_127	K18118
metabat1.spades.2_57_128	K21898
metabat1.spades.2_57_129	K06015
metabat1.spades.2_57_130	K02851
metabat1.spades.2_57_131	K01791
metabat1.spades.2_57_133	K02106
metabat1.spades.2_57_134	K00626
metabat1.spades.2_57_135	K01034
metabat1.spades.2_57_136	K01035
metabat1.spades.2_57_139	K02108
metabat1.spades.2_57_140	K02110
metabat1.spades.2_57_141	K02109
metabat1.spades.2_57_142	K02113
metabat1.spades.2_57_143	K02111
metabat1.spades.2_57_144	K02115
metabat1.spades.2_57_145	K02112
metabat1.spades.2_57_146	K02114
metabat1.spades.2_57_148	K00790
metabat1.spades.2_57_149	K06381
metabat1.spades.2_57_151	K06283
metabat1.spades.2_57_152	K03569
metabat1.spades.2_57_153	K02392
metabat1.spades.2_57_154	K02390
metabat1.spades.2_57_154	K02392

metabat1.spades.2_57_155	K02395
metabat1.spades.2_57_157	K00789
metabat1.spades.2_57_158	K06015
metabat1.spades.2_57_159	K17836
metabat1.spades.2_57_160	K03310
metabat1.spades.2_57_161	K03088
metabat1.spades.2_57_161	K03091

metabat1.spades.2_57_166	K03581
metabat1.spades.2_57_167	K03581
metabat1.spades.2_57_168	K02242
metabat1.spades.2_57_170	K02398
metabat1.spades.2_57_172	K02396
metabat1.spades.2_57_173	K02396
metabat1.spades.2_57_174	K02397
metabat1.spades.2_57_175	K13626
metabat1.spades.2_57_176	K03563
metabat1.spades.2_57_178	K02406
metabat1.spades.2_58_2	K03307
metabat1.spades.2_58_2	K11928

metabat1.spades.2_58_10	K01426
metabat1.spades.2_58_10	K02433

metabat1.spades.2_58_11	K08968
metabat1.spades.2_58_13	K01759
metabat1.spades.2_58_16	K01142
metabat1.spades.2_58_18	K01923
metabat1.spades.2_58_19	K02897
metabat1.spades.2_58_20	K06178
metabat1.spades.2_58_20	K06182

metabat1.spades.2_58_21	K09155
metabat1.spades.2_58_23	K07464
metabat1.spades.2_58_23	K10844

metabat1.spades.2_58_24	K01759
metabat1.spades.2_58_27	K18346
metabat1.spades.2_58_29	K01534
metabat1.spades.2_58_30	K01739
metabat1.spades.2_58_30	K01761

metabat1.spades.2_58_32	K00826
metabat1.spades.2_58_32	K02619

metabat1.spades.2_58_33	K07317
metabat1.spades.2_58_36	K03312
metabat1.spades.2_58_40	K08217
metabat1.spades.2_58_41	K15986
metabat1.spades.2_58_42	K01753
metabat1.spades.2_58_46	K03518
metabat1.spades.2_58_50	K03406
metabat1.spades.2_59_2	K00991
metabat1.spades.2_60_1	K01924
metabat1.spades.2_60_2	K00074
metabat1.spades.2_61_3	K00290
metabat1.spades.2_62_1	K06881
metabat1.spades.2_62_4	K02337
metabat1.spades.2_62_5	K00027
metabat1.spades.2_62_6	K01963
metabat1.spades.2_62_7	K01962
metabat1.spades.2_62_8	K00850
metabat1.spades.2_62_9	K00873
metabat1.spades.2_62_10	K07113
metabat1.spades.2_62_11	K01647
metabat1.spades.2_62_12	K00031
metabat1.spades.2_62_13	K00016
metabat1.spades.2_62_13	K00024

metabat1.spades.2_63_3	K19422
metabat1.spades.2_63_5	K13012
metabat1.spades.2_63_6	K13010
metabat1.spades.2_63_10	K02601
metabat1.spades.2_63_11	K01962
metabat1.spades.2_63_11	K01963

metabat1.spades.2_63_14	K03296
metabat1.spades.2_63_17	K01992
metabat1.spades.2_63_18	K01992
metabat1.spades.2_63_19	K01993
metabat1.spades.2_63_21	K15973
metabat1.spades.2_63_24	K06423
metabat1.spades.2_63_25	K01449
metabat1.spades.2_63_29	K00767
metabat1.spades.2_63_30	K00278
metabat1.spades.2_63_31	K03517
metabat1.spades.2_64_3	K01928
metabat1.spades.2_65_3	K19424
metabat1.spades.2_66_1	K00656
metabat1.spades.2_66_1	K20038

metabat1.spades.2_66_2	K04069
metabat1.spades.2_66_3	K18910
metabat1.spades.2_67_1	K08301
metabat1.spades.2_67_2	K02888
metabat1.spades.2_67_3	K07584
metabat1.spades.2_67_4	K02899
metabat1.spades.2_67_5	K06375
metabat1.spades.2_67_6	K03979
metabat1.spades.2_67_7	K06209
metabat1.spades.2_67_8	K04518
metabat1.spades.2_67_9	K07105
metabat1.spades.2_67_10	K04487
metabat1.spades.2_67_11	K00278
metabat1.spades.2_67_12	K00767
metabat1.spades.2_67_13	K03517
metabat1.spades.2_68_2	K01138
metabat1.spades.2_68_2	K19005

metabat1.spades.2_68_3	K00845
metabat1.spades.2_68_5	K19225
metabat1.spades.2_68_8	K01934
metabat1.spades.2_68_9	K02913
metabat1.spades.2_68_12	K02039
metabat1.spades.2_68_13	K02036
metabat1.spades.2_68_14	K02038
metabat1.spades.2_68_15	K02037
metabat1.spades.2_68_16	K02040
metabat1.spades.2_68_17	K08222
metabat1.spades.2_68_18	K04564
metabat1.spades.2_68_19	K09793
metabat1.spades.2_68_20	K03324
metabat1.spades.2_69_1	K02410
metabat1.spades.2_69_2	K02409
metabat1.spades.2_69_3	K02408
metabat1.spades.2_69_4	K02388
metabat1.spades.2_69_5	K02387
metabat1.spades.2_69_6	K03706
metabat1.spades.2_69_7	K03667
metabat1.spades.2_69_8	K01419
metabat1.spades.2_69_9	K03733
metabat1.spades.2_69_9	K04763

metabat1.spades.2_69_10	K04094
metabat1.spades.2_69_11	K03168
metabat1.spades.2_69_12	K04096
metabat1.spades.2_70_4	K06877
metabat1.spades.2_70_5	K07502
metabat1.spades.2_70_6	K07502
metabat1.spades.2_71_1	K00848
metabat1.spades.2_71_2	K01818
metabat1.spades.2_71_3	K00853
metabat1.spades.2_73_1	K05515
metabat1.spades.2_73_2	K03571
metabat1.spades.2_73_3	K03570
metabat1.spades.2_73_4	K03569
metabat1.spades.2_73_5	K03630
metabat1.spades.2_73_6	K06287
metabat1.spades.2_73_8	K03616
metabat1.spades.2_73_9	K03617
metabat1.spades.2_73_10	K03613
metabat1.spades.2_73_11	K03612
metabat1.spades.2_73_12	K03614
metabat1.spades.2_73_13	K03615
metabat1.spades.2_73_14	K00335
metabat1.spades.2_73_14	K18331
metabat1.spades.2_73_14	K22339

metabat1.spades.2_73_15	K17992
metabat1.spades.2_73_17	K00334
metabat1.spades.2_73_18	K07053
metabat1.spades.2_73_24	K02035
metabat1.spades.2_73_25	K00763
metabat1.spades.2_73_26	K08309
metabat1.spades.2_73_27	K00859
metabat1.spades.2_73_28	K02335
metabat1.spades.2_73_29	K03406
metabat1.spades.2_73_30	K03406
metabat1.spades.2_73_32	K03088
metabat1.spades.2_73_33	K07038
metabat1.spades.2_73_34	K18979
metabat1.spades.2_73_35	K10823
metabat1.spades.2_73_36	K15583
metabat1.spades.2_73_37	K02034
metabat1.spades.2_73_37	K15582

metabat1.spades.2_73_38	K02033
metabat1.spades.2_73_38	K15581

metabat1.spades.2_73_39	K02035
metabat1.spades.2_73_39	K15580

metabat1.spades.2_73_40	K01586
metabat1.spades.2_73_42	K07814
metabat1.spades.2_73_47	K03825
metabat1.spades.2_73_48	K15268
metabat1.spades.2_73_50	K06889
metabat1.spades.2_74_1	K00554
metabat1.spades.2_74_2	K02884
metabat1.spades.2_74_3	K14540
metabat1.spades.2_75_1	K07058
metabat1.spades.2_75_3	K01104
metabat1.spades.2_76_3	K01870
metabat1.spades.2_76_6	K01449
metabat1.spades.2_76_7	K01810
metabat1.spades.2_76_8	K06941
metabat1.spades.2_76_10	K01308
metabat1.spades.2_76_12	K07139
metabat1.spades.2_76_13	K00134
metabat1.spades.2_77_3	K16906
metabat1.spades.2_77_4	K01990
metabat1.spades.2_77_5	K01990
metabat1.spades.2_78_1	K02799
metabat1.spades.2_78_1	K02800

metabat1.spades.2_78_2	K03483
metabat1.spades.2_79_1	K01952
metabat1.spades.2_80_1	K04751
metabat1.spades.2_80_1	K04752

metabat1.spades.2_80_2	K03320
metabat1.spades.2_80_3	K01953
metabat1.spades.2_80_5	K01915
metabat1.spades.2_80_7	K22010
metabat1.spades.2_80_8	K01915
metabat1.spades.2_80_10	K00265
metabat1.spades.2_80_11	K00196
metabat1.spades.2_80_15	K22405
metabat1.spades.2_80_17	K05919
metabat1.spades.2_80_19	K00033
metabat1.spades.2_80_20	K01611
metabat1.spades.2_80_22	K03183
metabat1.spades.2_80_23	K03118
metabat1.spades.2_80_24	K03116
metabat1.spades.2_80_27	K00859
metabat1.spades.2_80_27	K01734

metabat1.spades.2_80_29	K01744
metabat1.spades.2_80_30	K01448
metabat1.spades.2_80_37	K16203
metabat1.spades.2_80_40	K02529
metabat1.spades.2_80_41	K01897
metabat1.spades.2_80_42	K00626
metabat1.spades.2_80_43	K01026
metabat1.spades.2_80_44	K00059
metabat1.spades.2_80_44	K07535

metabat1.spades.2_80_48	K02238
metabat1.spades.2_80_50	K00805
metabat1.spades.2_80_51	K02304
metabat1.spades.2_80_52	K02492
metabat1.spades.2_80_53	K01749
metabat1.spades.2_80_54	K02302
metabat1.spades.2_80_54	K02303
metabat1.spades.2_80_54	K13542

metabat1.spades.2_80_55	K22226
metabat1.spades.2_80_56	K01698
metabat1.spades.2_80_58	K01845
metabat1.spades.2_80_65	K03306
metabat1.spades.2_80_66	K07220
metabat1.spades.2_80_69	K21071
metabat1.spades.2_80_71	K06901
metabat1.spades.2_80_72	K06013
metabat1.spades.2_80_74	K02346
metabat1.spades.2_80_74	K03502

metabat1.spades.2_80_77	K01673
metabat1.spades.2_80_78	K20447
metabat1.spades.2_80_79	K20448
metabat1.spades.2_80_80	K12960
metabat1.spades.2_80_81	K02304
metabat1.spades.2_80_81	K05895

metabat1.spades.2_80_82	K02007
metabat1.spades.2_80_83	K02009
metabat1.spades.2_80_84	K02008
metabat1.spades.2_80_85	K02006
metabat1.spades.2_80_87	K08591
metabat1.spades.2_80_88	K01512
metabat1.spades.2_80_90	K09117
metabat1.spades.2_80_91	K00571
metabat1.spades.2_80_91	K07316

metabat1.spades.2_80_95	K04480
metabat1.spades.2_80_96	K00548
metabat1.spades.2_80_97	K00548
metabat1.spades.2_80_99	K07720
metabat1.spades.2_80_100	K07321
metabat1.spades.2_80_101	K00198
metabat1.spades.2_80_102	K14138
metabat1.spades.2_80_103	K00197
metabat1.spades.2_80_105	K07321
metabat1.spades.2_80_106	K00194
metabat1.spades.2_80_107	K00548
metabat1.spades.2_80_107	K15023

metabat1.spades.2_80_109	K03389
metabat1.spades.2_80_113	K00297
metabat1.spades.2_80_116	K00812
metabat1.spades.2_80_116	K10907

metabat1.spades.2_80_117	K07576
metabat1.spades.2_80_119	K02086
metabat1.spades.2_80_120	K02315
metabat1.spades.2_80_121	K04758
metabat1.spades.2_80_122	K04759
metabat1.spades.2_80_124	K15024
metabat1.spades.2_80_132	K07979
metabat1.spades.2_80_133	K01990
metabat1.spades.2_80_135	K02068
metabat1.spades.2_80_135	K06857

metabat1.spades.2_80_136	K02069
metabat1.spades.2_80_138	K16950
metabat1.spades.2_80_139	K16951
metabat1.spades.2_80_140	K00385
metabat1.spades.2_80_143	K07979
metabat1.spades.2_80_144	K01990
metabat1.spades.2_80_146	K02022
metabat1.spades.2_80_146	K12537
metabat1.spades.2_80_146	K16300

metabat1.spades.2_80_152	K00946
metabat1.spades.2_80_153	K01966
metabat1.spades.2_80_156	K03722
metabat1.spades.2_80_162	K09844
metabat1.spades.2_80_163	K03711
metabat1.spades.2_80_166	K03787
metabat1.spades.2_80_167	K06409
metabat1.spades.2_80_168	K02355
metabat1.spades.2_80_172	K07724
metabat1.spades.2_80_183	K07053
metabat1.spades.2_80_183	K20859

metabat1.spades.2_80_184	K01921
metabat1.spades.2_80_185	K09118
metabat1.spades.2_80_186	K07710
metabat1.spades.2_80_187	K00525
metabat1.spades.2_80_188	K04767
metabat1.spades.2_80_192	K01885
metabat1.spades.2_80_193	K02483
metabat1.spades.2_80_193	K07669

metabat1.spades.2_80_196	K02028
metabat1.spades.2_80_196	K10041
metabat1.spades.2_80_196	K17076

metabat1.spades.2_80_197	K02029
metabat1.spades.2_80_197	K02030
metabat1.spades.2_80_197	K10040

metabat1.spades.2_80_198	K02030
metabat1.spades.2_80_200	K01151
metabat1.spades.2_80_203	K01647
metabat1.spades.2_80_205	K01356
metabat1.spades.2_80_207	K06413
metabat1.spades.2_80_209	K03666
metabat1.spades.2_80_210	K00791
metabat1.spades.2_80_211	K03572
metabat1.spades.2_80_212	K03555
metabat1.spades.2_80_213	K06168
metabat1.spades.2_80_214	K08999
metabat1.spades.2_80_215	K06934
metabat1.spades.2_80_216	K07138
metabat1.spades.2_80_217	K00088
metabat1.spades.2_80_220	K02226
metabat1.spades.2_80_220	K22305

metabat1.spades.2_80_221	K04720
metabat1.spades.2_80_222	K16651
metabat1.spades.2_80_223	K02233
metabat1.spades.2_80_224	K00768
metabat1.spades.2_80_225	K02224
