vamb.megahit.295_1_2	K06889
vamb.megahit.295_5_61	K02031
vamb.megahit.295_5_62	K02034
vamb.megahit.295_5_63	K02033
vamb.megahit.295_5_65	K00681
vamb.megahit.295_5_66	K01436
vamb.megahit.295_5_67	K01775
vamb.megahit.295_5_68	K00681
vamb.megahit.295_5_73	K00603
vamb.megahit.295_5_74	K03312
vamb.megahit.295_5_76	K02030
vamb.megahit.295_5_78	K00941
vamb.megahit.295_6_3	K07089
vamb.megahit.295_6_4	K18444
vamb.megahit.295_6_5	K04486
vamb.megahit.295_6_6	K07216
vamb.megahit.295_6_7	K13653
vamb.megahit.295_6_9	K05937
vamb.megahit.295_6_12	K15777
vamb.megahit.295_7_1	K02057
vamb.megahit.295_7_2	K02057
vamb.megahit.295_7_3	K02056
vamb.megahit.295_7_4	K07335
vamb.megahit.295_7_5	K21576
vamb.megahit.295_7_6	K21577
vamb.megahit.295_7_7	K10672
vamb.megahit.295_7_8	K10672
vamb.megahit.295_7_9	K10670
vamb.megahit.295_7_10	K10670
vamb.megahit.295_7_11	K10671
vamb.megahit.295_7_12	K03671
vamb.megahit.295_7_13	K00384
vamb.megahit.295_7_17	K03216
vamb.megahit.295_7_20	K09766
vamb.megahit.295_7_21	K18346
vamb.megahit.295_7_33	K16789
vamb.megahit.295_7_34	K00567
vamb.megahit.295_7_39	K06148
vamb.megahit.295_7_43	K00123
vamb.megahit.295_7_43	K12527
vamb.megahit.295_7_43	K15022

vamb.megahit.295_7_44	K00335
vamb.megahit.295_7_44	K18331

vamb.megahit.295_7_45	K00334
vamb.megahit.295_7_48	K07444
vamb.megahit.295_7_50	K02238
vamb.megahit.295_8_1	K15024
vamb.megahit.295_8_2	K01619
vamb.megahit.295_8_3	K05825
vamb.megahit.295_9_2	K07668
vamb.megahit.295_9_3	K02484
vamb.megahit.295_10_2	K07979
vamb.megahit.295_10_3	K01990
vamb.megahit.295_10_6	K01677
vamb.megahit.295_10_7	K01678
vamb.megahit.295_10_8	K00027
vamb.megahit.295_10_13	K07120
vamb.megahit.295_10_14	K01754
vamb.megahit.295_10_15	K07717
vamb.megahit.295_10_16	K07719
vamb.megahit.295_10_17	K01999
vamb.megahit.295_10_18	K01997
vamb.megahit.295_10_19	K01998
vamb.megahit.295_10_20	K01995
vamb.megahit.295_10_21	K01996
vamb.megahit.295_11_2	K06409
vamb.megahit.295_11_4	K06183
vamb.megahit.295_11_5	K06306
vamb.megahit.295_11_11	K00713
vamb.megahit.295_11_11	K03867
vamb.megahit.295_11_11	K06338

vamb.megahit.295_11_12	K01258
vamb.megahit.295_11_13	K01610
vamb.megahit.295_11_14	K05820
vamb.megahit.295_11_16	K04720
vamb.megahit.295_11_17	K02227
vamb.megahit.295_11_18	K02232
vamb.megahit.295_11_19	K02226
vamb.megahit.295_11_20	K02233
vamb.megahit.295_11_21	K02231
vamb.megahit.295_11_22	K00768
vamb.megahit.295_11_24	K06334
vamb.megahit.295_11_25	K06333
vamb.megahit.295_12_8	K19165
vamb.megahit.295_12_16	K01358
vamb.megahit.295_12_24	K07451
vamb.megahit.295_13_1	K07137
vamb.megahit.295_13_2	K02314
vamb.megahit.295_13_3	K01338
vamb.megahit.295_13_3	K04076

vamb.megahit.295_13_4	K02939
vamb.megahit.295_13_8	K02963
vamb.megahit.295_13_9	K03111
vamb.megahit.295_13_10	K02990
vamb.megahit.295_13_12	K22044
vamb.megahit.295_13_13	K04085
vamb.megahit.295_13_17	K03558
vamb.megahit.295_13_24	K03497
vamb.megahit.295_13_25	K03496
vamb.megahit.295_16_1	K03308
vamb.megahit.295_16_2	K03798
vamb.megahit.295_16_6	K06131
vamb.megahit.295_16_7	K07238
vamb.megahit.295_16_8	K01867
vamb.megahit.295_16_10	K03324
vamb.megahit.295_16_11	K07001
vamb.megahit.295_16_14	K09764
vamb.megahit.295_16_15	K06929
vamb.megahit.295_17_3	K00603
vamb.megahit.295_17_4	K03406
vamb.megahit.295_17_5	K01938
vamb.megahit.295_17_6	K01745
vamb.megahit.295_17_7	K05020
vamb.megahit.295_17_9	K00087
vamb.megahit.295_17_11	K03518
vamb.megahit.295_17_11	K20446

vamb.megahit.295_18_1	K07088
vamb.megahit.295_18_3	K01872
vamb.megahit.295_19_1	K00986
vamb.megahit.295_19_5	K09760
vamb.megahit.295_19_6	K03546
vamb.megahit.295_19_7	K03547
vamb.megahit.295_19_11	K21471
vamb.megahit.295_19_12	K06147
vamb.megahit.295_19_13	K06147
vamb.megahit.295_19_14	K03315
vamb.megahit.295_19_15	K06284
vamb.megahit.295_19_18	K07056
vamb.megahit.295_19_19	K15460
vamb.megahit.295_19_22	K02341
vamb.megahit.295_19_24	K01582
vamb.megahit.295_19_24	K01585

vamb.megahit.295_19_29	K01687
vamb.megahit.295_19_30	K05799
vamb.megahit.295_20_1	K05366
vamb.megahit.295_21_3	K06147
vamb.megahit.295_21_4	K04567
vamb.megahit.295_21_5	K03624
vamb.megahit.295_21_8	K05540
vamb.megahit.295_21_9	K03525
vamb.megahit.295_21_11	K03524
vamb.megahit.295_21_12	K01572
vamb.megahit.295_21_15	K01966
vamb.megahit.295_21_16	K01759
vamb.megahit.295_21_16	K05606

vamb.megahit.295_21_17	K07588
vamb.megahit.295_21_18	K01849
vamb.megahit.295_21_19	K01847
vamb.megahit.295_21_19	K01848

vamb.megahit.295_21_23	K17836
vamb.megahit.295_21_25	K07139
vamb.megahit.295_21_26	K01914
vamb.megahit.295_21_29	K06206
vamb.megahit.295_21_31	K07112
vamb.megahit.295_21_35	K07322
vamb.megahit.295_21_37	K07005
vamb.megahit.295_21_38	K00970
vamb.megahit.295_21_38	K00974

vamb.megahit.295_21_41	K06324
vamb.megahit.295_21_42	K00013
vamb.megahit.295_22_1	K06147
vamb.megahit.295_22_2	K06147
vamb.megahit.295_22_9	K00239
vamb.megahit.295_22_9	K00244
vamb.megahit.295_22_9	K17363

vamb.megahit.295_22_10	K12410
vamb.megahit.295_22_12	K07727
vamb.megahit.295_22_18	K03406
vamb.megahit.295_22_19	K21395
vamb.megahit.295_22_22	K00014
vamb.megahit.295_24_1	K01928
vamb.megahit.295_24_5	K06421
vamb.megahit.295_24_9	K11754
vamb.megahit.295_24_10	K01873
vamb.megahit.295_24_11	K00995
vamb.megahit.295_24_11	K08744

vamb.megahit.295_24_12	K02051
vamb.megahit.295_24_13	K02049
vamb.megahit.295_24_14	K02050
vamb.megahit.295_24_15	K01091
vamb.megahit.295_24_15	K06019

vamb.megahit.295_24_16	K03588
vamb.megahit.295_24_17	K05364
vamb.megahit.295_25_2	K03154
vamb.megahit.295_25_3	K03738
vamb.megahit.295_25_5	K00303
vamb.megahit.295_25_7	K00302
vamb.megahit.295_25_9	K06714
vamb.megahit.295_25_10	K16898
vamb.megahit.295_25_11	K16899
vamb.megahit.295_25_12	K03709
vamb.megahit.295_25_13	K04758
vamb.megahit.295_25_14	K04759
vamb.megahit.295_25_15	K16788
vamb.megahit.295_25_20	K03639
vamb.megahit.295_25_21	K03750
vamb.megahit.295_25_21	K07219

vamb.megahit.295_25_22	K03750
vamb.megahit.295_25_23	K05772
vamb.megahit.295_25_24	K06857
vamb.megahit.295_25_25	K05773
vamb.megahit.295_25_27	K03637
vamb.megahit.295_25_28	K01870
vamb.megahit.295_25_30	K16925
vamb.megahit.295_25_32	K16785
vamb.megahit.295_25_32	K16786
vamb.megahit.295_25_32	K16787

vamb.megahit.295_25_33	K16787
vamb.megahit.295_25_34	K16785
vamb.megahit.295_25_35	K03753
vamb.megahit.295_25_43	K14155
vamb.megahit.295_25_46	K09155
vamb.megahit.295_25_47	K06178
vamb.megahit.295_25_47	K06182

vamb.megahit.295_25_48	K02897
vamb.megahit.295_25_49	K01923
vamb.megahit.295_25_51	K01142
vamb.megahit.295_25_54	K01759
vamb.megahit.295_25_56	K08968
vamb.megahit.295_25_57	K01426
vamb.megahit.295_25_57	K02433

vamb.megahit.295_25_65	K03307
vamb.megahit.295_25_65	K11928

vamb.megahit.295_26_2	K04069
vamb.megahit.295_27_2	K07150
vamb.megahit.295_27_3	K03660
vamb.megahit.295_27_6	K01572
vamb.megahit.295_28_2	K01624
vamb.megahit.295_28_3	K07025
vamb.megahit.295_28_5	K03686
vamb.megahit.295_28_8	K03315
vamb.megahit.295_28_12	K03979
vamb.megahit.295_28_13	K02899
vamb.megahit.295_28_14	K07584
vamb.megahit.295_28_15	K02888
vamb.megahit.295_29_1	K02911
vamb.megahit.295_29_2	K07040
vamb.megahit.295_29_3	K00925
vamb.megahit.295_29_5	K07001
vamb.megahit.295_29_8	K00954
vamb.megahit.295_29_9	K08316
vamb.megahit.295_29_10	K03655
vamb.megahit.295_29_11	K07030
vamb.megahit.295_29_13	K02902
vamb.megahit.295_29_16	K00949
vamb.megahit.295_29_17	K01783
vamb.megahit.295_29_18	K06949
vamb.megahit.295_29_19	K12132
vamb.megahit.295_29_20	K20074
vamb.megahit.295_29_21	K06941
vamb.megahit.295_29_22	K03500
vamb.megahit.295_29_23	K06973
vamb.megahit.295_29_24	K00604
vamb.megahit.295_29_25	K01462
vamb.megahit.295_29_26	K04066
vamb.megahit.295_29_27	K01598
vamb.megahit.295_29_27	K13038

vamb.megahit.295_29_29	K00942
vamb.megahit.295_29_30	K09777
vamb.megahit.295_29_32	K01778
vamb.megahit.295_29_34	K03308
vamb.megahit.295_29_35	K00762
vamb.megahit.295_29_36	K17828
vamb.megahit.295_29_37	K02823
vamb.megahit.295_29_38	K01591
vamb.megahit.295_29_39	K01465
vamb.megahit.295_29_40	K02825
vamb.megahit.295_29_41	K06180
vamb.megahit.295_29_42	K03101
vamb.megahit.295_29_45	K04074
vamb.megahit.295_29_47	K09772
vamb.megahit.295_29_48	K06997
vamb.megahit.295_29_50	K00012
vamb.megahit.295_29_52	K00978
vamb.megahit.295_29_53	K01710
vamb.megahit.295_29_53	K08678

vamb.megahit.295_29_55	K06398
vamb.megahit.295_30_2	K00605
vamb.megahit.295_30_3	K02437
vamb.megahit.295_30_4	K00282
vamb.megahit.295_30_5	K00283
vamb.megahit.295_30_7	K09811
vamb.megahit.295_30_10	K07813
vamb.megahit.295_30_11	K07706
vamb.megahit.295_30_13	K03737
vamb.megahit.295_31_2	K01874
vamb.megahit.295_31_3	K03424
vamb.megahit.295_31_5	K05985
vamb.megahit.295_31_6	K02528
vamb.megahit.295_31_8	K05837
vamb.megahit.295_31_9	K03324
vamb.megahit.295_31_10	K03406
vamb.megahit.295_31_11	K03439
vamb.megahit.295_31_12	K03309
vamb.megahit.295_32_1	K02358
vamb.megahit.295_32_2	K02913
vamb.megahit.295_32_3	K03073
vamb.megahit.295_32_4	K02601
vamb.megahit.295_32_5	K02867
vamb.megahit.295_32_6	K02863
vamb.megahit.295_32_7	K02864
vamb.megahit.295_32_8	K02935
vamb.megahit.295_32_9	K03043
vamb.megahit.295_32_10	K03046
vamb.megahit.295_32_11	K07590
vamb.megahit.295_32_12	K02950
vamb.megahit.295_32_13	K02992
vamb.megahit.295_32_14	K02355
vamb.megahit.295_32_15	K02358
vamb.megahit.295_33_1	K03497
vamb.megahit.295_33_2	K03501
vamb.megahit.295_33_3	K03495
vamb.megahit.295_33_4	K03650
vamb.megahit.295_33_5	K06346
vamb.megahit.295_33_6	K03217
vamb.megahit.295_33_7	K03536
vamb.megahit.295_33_8	K02313
vamb.megahit.295_33_9	K02338
vamb.megahit.295_33_10	K14761
vamb.megahit.295_33_11	K03629
vamb.megahit.295_33_13	K02470
vamb.megahit.295_33_15	K01989
vamb.megahit.295_33_16	K05832
vamb.megahit.295_33_17	K05833
vamb.megahit.295_33_18	K02071
vamb.megahit.295_33_19	K02072
vamb.megahit.295_33_20	K02073
vamb.megahit.295_33_21	K02469
vamb.megahit.295_33_22	K02013
vamb.megahit.295_33_23	K02015
vamb.megahit.295_33_24	K02016
vamb.megahit.295_35_1	K07497
vamb.megahit.295_35_2	K07483
vamb.megahit.295_36_1	K06871
vamb.megahit.295_36_2	K00384
vamb.megahit.295_36_3	K06298
vamb.megahit.295_36_7	K01537
vamb.megahit.295_36_10	K01163
vamb.megahit.295_36_12	K07775
vamb.megahit.295_36_15	K03802
vamb.megahit.295_36_16	K13282
vamb.megahit.295_36_17	K01207
vamb.megahit.295_37_1	K00057
vamb.megahit.295_37_2	K08591
vamb.megahit.295_37_3	K03977
vamb.megahit.295_38_1	K01999
vamb.megahit.295_38_7	K01712
vamb.megahit.295_38_8	K01468
vamb.megahit.295_38_9	K01746
vamb.megahit.295_38_10	K02003
vamb.megahit.295_38_12	K02004
vamb.megahit.295_38_13	K00134
vamb.megahit.295_39_6	K03703
vamb.megahit.295_40_3	K04771
vamb.megahit.295_40_4	K00783
vamb.megahit.295_41_1	K21993
vamb.megahit.295_41_2	K01673
vamb.megahit.295_41_3	K02379
vamb.megahit.295_41_4	K03752
vamb.megahit.295_41_4	K13818

vamb.megahit.295_41_5	K00123
vamb.megahit.295_41_5	K22341

vamb.megahit.295_41_6	K00123
vamb.megahit.295_41_6	K22341

vamb.megahit.295_41_7	K22338
vamb.megahit.295_41_9	K00336
vamb.megahit.295_41_9	K18332

vamb.megahit.295_42_1	K03800
vamb.megahit.295_42_2	K08223
vamb.megahit.295_42_5	K03716
vamb.megahit.295_42_6	K01809
vamb.megahit.295_42_8	K06405
vamb.megahit.295_42_9	K06406
vamb.megahit.295_42_10	K06407
vamb.megahit.295_42_11	K03734
vamb.megahit.295_42_12	K03885
vamb.megahit.295_42_13	K00805
vamb.megahit.295_42_14	K00805
vamb.megahit.295_42_15	K00805
vamb.megahit.295_42_16	K06153
vamb.megahit.295_43_1	K03437
vamb.megahit.295_43_2	K02887
vamb.megahit.295_43_3	K02916
vamb.megahit.295_43_4	K02520
vamb.megahit.295_43_5	K01868
vamb.megahit.295_44_1	K03671
vamb.megahit.295_44_2	K03803
vamb.megahit.295_44_3	K21600
vamb.megahit.295_44_4	K22132
vamb.megahit.295_44_5	K01876
vamb.megahit.295_44_6	K01892
vamb.megahit.295_44_10	K07560
vamb.megahit.295_44_11	K00951
vamb.megahit.295_44_12	K00759
vamb.megahit.295_44_13	K07462
vamb.megahit.295_44_15	K03072
vamb.megahit.295_44_15	K12257

vamb.megahit.295_45_1	K07240
vamb.megahit.295_45_2	K07240
vamb.megahit.295_46_1	K00798
vamb.megahit.295_46_4	K05601
vamb.megahit.295_47_3	K02381
vamb.megahit.295_47_5	K02381
vamb.megahit.295_47_7	K09684
vamb.megahit.295_47_8	K07402
vamb.megahit.295_48_2	K03498
vamb.megahit.295_48_3	K03499
vamb.megahit.295_48_4	K03498
vamb.megahit.295_48_5	K06295
vamb.megahit.295_48_7	K06312
vamb.megahit.295_48_8	K07138
vamb.megahit.295_48_9	K01436
vamb.megahit.295_48_10	K09815
vamb.megahit.295_48_11	K07095
vamb.megahit.295_48_12	K06298
vamb.megahit.295_48_13	K00989
vamb.megahit.295_48_13	K02428

vamb.megahit.295_48_14	K02428
vamb.megahit.295_49_1	K03737
vamb.megahit.295_49_3	K00525
vamb.megahit.295_50_2	K00721
vamb.megahit.295_50_5	K07497
vamb.megahit.295_51_3	K01119
vamb.megahit.295_51_4	K10800
vamb.megahit.295_51_5	K01537
vamb.megahit.295_51_8	K06306
vamb.megahit.295_51_9	K00362
vamb.megahit.295_51_9	K22405

vamb.megahit.295_52_1	K07258
vamb.megahit.295_52_2	K00756
vamb.megahit.295_52_2	K00758

vamb.megahit.295_52_3	K03783
vamb.megahit.295_52_4	K03783
vamb.megahit.295_52_5	K01839
vamb.megahit.295_53_1	K03215
vamb.megahit.295_53_3	K04759
vamb.megahit.295_53_4	K04758
vamb.megahit.295_53_5	K00433
vamb.megahit.295_53_5	K01055

vamb.megahit.295_53_24	K06998
vamb.megahit.295_53_26	K00432
vamb.megahit.295_53_29	K07129
vamb.megahit.295_53_32	K00573
vamb.megahit.295_53_39	K03215
vamb.megahit.295_53_41	K07107
vamb.megahit.295_53_42	K00873
vamb.megahit.295_53_43	K00850
vamb.megahit.295_53_45	K02337
vamb.megahit.295_53_45	K14162

vamb.megahit.295_53_46	K01810
vamb.megahit.295_53_47	K09762
vamb.megahit.295_53_48	K03100
vamb.megahit.295_53_50	K06958
vamb.megahit.295_53_51	K04477
vamb.megahit.295_53_52	K00075
vamb.megahit.295_53_54	K02027
vamb.megahit.295_53_56	K03973
vamb.megahit.295_53_57	K03703
vamb.megahit.295_54_1	K01866
vamb.megahit.295_54_3	K21898
vamb.megahit.295_54_5	K21903
vamb.megahit.295_54_6	K01534
vamb.megahit.295_54_8	K00868
vamb.megahit.295_54_10	K01448
vamb.megahit.295_54_10	K02016

vamb.megahit.295_54_13	K00971
vamb.megahit.295_54_18	K06331
vamb.megahit.295_54_18	K06337

vamb.megahit.295_54_19	K06337
vamb.megahit.295_54_21	K06331
vamb.megahit.295_54_21	K06337

vamb.megahit.295_54_22	K06436
vamb.megahit.295_54_24	K10974
vamb.megahit.295_54_28	K03519
vamb.megahit.295_54_29	K03518
vamb.megahit.295_54_29	K13483

vamb.megahit.295_55_3	K10907
vamb.megahit.295_55_6	K07043
vamb.megahit.295_56_2	K03169
vamb.megahit.295_56_13	K03497
vamb.megahit.295_56_14	K03496
vamb.megahit.295_56_16	K03630
vamb.megahit.295_56_25	K08884
vamb.megahit.295_56_25	K12132

vamb.megahit.295_56_26	K02279
vamb.megahit.295_56_28	K02283
vamb.megahit.295_56_30	K12511
vamb.megahit.295_56_34	K02654
vamb.megahit.295_56_36	K04763
vamb.megahit.295_56_52	K07496
vamb.megahit.295_57_1	K01869
vamb.megahit.295_57_2	K00997
vamb.megahit.295_57_3	K17758
vamb.megahit.295_57_3	K17759

vamb.megahit.295_57_5	K01775
vamb.megahit.295_57_6	K07723
vamb.megahit.295_57_7	K07171
vamb.megahit.295_58_2	K15635
vamb.megahit.295_58_4	K07282
vamb.megahit.295_58_6	K11751
vamb.megahit.295_59_2	K04079
vamb.megahit.295_59_5	K07052
vamb.megahit.295_59_6	K06993
vamb.megahit.295_59_7	K13993
vamb.megahit.295_60_2	K00852
vamb.megahit.295_60_2	K16328

vamb.megahit.295_60_3	K16329
vamb.megahit.295_60_4	K01480
vamb.megahit.295_60_5	K06942
vamb.megahit.295_60_6	K02548
vamb.megahit.295_60_7	K05919
vamb.megahit.295_60_9	K03652
vamb.megahit.295_60_10	K07304
vamb.megahit.295_60_10	K12267

vamb.megahit.295_62_1	K02039
vamb.megahit.295_62_2	K02036
vamb.megahit.295_62_3	K02038
vamb.megahit.295_62_4	K02037
vamb.megahit.295_62_5	K02040
vamb.megahit.295_62_6	K07636
vamb.megahit.295_62_6	K07652

vamb.megahit.295_62_7	K02483
vamb.megahit.295_62_7	K07658
vamb.megahit.295_62_7	K07668

vamb.megahit.295_62_8	K05810
vamb.megahit.295_62_9	K00640
vamb.megahit.295_62_10	K07738
vamb.megahit.295_62_12	K03091
vamb.megahit.295_62_13	K03091
vamb.megahit.295_62_14	K06383
vamb.megahit.295_63_4	K01012
vamb.megahit.295_63_5	K03150
vamb.megahit.295_63_6	K03150
vamb.megahit.295_64_1	K03664
vamb.megahit.295_64_2	K12573
vamb.megahit.295_64_3	K03406
vamb.megahit.295_64_5	K15987
vamb.megahit.295_64_6	K03075
vamb.megahit.295_64_7	K01689
vamb.megahit.295_64_8	K01803
vamb.megahit.295_64_9	K00927
vamb.megahit.295_64_9	K01803

vamb.megahit.295_64_10	K00134
vamb.megahit.295_64_11	K05311
vamb.megahit.295_64_14	K11358
vamb.megahit.295_64_17	K03636
vamb.megahit.295_64_20	K03738
vamb.megahit.295_64_20	K19515

vamb.megahit.295_64_21	K10440
vamb.megahit.295_64_22	K10441
vamb.megahit.295_64_23	K10439
vamb.megahit.295_64_24	K09703
vamb.megahit.295_64_25	K13641
vamb.megahit.295_64_26	K01625
vamb.megahit.295_64_27	K00874
vamb.megahit.295_64_29	K03092
vamb.megahit.295_65_1	K12287
vamb.megahit.295_65_1	K21430

vamb.megahit.295_65_5	K02005
vamb.megahit.295_65_6	K02003
vamb.megahit.295_65_7	K02004
vamb.megahit.295_65_9	K03406
vamb.megahit.295_65_12	K02005
vamb.megahit.295_65_13	K02003
vamb.megahit.295_65_14	K02004
vamb.megahit.295_65_16	K01611
vamb.megahit.295_65_17	K00797
vamb.megahit.295_65_19	K07010
vamb.megahit.295_65_22	K03310
vamb.megahit.295_65_23	K02481
vamb.megahit.295_65_24	K02030
vamb.megahit.295_65_27	K00963
vamb.megahit.295_65_29	K01714
vamb.megahit.295_65_36	K07080
vamb.megahit.295_65_41	K03980
vamb.megahit.295_65_44	K13020
vamb.megahit.295_66_1	K11991
vamb.megahit.295_66_8	K22116
vamb.megahit.295_66_9	K01932
vamb.megahit.295_66_15	K00681
vamb.megahit.295_66_18	K01733
vamb.megahit.295_66_24	K00003
vamb.megahit.295_66_29	K03088
vamb.megahit.295_66_32	K07029
vamb.megahit.295_67_2	K03823
vamb.megahit.295_67_4	K01243
vamb.megahit.295_68_1	K01889
vamb.megahit.295_68_2	K01890
vamb.megahit.295_68_3	K09888
vamb.megahit.295_68_4	K08303
vamb.megahit.295_68_7	K07456
vamb.megahit.295_68_13	K00634
vamb.megahit.295_68_14	K00179
vamb.megahit.295_68_15	K00180
vamb.megahit.295_68_16	K03657
vamb.megahit.295_68_18	K00772
vamb.megahit.295_68_18	K03783

vamb.megahit.295_68_19	K00943
vamb.megahit.295_68_20	K01582
vamb.megahit.295_68_20	K01585

vamb.megahit.295_69_3	K02016
vamb.megahit.295_69_4	K02015
vamb.megahit.295_69_6	K02019
vamb.megahit.295_69_7	K04078
vamb.megahit.295_69_8	K04077
vamb.megahit.295_70_1	K03093
vamb.megahit.295_70_3	K00609
vamb.megahit.295_70_4	K00610
vamb.megahit.295_70_7	K06421
vamb.megahit.295_70_8	K03695
vamb.megahit.295_70_8	K03696

vamb.megahit.295_70_9	K06179
vamb.megahit.295_70_10	K03315
vamb.megahit.295_70_11	K06177
vamb.megahit.295_70_11	K06180

vamb.megahit.295_70_12	K06180
vamb.megahit.295_70_16	K03088
vamb.megahit.295_70_21	K07141
vamb.megahit.295_70_23	K21600
vamb.megahit.295_71_4	K00928
vamb.megahit.295_71_5	K00674
vamb.megahit.295_71_5	K05822

vamb.megahit.295_71_6	K00215
vamb.megahit.295_71_7	K01714
vamb.megahit.295_71_8	K00133
vamb.megahit.295_71_11	K04083
vamb.megahit.295_72_3	K07080
vamb.megahit.295_72_4	K07719
vamb.megahit.295_72_5	K07717
vamb.megahit.295_72_6	K21471
vamb.megahit.295_73_1	K07088
vamb.megahit.295_73_2	K07216
vamb.megahit.295_73_10	K22278
vamb.megahit.295_74_2	K02356
vamb.megahit.295_74_3	K01262
vamb.megahit.295_74_3	K01271

vamb.megahit.295_74_4	K00891
vamb.megahit.295_74_5	K02241
vamb.megahit.295_74_11	K02664
vamb.megahit.295_74_12	K02663
vamb.megahit.295_74_13	K02662
vamb.megahit.295_74_14	K02654
vamb.megahit.295_74_16	K02653
vamb.megahit.295_74_17	K02669
vamb.megahit.295_74_18	K02652
vamb.megahit.295_74_19	K07015
vamb.megahit.295_74_20	K03091
vamb.megahit.295_74_21	K06400
vamb.megahit.295_74_23	K03091
vamb.megahit.295_74_24	K05515
vamb.megahit.295_74_25	K00876
vamb.megahit.295_74_26	K08303
vamb.megahit.295_74_28	K07082
vamb.megahit.295_74_29	K06207
vamb.megahit.295_74_32	K12574
vamb.megahit.295_74_33	K03711
vamb.megahit.295_74_34	K00812
vamb.megahit.295_74_36	K07447
vamb.megahit.295_74_39	K01872
vamb.megahit.295_74_43	K00566
vamb.megahit.295_74_44	K04488
vamb.megahit.295_74_45	K04487
vamb.megahit.295_74_49	K07478
vamb.megahit.295_75_1	K02358
vamb.megahit.295_75_2	K02946
