metabat1.megahit.20_1_2	K01951
metabat1.megahit.20_3_275	K03973
metabat1.megahit.20_3_276	K05946
metabat1.megahit.20_3_280	K18814
metabat1.megahit.20_3_284	K02836
metabat1.megahit.20_3_287	K03070
metabat1.megahit.20_3_289	K05808
metabat1.megahit.20_3_290	K03704
metabat1.megahit.20_3_293	K02422
metabat1.megahit.20_3_294	K02407
metabat1.megahit.20_3_295	K06603
metabat1.megahit.20_3_296	K02406
metabat1.megahit.20_3_297	K02406
metabat1.megahit.20_3_298	K03924
metabat1.megahit.20_3_301	K03406
metabat1.megahit.20_3_302	K03563
metabat1.megahit.20_3_303	K13626
metabat1.megahit.20_3_305	K02397
metabat1.megahit.20_3_306	K02396
metabat1.megahit.20_3_308	K02398
metabat1.megahit.20_3_311	K02242
metabat1.megahit.20_3_314	K07160
metabat1.megahit.20_3_315	K02240
metabat1.megahit.20_3_316	K03581
metabat1.megahit.20_3_319	K07777
metabat1.megahit.20_3_320	K00789
metabat1.megahit.20_3_323	K03406
metabat1.megahit.20_3_327	K13770
metabat1.megahit.20_3_328	K02395
metabat1.megahit.20_3_330	K02392
metabat1.megahit.20_3_331	K02392
metabat1.megahit.20_3_332	K03569
metabat1.megahit.20_3_333	K06283
metabat1.megahit.20_3_335	K01591
metabat1.megahit.20_3_337	K06381
metabat1.megahit.20_3_338	K00790
metabat1.megahit.20_3_341	K02114
metabat1.megahit.20_3_342	K02112
metabat1.megahit.20_3_343	K02115
metabat1.megahit.20_3_344	K02111
metabat1.megahit.20_3_345	K02113
metabat1.megahit.20_3_346	K02109
metabat1.megahit.20_3_347	K02110
metabat1.megahit.20_3_348	K02108
metabat1.megahit.20_3_351	K01791
metabat1.megahit.20_3_351	K02851

metabat1.megahit.20_3_353	K01493
metabat1.megahit.20_3_354	K00761
metabat1.megahit.20_3_355	K00600
metabat1.megahit.20_3_357	K01808
metabat1.megahit.20_3_358	K01104
metabat1.megahit.20_3_358	K20201

metabat1.megahit.20_3_359	K07566
metabat1.megahit.20_3_360	K08978
metabat1.megahit.20_3_361	K02346
metabat1.megahit.20_3_363	K03525
metabat1.megahit.20_3_364	K00767
metabat1.megahit.20_3_365	K00278
metabat1.megahit.20_3_366	K03517
metabat1.megahit.20_3_368	K01938
metabat1.megahit.20_3_370	K01468
metabat1.megahit.20_3_371	K00603
metabat1.megahit.20_3_371	K01746

metabat1.megahit.20_3_372	K01712
metabat1.megahit.20_3_373	K01745
metabat1.megahit.20_3_374	K06384
metabat1.megahit.20_3_375	K03798
metabat1.megahit.20_3_376	K00760
metabat1.megahit.20_3_377	K04075
metabat1.megahit.20_3_378	K06382
metabat1.megahit.20_3_380	K07570
metabat1.megahit.20_3_380	K07571

metabat1.megahit.20_3_384	K06381
metabat1.megahit.20_3_386	K03530
metabat1.megahit.20_3_387	K02428
metabat1.megahit.20_3_387	K02499

metabat1.megahit.20_3_388	K06409
metabat1.megahit.20_3_389	K04769
metabat1.megahit.20_3_390	K03769
metabat1.megahit.20_3_390	K07533

metabat1.megahit.20_3_391	K03723
metabat1.megahit.20_3_392	K01056
metabat1.megahit.20_3_393	K02897
metabat1.megahit.20_3_394	K00948
metabat1.megahit.20_3_395	K04042
metabat1.megahit.20_3_396	K06412
metabat1.megahit.20_3_400	K00919
metabat1.megahit.20_3_400	K16924

metabat1.megahit.20_3_401	K03802
metabat1.megahit.20_3_402	K13282
metabat1.megahit.20_3_404	K09776
metabat1.megahit.20_3_405	K02528
metabat1.megahit.20_3_406	K03424
metabat1.megahit.20_3_407	K01874
metabat1.megahit.20_3_408	K06284
metabat1.megahit.20_3_409	K00605
metabat1.megahit.20_3_410	K02437
metabat1.megahit.20_3_411	K00282
metabat1.megahit.20_3_412	K00283
metabat1.megahit.20_3_413	K00382
metabat1.megahit.20_3_414	K03800
metabat1.megahit.20_3_415	K02935
metabat1.megahit.20_3_416	K02864
metabat1.megahit.20_3_417	K02863
metabat1.megahit.20_3_418	K02867
metabat1.megahit.20_3_419	K02601
metabat1.megahit.20_3_420	K03073
metabat1.megahit.20_3_421	K02358
metabat1.megahit.20_4_1	K07497
metabat1.megahit.20_4_3	K01751
metabat1.megahit.20_4_8	K00639
metabat1.megahit.20_4_8	K00652
metabat1.megahit.20_4_8	K01906

metabat1.megahit.20_4_10	K07497
metabat1.megahit.20_5_1	K07497
metabat1.megahit.20_5_10	K02051
metabat1.megahit.20_5_11	K01424
metabat1.megahit.20_5_12	K00058
metabat1.megahit.20_5_13	K03324
metabat1.megahit.20_5_16	K09825
metabat1.megahit.20_5_18	K01821
metabat1.megahit.20_5_19	K01266
metabat1.megahit.20_5_20	K06158
metabat1.megahit.20_5_21	K01872
metabat1.megahit.20_5_24	K02337
metabat1.megahit.20_5_24	K14162

metabat1.megahit.20_5_25	K01095
metabat1.megahit.20_5_27	K00850
metabat1.megahit.20_5_28	K07079
metabat1.megahit.20_5_33	K17686
metabat1.megahit.20_5_34	K07574
metabat1.megahit.20_5_35	K03088
metabat1.megahit.20_5_37	K02335
metabat1.megahit.20_5_38	K10563
metabat1.megahit.20_5_40	K00859
metabat1.megahit.20_5_41	K08309
metabat1.megahit.20_5_42	K00763
metabat1.megahit.20_5_44	K01448
metabat1.megahit.20_5_45	K06968
metabat1.megahit.20_5_46	K07697
metabat1.megahit.20_5_49	K00790
metabat1.megahit.20_5_51	K18967
metabat1.megahit.20_5_60	K02483
metabat1.megahit.20_5_60	K07658

metabat1.megahit.20_5_61	K07636
metabat1.megahit.20_5_62	K02237
metabat1.megahit.20_5_64	K01449
metabat1.megahit.20_5_65	K06313
metabat1.megahit.20_5_66	K02238
metabat1.megahit.20_5_67	K02340
metabat1.megahit.20_5_69	K02968
metabat1.megahit.20_5_70	K08972
metabat1.megahit.20_5_71	K06012
metabat1.megahit.20_5_73	K07727
metabat1.megahit.20_5_75	K06385
metabat1.megahit.20_5_76	K03596
metabat1.megahit.20_5_78	K03705
metabat1.megahit.20_5_80	K03687
metabat1.megahit.20_5_81	K04043
metabat1.megahit.20_5_82	K03686
metabat1.megahit.20_5_83	K02687
metabat1.megahit.20_5_84	K09761
metabat1.megahit.20_5_85	K18707
metabat1.megahit.20_5_86	K02503
metabat1.megahit.20_5_87	K02970
metabat1.megahit.20_5_89	K06438
metabat1.megahit.20_5_90	K06217
metabat1.megahit.20_5_91	K07037
metabat1.megahit.20_5_92	K01489
metabat1.megahit.20_5_92	K07042

metabat1.megahit.20_5_94	K01489
metabat1.megahit.20_5_95	K03595
metabat1.megahit.20_5_96	K01619
metabat1.megahit.20_5_97	K03584
metabat1.megahit.20_5_99	K09773
metabat1.megahit.20_5_100	K01129
metabat1.megahit.20_5_101	K02316
metabat1.megahit.20_5_102	K03086
metabat1.megahit.20_5_108	K01447
metabat1.megahit.20_5_109	K03744
metabat1.megahit.20_5_114	K06967
metabat1.megahit.20_5_118	K06158
metabat1.megahit.20_5_119	K01586
metabat1.megahit.20_5_121	K05825
metabat1.megahit.20_5_122	K04034
metabat1.megahit.20_5_123	K06409
metabat1.megahit.20_5_124	K03402
metabat1.megahit.20_5_125	K08161
metabat1.megahit.20_6_1	K07497
metabat1.megahit.20_6_3	K01921
metabat1.megahit.20_6_5	K22132
metabat1.megahit.20_7_1	K07497
metabat1.megahit.20_7_3	K09133
metabat1.megahit.20_7_4	K04719
metabat1.megahit.20_7_7	K01178
metabat1.megahit.20_7_8	K07483
metabat1.megahit.20_7_10	K01420
metabat1.megahit.20_7_10	K21562

metabat1.megahit.20_7_11	K09155
metabat1.megahit.20_7_12	K07304
metabat1.megahit.20_7_12	K12267

metabat1.megahit.20_7_18	K01534
metabat1.megahit.20_7_20	K21562
metabat1.megahit.20_7_23	K01008
metabat1.megahit.20_7_24	K01491
metabat1.megahit.20_7_25	K10914
metabat1.megahit.20_7_25	K21563

metabat1.megahit.20_7_26	K00762
metabat1.megahit.20_7_28	K01256
metabat1.megahit.20_7_28	K17836

metabat1.megahit.20_7_29	K02035
metabat1.megahit.20_7_29	K13893

metabat1.megahit.20_7_30	K02033
metabat1.megahit.20_7_32	K02031
metabat1.megahit.20_7_32	K02032
metabat1.megahit.20_7_32	K15583

metabat1.megahit.20_7_33	K02032
metabat1.megahit.20_7_33	K10823

metabat1.megahit.20_7_34	K16203
metabat1.megahit.20_7_36	K07238
metabat1.megahit.20_7_38	K07502
metabat1.megahit.20_7_39	K06877
metabat1.megahit.20_7_42	K06148
metabat1.megahit.20_7_45	K01739
metabat1.megahit.20_7_45	K01760
metabat1.megahit.20_7_45	K01761
metabat1.megahit.20_7_45	K10764

metabat1.megahit.20_7_46	K01739
metabat1.megahit.20_7_46	K01760
metabat1.megahit.20_7_46	K01761
metabat1.megahit.20_7_46	K10764

metabat1.megahit.20_7_48	K00830
metabat1.megahit.20_7_50	K01881
metabat1.megahit.20_7_51	K07217
metabat1.megahit.20_7_57	K00015
metabat1.megahit.20_7_57	K00058
metabat1.megahit.20_7_57	K16843

metabat1.megahit.20_7_59	K06998
metabat1.megahit.20_7_61	K01733
metabat1.megahit.20_7_62	K00872
metabat1.megahit.20_7_63	K00563
metabat1.megahit.20_7_63	K10947

metabat1.megahit.20_7_66	K07979
metabat1.megahit.20_7_67	K01990
metabat1.megahit.20_7_70	K02073
metabat1.megahit.20_7_71	K02071
metabat1.megahit.20_7_72	K02072
metabat1.megahit.20_7_80	K01992
metabat1.megahit.20_7_81	K01990
metabat1.megahit.20_7_83	K00384
metabat1.megahit.20_7_84	K03671
metabat1.megahit.20_7_85	K10671
metabat1.megahit.20_7_86	K10670
metabat1.megahit.20_7_87	K10670
metabat1.megahit.20_7_88	K10672
metabat1.megahit.20_7_88	K21579

metabat1.megahit.20_7_89	K10672
metabat1.megahit.20_7_89	K21579

metabat1.megahit.20_7_91	K21577
metabat1.megahit.20_7_92	K21576
metabat1.megahit.20_7_93	K07095
metabat1.megahit.20_7_96	K02051
metabat1.megahit.20_7_97	K02050
metabat1.megahit.20_7_98	K02049
metabat1.megahit.20_7_101	K01322
metabat1.megahit.20_7_104	K07305
metabat1.megahit.20_7_105	K01247
metabat1.megahit.20_7_106	K02347
metabat1.megahit.20_7_108	K01303
metabat1.megahit.20_7_109	K11751
metabat1.megahit.20_7_110	K03324
metabat1.megahit.20_7_111	K07089
metabat1.megahit.20_7_112	K08986
metabat1.megahit.20_7_117	K01156
metabat1.megahit.20_7_117	K07316

metabat1.megahit.20_7_118	K01880
metabat1.megahit.20_7_120	K01486
metabat1.megahit.20_7_122	K06934
metabat1.megahit.20_7_129	K06177
metabat1.megahit.20_7_129	K06180

metabat1.megahit.20_7_131	K08097
metabat1.megahit.20_7_134	K07098
metabat1.megahit.20_7_135	K02483
metabat1.megahit.20_7_137	K02003
metabat1.megahit.20_7_137	K11635

metabat1.megahit.20_7_138	K02004
metabat1.megahit.20_7_142	K03671
metabat1.megahit.20_7_143	K21600
metabat1.megahit.20_7_146	K09126
metabat1.megahit.20_7_154	K07088
metabat1.megahit.20_7_155	K01869
metabat1.megahit.20_7_157	K08217
metabat1.megahit.20_7_166	K01628
metabat1.megahit.20_7_169	K02217
metabat1.megahit.20_7_172	K07238
metabat1.megahit.20_7_176	K02626
metabat1.megahit.20_7_177	K02626
metabat1.megahit.20_7_179	K06147
metabat1.megahit.20_7_180	K06147
metabat1.megahit.20_7_182	K06440
metabat1.megahit.20_7_183	K06439
metabat1.megahit.20_7_187	K09155
metabat1.megahit.20_7_190	K17073
metabat1.megahit.20_7_191	K17073
metabat1.megahit.20_7_191	K17074

metabat1.megahit.20_7_192	K17074
metabat1.megahit.20_7_192	K17076

metabat1.megahit.20_7_197	K01178
metabat1.megahit.20_7_198	K01178
metabat1.megahit.20_7_201	K01596
metabat1.megahit.20_7_207	K00817
metabat1.megahit.20_7_208	K18979
metabat1.megahit.20_7_210	K01834
metabat1.megahit.20_7_211	K01990
metabat1.megahit.20_7_212	K01992
metabat1.megahit.20_7_213	K01992
metabat1.megahit.20_7_215	K00215
metabat1.megahit.20_7_217	K02004
metabat1.megahit.20_7_221	K03724
metabat1.megahit.20_7_222	K13694
metabat1.megahit.20_7_222	K21471

metabat1.megahit.20_7_223	K00845
metabat1.megahit.20_7_224	K01443
metabat1.megahit.20_7_225	K06201
metabat1.megahit.20_7_232	K03568
metabat1.megahit.20_7_233	K03592
metabat1.megahit.20_7_236	K03088
metabat1.megahit.20_7_237	K06382
metabat1.megahit.20_7_239	K09163
metabat1.megahit.20_7_241	K03555
metabat1.megahit.20_7_242	K03572
metabat1.megahit.20_7_243	K00791
metabat1.megahit.20_7_244	K03666
metabat1.megahit.20_7_245	K06413
metabat1.megahit.20_7_247	K00324
metabat1.megahit.20_7_248	K00324
metabat1.megahit.20_7_249	K00325
metabat1.megahit.20_7_254	K03665
metabat1.megahit.20_7_256	K01356
metabat1.megahit.20_7_261	K06950
metabat1.megahit.20_7_264	K01258
metabat1.megahit.20_7_268	K03783
metabat1.megahit.20_7_270	K09927
metabat1.megahit.20_7_273	K06871
metabat1.megahit.20_7_274	K07085
metabat1.megahit.20_7_275	K01834
metabat1.megahit.20_7_279	K03525
metabat1.megahit.20_7_280	K06213
metabat1.megahit.20_7_281	K08591
metabat1.megahit.20_7_283	K03797
metabat1.megahit.20_7_284	K01179
metabat1.megahit.20_7_289	K03787
metabat1.megahit.20_7_293	K01192
metabat1.megahit.20_7_294	K08963
metabat1.megahit.20_7_295	K01971
metabat1.megahit.20_7_296	K01971
metabat1.megahit.20_7_296	K10747

metabat1.megahit.20_7_297	K10979
metabat1.megahit.20_7_299	K03088
metabat1.megahit.20_7_299	K03091
metabat1.megahit.20_7_299	K12296

metabat1.megahit.20_7_300	K00575
metabat1.megahit.20_7_301	K01611
metabat1.megahit.20_7_303	K06398
metabat1.megahit.20_7_304	K00057
metabat1.megahit.20_7_305	K03977
metabat1.megahit.20_7_308	K06385
metabat1.megahit.20_7_310	K02945
metabat1.megahit.20_7_310	K03527

metabat1.megahit.20_7_311	K00655
metabat1.megahit.20_7_312	K00945
metabat1.megahit.20_7_313	K06208
metabat1.megahit.20_7_314	K02016
metabat1.megahit.20_7_315	K02241
metabat1.megahit.20_7_316	K06178
metabat1.megahit.20_7_316	K06183

metabat1.megahit.20_7_318	K06374
metabat1.megahit.20_7_319	K06373
metabat1.megahit.20_7_320	K07258
metabat1.megahit.20_7_323	K06024
metabat1.megahit.20_7_324	K05896
metabat1.megahit.20_7_326	K00970
metabat1.megahit.20_7_326	K00974

metabat1.megahit.20_7_327	K06407
metabat1.megahit.20_7_328	K06406
metabat1.megahit.20_7_329	K06405
metabat1.megahit.20_7_330	K09165
metabat1.megahit.20_7_332	K03090
metabat1.megahit.20_7_332	K03091

metabat1.megahit.20_7_333	K06379
metabat1.megahit.20_7_334	K06378
metabat1.megahit.20_7_335	K07258
metabat1.megahit.20_7_336	K00756
metabat1.megahit.20_7_337	K01839
metabat1.megahit.20_7_338	K03733
metabat1.megahit.20_7_338	K04763

metabat1.megahit.20_7_340	K01921
metabat1.megahit.20_7_341	K07258
metabat1.megahit.20_7_342	K06384
metabat1.megahit.20_7_345	K00177
metabat1.megahit.20_7_346	K00175
metabat1.megahit.20_7_347	K00174
metabat1.megahit.20_7_348	K00176
metabat1.megahit.20_7_350	K00929
metabat1.megahit.20_7_352	K00929
metabat1.megahit.20_7_353	K07699
metabat1.megahit.20_7_354	K06399
metabat1.megahit.20_7_355	K03631
metabat1.megahit.20_7_356	K00858
metabat1.megahit.20_7_357	K06442
metabat1.megahit.20_7_358	K01662
metabat1.megahit.20_7_359	K09775
metabat1.megahit.20_7_360	K00795
metabat1.megahit.20_7_360	K13789

metabat1.megahit.20_7_361	K03602
metabat1.megahit.20_7_362	K03601
metabat1.megahit.20_7_363	K01409
metabat1.megahit.20_7_364	K03625
metabat1.megahit.20_7_366	K06397
metabat1.megahit.20_7_367	K06396
metabat1.megahit.20_7_368	K06395
metabat1.megahit.20_7_369	K06394
metabat1.megahit.20_7_370	K06393
metabat1.megahit.20_7_371	K06392
metabat1.megahit.20_7_372	K06391
metabat1.megahit.20_7_373	K06390
metabat1.megahit.20_7_377	K01091
metabat1.megahit.20_7_380	K19221
metabat1.megahit.20_7_385	K00334
metabat1.megahit.20_7_385	K18330
metabat1.megahit.20_7_385	K22340

metabat1.megahit.20_7_387	K00335
metabat1.megahit.20_7_387	K18331
metabat1.megahit.20_7_387	K22339

metabat1.megahit.20_7_388	K17992
metabat1.megahit.20_7_389	K01926
metabat1.megahit.20_7_391	K02356
metabat1.megahit.20_7_392	K01262
metabat1.megahit.20_7_392	K01271

metabat1.megahit.20_7_393	K03786
metabat1.megahit.20_7_394	K01308
metabat1.megahit.20_7_397	K02457
