vamb.megahit.488_1_12	K01476
vamb.megahit.488_2_51	K07216
vamb.megahit.488_2_53	K19689
vamb.megahit.488_2_54	K19114
vamb.megahit.488_2_55	K19115
vamb.megahit.488_2_55	K19118

vamb.megahit.488_2_56	K19116
vamb.megahit.488_2_57	K07012
vamb.megahit.488_2_58	K19091
vamb.megahit.488_2_59	K07464
vamb.megahit.488_2_60	K15342
vamb.megahit.488_2_61	K09951
vamb.megahit.488_2_63	K03215
vamb.megahit.488_3_4	K02824
vamb.megahit.488_3_6	K02760
vamb.megahit.488_3_7	K02761
vamb.megahit.488_3_8	K01222
vamb.megahit.488_3_9	K02759
vamb.megahit.488_3_10	K09963
vamb.megahit.488_3_11	K07007
vamb.megahit.488_3_14	K02466
vamb.megahit.488_3_15	K02783
vamb.megahit.488_3_16	K02782
vamb.megahit.488_3_16	K02783

vamb.megahit.488_3_17	K02781
vamb.megahit.488_3_20	K02773
vamb.megahit.488_3_21	K02774
vamb.megahit.488_3_22	K02775
vamb.megahit.488_3_23	K05346
vamb.megahit.488_3_24	K00161
vamb.megahit.488_3_24	K21416

vamb.megahit.488_3_25	K00162
vamb.megahit.488_3_25	K21417

vamb.megahit.488_3_26	K00627
vamb.megahit.488_3_27	K00382
vamb.megahit.488_3_28	K03800
vamb.megahit.488_3_29	K01870
vamb.megahit.488_3_32	K00817
vamb.megahit.488_3_33	K02355
vamb.megahit.488_3_34	K03708
vamb.megahit.488_3_35	K19411
vamb.megahit.488_3_36	K19405
vamb.megahit.488_3_37	K03696
vamb.megahit.488_3_38	K04485
vamb.megahit.488_3_39	K07067
vamb.megahit.488_3_41	K07736
vamb.megahit.488_3_43	K00991
vamb.megahit.488_3_44	K01770
vamb.megahit.488_3_44	K12506

vamb.megahit.488_3_45	K01881
vamb.megahit.488_3_47	K01885
vamb.megahit.488_3_47	K09698

vamb.megahit.488_3_48	K01883
vamb.megahit.488_3_49	K11145
vamb.megahit.488_3_50	K03465
vamb.megahit.488_3_51	K03218
vamb.megahit.488_3_52	K06962
vamb.megahit.488_3_53	K03091
vamb.megahit.488_3_54	K02358
vamb.megahit.488_4_3	K07777
vamb.megahit.488_4_4	K03408
vamb.megahit.488_4_6	K01468
vamb.megahit.488_4_7	K00603
vamb.megahit.488_4_8	K01975
vamb.megahit.488_4_9	K02529
vamb.megahit.488_4_12	K07029
vamb.megahit.488_4_16	K18889
vamb.megahit.488_4_17	K18890
vamb.megahit.488_4_18	K04486
vamb.megahit.488_4_20	K03798
vamb.megahit.488_4_23	K06177
vamb.megahit.488_4_23	K06180

vamb.megahit.488_4_24	K00858
vamb.megahit.488_4_25	K05364
vamb.megahit.488_4_26	K03588
vamb.megahit.488_4_28	K03973
vamb.megahit.488_4_29	K01752
vamb.megahit.488_4_30	K01752
vamb.megahit.488_4_34	K00757
vamb.megahit.488_4_35	K00382
vamb.megahit.488_4_36	K02057
vamb.megahit.488_4_37	K02057
vamb.megahit.488_4_38	K02056
vamb.megahit.488_4_39	K07335
vamb.megahit.488_4_41	K00123
vamb.megahit.488_4_41	K00266

vamb.megahit.488_4_42	K00528
vamb.megahit.488_4_42	K16951

vamb.megahit.488_4_44	K07322
vamb.megahit.488_4_45	K04564
vamb.megahit.488_4_47	K00966
vamb.megahit.488_4_47	K16881

vamb.megahit.488_4_49	K02032
vamb.megahit.488_4_50	K02031
vamb.megahit.488_4_51	K02034
vamb.megahit.488_4_52	K02033
vamb.megahit.488_4_53	K02035
vamb.megahit.488_4_54	K01258
vamb.megahit.488_4_56	K01835
vamb.megahit.488_4_56	K01840

vamb.megahit.488_4_57	K01436
vamb.megahit.488_4_59	K03309
vamb.megahit.488_4_59	K11102
vamb.megahit.488_4_59	K11103

vamb.megahit.488_4_60	K02083
vamb.megahit.488_4_62	K14977
vamb.megahit.488_4_63	K09684
vamb.megahit.488_4_68	K16329
vamb.megahit.488_4_69	K00852
vamb.megahit.488_4_69	K16328

vamb.megahit.488_4_70	K03664
vamb.megahit.488_4_71	K12573
vamb.megahit.488_4_72	K01921
vamb.megahit.488_4_73	K01929
vamb.megahit.488_4_74	K00433
vamb.megahit.488_4_75	K15987
vamb.megahit.488_4_76	K03075
vamb.megahit.488_4_77	K01689
vamb.megahit.488_4_78	K15633
vamb.megahit.488_4_79	K01803
vamb.megahit.488_4_80	K00927
vamb.megahit.488_4_80	K01803

vamb.megahit.488_4_81	K00134
vamb.megahit.488_4_82	K05311
vamb.megahit.488_4_83	K03092
vamb.megahit.488_4_84	K02057
vamb.megahit.488_4_85	K02057
vamb.megahit.488_4_86	K02056
vamb.megahit.488_4_87	K07335
vamb.megahit.488_4_88	K21576
vamb.megahit.488_4_89	K21577
vamb.megahit.488_4_90	K10672
vamb.megahit.488_4_91	K10672
vamb.megahit.488_4_92	K10670
vamb.megahit.488_4_93	K10670
vamb.megahit.488_4_94	K10671
vamb.megahit.488_4_95	K03671
vamb.megahit.488_4_96	K00384
vamb.megahit.488_4_97	K03324
vamb.megahit.488_4_98	K03216
vamb.megahit.488_4_100	K00567
vamb.megahit.488_4_101	K09766
vamb.megahit.488_4_102	K18346
vamb.megahit.488_4_104	K10773
vamb.megahit.488_4_105	K09764
vamb.megahit.488_4_106	K00639
vamb.megahit.488_4_107	K18979
vamb.megahit.488_4_108	K09013
vamb.megahit.488_4_109	K07033
vamb.megahit.488_4_109	K09014

vamb.megahit.488_4_110	K07033
vamb.megahit.488_4_110	K09015

vamb.megahit.488_4_111	K11717
vamb.megahit.488_4_112	K04488
vamb.megahit.488_4_113	K15986
vamb.megahit.488_4_120	K01151
vamb.megahit.488_4_123	K05837
vamb.megahit.488_4_124	K10947
vamb.megahit.488_4_126	K11621
vamb.megahit.488_4_128	K18231
vamb.megahit.488_4_130	K03088
vamb.megahit.488_4_134	K11751
vamb.megahit.488_4_135	K03426
vamb.megahit.488_4_136	K00857
vamb.megahit.488_4_137	K02049
vamb.megahit.488_4_138	K02050
vamb.megahit.488_4_139	K01802
vamb.megahit.488_4_139	K03768

vamb.megahit.488_4_143	K21252
vamb.megahit.488_4_144	K01992
vamb.megahit.488_4_145	K01992
vamb.megahit.488_4_146	K01990
vamb.megahit.488_4_150	K11068
vamb.megahit.488_4_155	K01265
vamb.megahit.488_4_157	K01534
vamb.megahit.488_4_159	K19302
vamb.megahit.488_4_160	K03657
vamb.megahit.488_4_168	K01990
vamb.megahit.488_4_171	K12410
vamb.megahit.488_4_173	K01989
vamb.megahit.488_4_174	K05832
vamb.megahit.488_4_175	K05833
vamb.megahit.488_4_176	K01724
vamb.megahit.488_4_177	K04068
vamb.megahit.488_4_178	K21636
vamb.megahit.488_4_179	K03483
vamb.megahit.488_4_181	K07304
vamb.megahit.488_4_181	K12267

vamb.megahit.488_4_182	K03100
vamb.megahit.488_4_184	K06518
vamb.megahit.488_4_187	K00940
vamb.megahit.488_4_189	K00351
vamb.megahit.488_4_189	K16161
vamb.megahit.488_4_189	K16246
vamb.megahit.488_4_189	K18225

vamb.megahit.488_4_190	K00350
vamb.megahit.488_4_191	K00349
vamb.megahit.488_4_192	K00348
vamb.megahit.488_4_193	K00347
vamb.megahit.488_4_194	K02986
vamb.megahit.488_4_195	K00859
vamb.megahit.488_4_195	K01734

vamb.megahit.488_4_199	K00859
vamb.megahit.488_4_199	K01734

vamb.megahit.488_4_200	K01255
vamb.megahit.488_4_202	K02395
vamb.megahit.488_4_203	K00566
vamb.megahit.488_4_204	K03294
vamb.megahit.488_4_207	K04047
vamb.megahit.488_4_219	K05520
vamb.megahit.488_4_220	K21515
vamb.megahit.488_4_222	K02050
vamb.megahit.488_4_223	K02049
vamb.megahit.488_4_223	K15555

vamb.megahit.488_4_224	K02051
vamb.megahit.488_4_230	K02587
vamb.megahit.488_4_231	K02587
vamb.megahit.488_4_232	K02013
vamb.megahit.488_4_233	K02015
vamb.megahit.488_4_234	K02016
vamb.megahit.488_4_235	K02588
vamb.megahit.488_4_247	K02013
vamb.megahit.488_4_248	K02013
vamb.megahit.488_4_248	K02015

vamb.megahit.488_4_253	K06200
vamb.megahit.488_4_262	K06871
vamb.megahit.488_4_265	K06871
vamb.megahit.488_4_266	K18104
vamb.megahit.488_4_273	K06147
vamb.megahit.488_4_274	K06147
vamb.megahit.488_4_275	K02013
vamb.megahit.488_4_276	K02015
vamb.megahit.488_4_277	K02015
vamb.megahit.488_4_278	K02016
vamb.megahit.488_4_279	K00432
vamb.megahit.488_4_280	K06147
vamb.megahit.488_4_281	K06147
vamb.megahit.488_4_283	K03412
vamb.megahit.488_4_284	K00575
vamb.megahit.488_4_285	K03406
vamb.megahit.488_4_286	K03406
vamb.megahit.488_4_287	K03407
vamb.megahit.488_4_288	K03407
vamb.megahit.488_4_289	K03407
vamb.megahit.488_4_290	K00433
vamb.megahit.488_4_290	K01055

vamb.megahit.488_4_291	K00433
vamb.megahit.488_4_291	K01055

vamb.megahit.488_4_292	K02050
vamb.megahit.488_4_294	K02049
vamb.megahit.488_4_297	K01992
vamb.megahit.488_4_298	K01992
vamb.megahit.488_4_299	K01990
vamb.megahit.488_4_306	K03147
vamb.megahit.488_4_306	K22465

vamb.megahit.488_4_307	K00941
vamb.megahit.488_4_309	K00788
vamb.megahit.488_4_311	K00878
vamb.megahit.488_4_315	K06016
vamb.megahit.488_4_318	K00016
vamb.megahit.488_4_321	K01142
vamb.megahit.488_4_323	K16785
vamb.megahit.488_4_330	K00984
vamb.megahit.488_4_330	K19279

vamb.megahit.488_4_332	K06969
vamb.megahit.488_4_337	K03088
vamb.megahit.488_4_350	K01156
vamb.megahit.488_5_5	K01007
vamb.megahit.488_5_7	K09779
vamb.megahit.488_5_9	K05873
vamb.megahit.488_5_10	K02564
vamb.megahit.488_5_11	K07099
vamb.megahit.488_5_13	K03547
vamb.megahit.488_5_15	K10112
vamb.megahit.488_5_18	K10119
vamb.megahit.488_5_18	K10202

vamb.megahit.488_5_19	K02025
vamb.megahit.488_5_19	K10201
vamb.megahit.488_5_19	K15771

vamb.megahit.488_5_20	K10200
vamb.megahit.488_5_21	K07106
vamb.megahit.488_5_26	K04565
vamb.megahit.488_5_29	K00657
vamb.megahit.488_5_31	K19272
vamb.megahit.488_5_31	K19299

vamb.megahit.488_5_32	K00897
vamb.megahit.488_5_32	K10673
vamb.megahit.488_5_32	K19272
vamb.megahit.488_5_32	K19299
vamb.megahit.488_5_32	K19300

vamb.megahit.488_5_38	K06901
vamb.megahit.488_5_40	K06015
vamb.megahit.488_5_42	K19221
vamb.megahit.488_5_44	K07084
vamb.megahit.488_5_45	K01745
vamb.megahit.488_5_46	K01712
vamb.megahit.488_5_47	K06714
vamb.megahit.488_5_48	K00600
vamb.megahit.488_5_49	K02035
vamb.megahit.488_5_52	K02032
vamb.megahit.488_5_53	K02031
vamb.megahit.488_5_54	K02034
vamb.megahit.488_5_55	K02033
vamb.megahit.488_5_56	K09703
vamb.megahit.488_5_57	K16841
vamb.megahit.488_5_58	K09684
vamb.megahit.488_5_60	K03833
vamb.megahit.488_5_61	K01042
vamb.megahit.488_5_62	K01008
vamb.megahit.488_5_63	K02237
vamb.megahit.488_5_64	K07258
vamb.megahit.488_5_65	K09022
vamb.megahit.488_5_66	K09710
vamb.megahit.488_5_68	K00969
vamb.megahit.488_5_69	K00969
vamb.megahit.488_5_70	K07574
vamb.megahit.488_5_72	K03979
vamb.megahit.488_5_73	K02899
vamb.megahit.488_5_74	K07584
vamb.megahit.488_5_75	K02888
vamb.megahit.488_5_76	K08301
vamb.megahit.488_5_80	K03734
vamb.megahit.488_5_82	K03608
vamb.megahit.488_5_83	K03609
vamb.megahit.488_5_84	K03610
vamb.megahit.488_5_85	K05515
vamb.megahit.488_5_86	K03571
vamb.megahit.488_5_87	K03570
vamb.megahit.488_5_88	K03569
vamb.megahit.488_5_89	K03630
vamb.megahit.488_5_90	K06287
vamb.megahit.488_5_91	K00805
vamb.megahit.488_5_92	K00805
vamb.megahit.488_5_93	K03616
vamb.megahit.488_5_94	K03617
vamb.megahit.488_5_95	K03613
vamb.megahit.488_5_96	K03612
vamb.megahit.488_5_97	K03614
vamb.megahit.488_5_98	K03615
vamb.megahit.488_5_99	K02346
vamb.megahit.488_5_100	K02035
vamb.megahit.488_5_101	K08309
vamb.megahit.488_5_102	K00859
vamb.megahit.488_5_103	K02335
vamb.megahit.488_5_104	K01678
vamb.megahit.488_5_105	K01677
vamb.megahit.488_5_106	K00027
vamb.megahit.488_5_107	K01744
vamb.megahit.488_5_109	K01270
vamb.megahit.488_5_116	K00762
vamb.megahit.488_5_117	K17828
vamb.megahit.488_5_118	K02823
vamb.megahit.488_5_119	K01591
vamb.megahit.488_5_120	K01465
vamb.megahit.488_5_121	K00610
vamb.megahit.488_5_122	K00609
vamb.megahit.488_5_128	K06889
vamb.megahit.488_5_132	K07464
vamb.megahit.488_5_132	K10844

vamb.megahit.488_5_137	K02004
vamb.megahit.488_5_138	K02003
vamb.megahit.488_5_140	K18816
vamb.megahit.488_5_141	K18816
vamb.megahit.488_5_143	K00215
vamb.megahit.488_5_145	K03340
vamb.megahit.488_5_150	K03703
vamb.megahit.488_5_151	K00354
vamb.megahit.488_5_152	K01286
vamb.megahit.488_5_153	K07038
vamb.megahit.488_5_154	K01273
vamb.megahit.488_5_155	K01488
vamb.megahit.488_5_158	K01990
vamb.megahit.488_5_163	K04070
vamb.megahit.488_5_165	K04069
vamb.megahit.488_5_168	K07098
vamb.megahit.488_5_169	K07095
vamb.megahit.488_5_170	K02428
vamb.megahit.488_5_171	K06298
vamb.megahit.488_5_173	K01448
vamb.megahit.488_5_174	K04655
vamb.megahit.488_5_176	K02434
vamb.megahit.488_5_177	K02433
vamb.megahit.488_5_178	K02435
vamb.megahit.488_5_179	K01972
vamb.megahit.488_5_180	K03657
vamb.megahit.488_5_186	K03088
vamb.megahit.488_5_187	K03972
vamb.megahit.488_5_193	K09931
vamb.megahit.488_5_195	K02010
vamb.megahit.488_5_195	K02052

vamb.megahit.488_5_196	K02053
vamb.megahit.488_5_197	K02054
vamb.megahit.488_5_198	K02055
vamb.megahit.488_5_199	K01239
vamb.megahit.488_5_201	K02004
vamb.megahit.488_5_202	K02004
vamb.megahit.488_5_203	K02003
vamb.megahit.488_5_203	K11635

vamb.megahit.488_5_207	K01304
vamb.megahit.488_5_211	K02035
vamb.megahit.488_5_212	K02032
vamb.megahit.488_5_213	K02031
vamb.megahit.488_5_213	K02032

vamb.megahit.488_5_214	K02034
vamb.megahit.488_5_215	K02033
vamb.megahit.488_5_215	K15581

vamb.megahit.488_5_218	K01751
vamb.megahit.488_5_220	K01990
vamb.megahit.488_5_222	K20488
vamb.megahit.488_5_223	K20488
vamb.megahit.488_5_224	K13953
vamb.megahit.488_5_226	K01938
vamb.megahit.488_5_227	K02790
vamb.megahit.488_5_227	K02791

vamb.megahit.488_5_229	K01222
vamb.megahit.488_5_229	K01232

vamb.megahit.488_5_230	K01443
vamb.megahit.488_5_232	K14591
vamb.megahit.488_5_233	K09703
vamb.megahit.488_5_235	K02031
vamb.megahit.488_5_235	K02032

vamb.megahit.488_5_236	K02034
vamb.megahit.488_5_237	K02033
vamb.megahit.488_5_238	K02035
vamb.megahit.488_5_239	K01945
vamb.megahit.488_5_240	K00602
vamb.megahit.488_5_241	K11175
vamb.megahit.488_5_242	K01933
vamb.megahit.488_5_243	K00764
vamb.megahit.488_5_244	K01588
vamb.megahit.488_5_245	K01952
vamb.megahit.488_5_249	K02057
vamb.megahit.488_5_250	K02057
vamb.megahit.488_5_251	K02056
vamb.megahit.488_6_2	K07813
vamb.megahit.488_6_7	K00161
vamb.megahit.488_6_7	K21416

vamb.megahit.488_6_8	K00162
vamb.megahit.488_6_8	K21417

vamb.megahit.488_6_9	K00627
vamb.megahit.488_6_10	K00382
vamb.megahit.488_6_14	K03639
vamb.megahit.488_6_15	K03637
vamb.megahit.488_6_18	K21405
vamb.megahit.488_6_19	K03738
vamb.megahit.488_6_21	K06147
vamb.megahit.488_6_22	K06147
vamb.megahit.488_6_23	K02040
vamb.megahit.488_6_24	K02037
vamb.megahit.488_6_25	K02038
vamb.megahit.488_6_26	K02036
vamb.megahit.488_6_30	K03189
vamb.megahit.488_6_30	K04652

vamb.megahit.488_6_33	K05601
vamb.megahit.488_6_35	K03800
vamb.megahit.488_6_36	K03644
vamb.megahit.488_6_41	K00666
vamb.megahit.488_6_41	K01911

vamb.megahit.488_6_42	K00648
vamb.megahit.488_6_43	K00059
vamb.megahit.488_6_44	K02033
vamb.megahit.488_6_49	K02035
vamb.megahit.488_6_56	K02004
vamb.megahit.488_6_57	K02003
vamb.megahit.488_6_57	K09810

vamb.megahit.488_6_58	K02304
vamb.megahit.488_6_59	K02302
vamb.megahit.488_6_59	K02303
vamb.megahit.488_6_59	K13542

vamb.megahit.488_6_61	K03499
vamb.megahit.488_6_62	K03498
vamb.megahit.488_6_63	K11065
vamb.megahit.488_6_64	K07650
vamb.megahit.488_6_65	K07770
vamb.megahit.488_6_66	K04771
vamb.megahit.488_6_69	K06972
vamb.megahit.488_6_70	K01929
vamb.megahit.488_6_71	K01921
vamb.megahit.488_6_73	K01989
vamb.megahit.488_6_74	K05832
vamb.megahit.488_6_75	K05833
vamb.megahit.488_7_1	K02004
vamb.megahit.488_7_3	K19091
vamb.megahit.488_7_4	K13052
vamb.megahit.488_7_5	K09002
vamb.megahit.488_7_9	K03436
vamb.megahit.488_7_10	K00882
vamb.megahit.488_7_11	K02768
vamb.megahit.488_7_11	K02806

vamb.megahit.488_7_12	K02769
vamb.megahit.488_7_12	K02770

vamb.megahit.488_7_13	K01077
vamb.megahit.488_7_13	K11751
vamb.megahit.488_7_13	K13730

vamb.megahit.488_7_15	K03483
vamb.megahit.488_7_17	K02030
vamb.megahit.488_7_18	K02029
vamb.megahit.488_7_18	K02030

vamb.megahit.488_7_19	K02028
vamb.megahit.488_7_20	K12941
vamb.megahit.488_7_21	K12941
vamb.megahit.488_7_27	K06206
vamb.megahit.488_7_30	K02238
vamb.megahit.488_7_32	K01914
vamb.megahit.488_7_35	K04767
vamb.megahit.488_7_37	K01159
vamb.megahit.488_7_38	K03550
vamb.megahit.488_7_39	K03551
vamb.megahit.488_7_41	K06381
vamb.megahit.488_7_42	K07568
vamb.megahit.488_7_43	K00773
vamb.megahit.488_7_44	K03210
vamb.megahit.488_7_47	K06871
vamb.megahit.488_7_48	K07462
vamb.megahit.488_7_50	K00951
vamb.megahit.488_7_51	K07560
vamb.megahit.488_7_55	K01876
vamb.megahit.488_7_56	K22132
vamb.megahit.488_7_57	K03803
vamb.megahit.488_7_58	K21600
vamb.megahit.488_7_61	K00600
vamb.megahit.488_7_63	K03977
vamb.megahit.488_7_64	K08591
vamb.megahit.488_7_65	K00057
vamb.megahit.488_7_66	K06398
vamb.megahit.488_7_69	K06997
vamb.megahit.488_7_70	K09772
vamb.megahit.488_7_71	K02221
vamb.megahit.488_7_73	K04074
vamb.megahit.488_7_74	K01626
vamb.megahit.488_7_74	K03856
vamb.megahit.488_7_74	K13853

vamb.megahit.488_7_77	K03101
vamb.megahit.488_7_78	K06180
vamb.megahit.488_7_79	K02825
vamb.megahit.488_7_82	K09777
vamb.megahit.488_7_83	K00942
vamb.megahit.488_7_84	K03060
vamb.megahit.488_7_85	K01598
vamb.megahit.488_7_85	K13038

vamb.megahit.488_7_86	K04066
vamb.megahit.488_7_87	K01462
vamb.megahit.488_7_88	K00604
vamb.megahit.488_7_89	K06973
vamb.megahit.488_7_90	K03500
vamb.megahit.488_7_91	K20074
vamb.megahit.488_7_92	K12132
vamb.megahit.488_7_93	K06949
vamb.megahit.488_7_94	K01783
vamb.megahit.488_7_95	K16789
vamb.megahit.488_7_96	K00949
vamb.megahit.488_7_98	K02902
vamb.megahit.488_7_100	K07030
vamb.megahit.488_7_101	K03655
vamb.megahit.488_7_102	K08316
vamb.megahit.488_7_103	K00954
vamb.megahit.488_7_107	K00925
vamb.megahit.488_7_108	K07040
vamb.megahit.488_7_109	K02911
vamb.megahit.488_7_110	K03621
vamb.megahit.488_7_111	K02078
vamb.megahit.488_7_112	K03685
vamb.megahit.488_7_114	K03529
vamb.megahit.488_7_115	K03110
vamb.megahit.488_7_116	K09787
vamb.megahit.488_7_117	K03106
vamb.megahit.488_7_118	K02959
vamb.megahit.488_7_119	K06960
vamb.megahit.488_7_120	K02860
vamb.megahit.488_7_121	K00554
vamb.megahit.488_7_122	K02884
vamb.megahit.488_7_123	K14540
vamb.megahit.488_7_124	K03470
vamb.megahit.488_7_126	K04061
vamb.megahit.488_7_127	K07460
vamb.megahit.488_7_128	K07391
vamb.megahit.488_7_129	K04096
vamb.megahit.488_7_130	K03168
vamb.megahit.488_7_131	K01419
vamb.megahit.488_7_132	K03667
vamb.megahit.488_7_133	K03706
vamb.megahit.488_7_134	K02387
vamb.megahit.488_7_135	K02388
vamb.megahit.488_7_136	K02408
vamb.megahit.488_7_137	K02409
vamb.megahit.488_7_138	K02410
vamb.megahit.488_7_139	K02411
vamb.megahit.488_7_140	K02412
vamb.megahit.488_7_140	K03224

vamb.megahit.488_7_143	K02414
vamb.megahit.488_7_144	K02389
vamb.megahit.488_7_146	K02390
vamb.megahit.488_7_147	K02385
vamb.megahit.488_7_148	K02556
vamb.megahit.488_7_149	K02557
vamb.megahit.488_7_150	K02415
vamb.megahit.488_7_151	K02416
vamb.megahit.488_7_152	K02416
vamb.megahit.488_7_153	K02417
vamb.megahit.488_7_154	K03413
vamb.megahit.488_7_155	K02418
vamb.megahit.488_7_156	K02419
vamb.megahit.488_7_157	K02420
vamb.megahit.488_7_158	K02421
vamb.megahit.488_7_159	K02401
vamb.megahit.488_7_159	K13820

vamb.megahit.488_7_160	K02400
vamb.megahit.488_7_161	K02404
vamb.megahit.488_7_162	K04562
vamb.megahit.488_7_164	K03412
vamb.megahit.488_7_165	K03407
vamb.megahit.488_7_166	K03408
vamb.megahit.488_7_167	K03410
vamb.megahit.488_7_168	K03411
vamb.megahit.488_7_169	K02405
vamb.megahit.488_7_170	K09749
vamb.megahit.488_7_173	K02967
vamb.megahit.488_7_174	K02357
vamb.megahit.488_7_175	K09903
vamb.megahit.488_7_176	K02838
vamb.megahit.488_7_177	K00806
vamb.megahit.488_7_178	K00981
vamb.megahit.488_7_179	K11749
vamb.megahit.488_7_180	K03526
vamb.megahit.488_7_181	K07507
vamb.megahit.488_7_182	K02342
vamb.megahit.488_7_182	K03763

vamb.megahit.488_7_183	K09748
vamb.megahit.488_7_184	K02600
vamb.megahit.488_7_185	K07742
vamb.megahit.488_7_186	K02519
vamb.megahit.488_7_187	K02834
vamb.megahit.488_7_188	K06881
vamb.megahit.488_7_189	K03177
vamb.megahit.488_7_190	K11753
vamb.megahit.488_7_191	K02956
vamb.megahit.488_7_192	K00962
vamb.megahit.488_7_195	K01520
vamb.megahit.488_7_197	K01358
vamb.megahit.488_7_198	K03466
vamb.megahit.488_7_199	K14441
vamb.megahit.488_7_200	K00995
vamb.megahit.488_7_200	K08744

vamb.megahit.488_7_201	K03742
vamb.megahit.488_7_201	K03743

vamb.megahit.488_7_202	K03553
vamb.megahit.488_7_203	K03546
vamb.megahit.488_7_204	K03546
vamb.megahit.488_7_207	K18682
vamb.megahit.488_7_208	K06416
vamb.megahit.488_7_209	K07053
vamb.megahit.488_7_211	K00812
vamb.megahit.488_7_211	K10907

vamb.megahit.488_7_212	K21029
vamb.megahit.488_7_213	K03733
vamb.megahit.488_7_213	K04763

vamb.megahit.488_7_215	K01356
vamb.megahit.488_7_217	K03666
vamb.megahit.488_7_218	K00791
vamb.megahit.488_7_219	K03572
vamb.megahit.488_7_220	K03555
vamb.megahit.488_7_221	K06168
vamb.megahit.488_8_1	K01153
vamb.megahit.488_8_2	K05521
vamb.megahit.488_8_3	K05521
vamb.megahit.488_8_7	K03798
vamb.megahit.488_8_10	K03310
vamb.megahit.488_8_11	K03406
vamb.megahit.488_8_15	K02049
vamb.megahit.488_8_24	K09825
vamb.megahit.488_8_25	K03386
vamb.megahit.488_8_27	K01620
vamb.megahit.488_8_28	K03809
vamb.megahit.488_8_30	K01448
vamb.megahit.488_8_34	K02003
vamb.megahit.488_8_36	K02004
vamb.megahit.488_8_40	K05970
vamb.megahit.488_8_43	K16785
vamb.megahit.488_8_44	K16786
vamb.megahit.488_8_44	K16787

vamb.megahit.488_8_45	K16927
