concoct_megahit_6_1_1	K00598
concoct_megahit_6_17_3	K00010
concoct_megahit_6_17_4	K01470
concoct_megahit_6_17_4	K22232
concoct_megahit_6_17_5	K22231
concoct_megahit_6_17_7	K10440
concoct_megahit_6_17_8	K10441
concoct_megahit_6_18_2	K07238
concoct_megahit_6_18_3	K03091
concoct_megahit_6_18_4	K06962
concoct_megahit_6_18_5	K03218
concoct_megahit_6_18_6	K03465
concoct_megahit_6_18_7	K11145
concoct_megahit_6_18_8	K01883
concoct_megahit_6_19_1	K02992
concoct_megahit_6_19_2	K02355
concoct_megahit_6_19_3	K02358
concoct_megahit_6_20_2	K06147
concoct_megahit_6_21_2	K01803
concoct_megahit_6_21_7	K01809
concoct_megahit_6_21_8	K02529
concoct_megahit_6_22_1	K02992
concoct_megahit_6_22_2	K02950
concoct_megahit_6_22_3	K07590
concoct_megahit_6_22_4	K03046
concoct_megahit_6_22_5	K03043
concoct_megahit_6_23_1	K02416
concoct_megahit_6_23_2	K02417
concoct_megahit_6_23_3	K03413
concoct_megahit_6_23_4	K02418
concoct_megahit_6_23_5	K02419
concoct_megahit_6_23_6	K02420
concoct_megahit_6_23_7	K02421
concoct_megahit_6_23_8	K02401
concoct_megahit_6_23_8	K13820
concoct_megahit_6_23_9	K02400
concoct_megahit_6_23_10	K02404
concoct_megahit_6_23_11	K04562
concoct_megahit_6_24_2	K03407
concoct_megahit_6_24_3	K03408
concoct_megahit_6_24_4	K03410
concoct_megahit_6_24_5	K03411
concoct_megahit_6_24_6	K02405
concoct_megahit_6_24_7	K09749
concoct_megahit_6_24_10	K04487
concoct_megahit_6_24_11	K04488
concoct_megahit_6_24_12	K00566
concoct_megahit_6_25_2	K06442
concoct_megahit_6_25_4	K00858
concoct_megahit_6_25_5	K03402
concoct_megahit_6_25_6	K03631
concoct_megahit_6_25_7	K06399
concoct_megahit_6_25_8	K07699
concoct_megahit_6_25_10	K01515
concoct_megahit_6_25_12	K06384
concoct_megahit_6_26_1	K04763
concoct_megahit_6_26_2	K07258
concoct_megahit_6_26_3	K06378
concoct_megahit_6_26_4	K06379
concoct_megahit_6_26_5	K03090
concoct_megahit_6_26_5	K03091
concoct_megahit_6_26_7	K09165
concoct_megahit_6_26_8	K06405
concoct_megahit_6_26_9	K06406
concoct_megahit_6_26_10	K06407
concoct_megahit_6_26_15	K01586
concoct_megahit_6_27_2	K00362
concoct_megahit_6_27_2	K22405
concoct_megahit_6_27_5	K01921
concoct_megahit_6_27_7	K04940
concoct_megahit_6_27_9	K02614
concoct_megahit_6_27_10	K13292
concoct_megahit_6_27_15	K00528
concoct_megahit_6_27_15	K16951
concoct_megahit_6_27_16	K00266
concoct_megahit_6_28_1	K10441
concoct_megahit_6_28_2	K10440
concoct_megahit_6_28_3	K00008
concoct_megahit_6_28_3	K00060
concoct_megahit_6_28_4	K01470
concoct_megahit_6_28_4	K22232
concoct_megahit_6_28_6	K00805
concoct_megahit_6_28_8	K05825
concoct_megahit_6_28_9	K06215
concoct_megahit_6_28_10	K02456
concoct_megahit_6_28_10	K02650
concoct_megahit_6_28_11	K02654
concoct_megahit_6_28_12	K01653
concoct_megahit_6_28_13	K01687
concoct_megahit_6_28_15	K01992
concoct_megahit_6_28_16	K01990
concoct_megahit_6_28_16	K19340
concoct_megahit_6_29_2	K03292
concoct_megahit_6_31_2	K00354
concoct_megahit_6_31_5	K15986
concoct_megahit_6_32_4	K06206
concoct_megahit_6_32_5	K11069
concoct_megahit_6_32_5	K11070
concoct_megahit_6_32_6	K11070
concoct_megahit_6_32_7	K11071
concoct_megahit_6_32_8	K11072
concoct_megahit_6_33_1	K03892
concoct_megahit_6_33_2	K07089
concoct_megahit_6_33_5	K07043
concoct_megahit_6_34_3	K01887
concoct_megahit_6_34_5	K00762
concoct_megahit_6_34_6	K01591
concoct_megahit_6_34_7	K17828
concoct_megahit_6_34_8	K02823
concoct_megahit_6_34_9	K01955
concoct_megahit_6_34_10	K01465
concoct_megahit_6_34_11	K00609
concoct_megahit_6_34_12	K01776
concoct_megahit_6_34_14	K06282
concoct_megahit_6_34_15	K06281
concoct_megahit_6_34_17	K06423
concoct_megahit_6_35_1	K03282
concoct_megahit_6_35_4	K07016
concoct_megahit_6_35_5	K19091
concoct_megahit_6_36_1	K00554
concoct_megahit_6_36_2	K02884
concoct_megahit_6_36_3	K14540
concoct_megahit_6_36_4	K03470
concoct_megahit_6_36_5	K07460
concoct_megahit_6_36_7	K07391
concoct_megahit_6_36_8	K04096
concoct_megahit_6_36_9	K03168
concoct_megahit_6_36_10	K04094
concoct_megahit_6_36_11	K03733
concoct_megahit_6_36_11	K04763
concoct_megahit_6_36_12	K01419
concoct_megahit_6_36_13	K03667
concoct_megahit_6_36_14	K03706
concoct_megahit_6_37_2	K01619
concoct_megahit_6_37_3	K01619
concoct_megahit_6_38_1	K00812
concoct_megahit_6_38_1	K10907
concoct_megahit_6_38_4	K03787
concoct_megahit_6_39_1	K01443
concoct_megahit_6_40_1	K02056
concoct_megahit_6_40_2	K02057
concoct_megahit_6_40_4	K04477
concoct_megahit_6_40_6	K04061
concoct_megahit_6_41_1	K03106
concoct_megahit_6_41_2	K09787
concoct_megahit_6_41_3	K03110
concoct_megahit_6_41_4	K03529
concoct_megahit_6_42_1	K13282
concoct_megahit_6_43_1	K01937
concoct_megahit_6_43_3	K06297
concoct_megahit_6_44_1	K00303
concoct_megahit_6_44_1	K03153
concoct_megahit_6_44_2	K01714
concoct_megahit_6_45_1	K17686
concoct_megahit_6_45_5	K01505
concoct_megahit_6_45_6	K02051
concoct_megahit_6_45_7	K02050
concoct_megahit_6_45_7	K15554
concoct_megahit_6_45_8	K02049
concoct_megahit_6_45_8	K15555
concoct_megahit_6_45_9	K03744
concoct_megahit_6_45_10	K06872
concoct_megahit_6_45_11	K00876
concoct_megahit_6_45_13	K03704
concoct_megahit_6_45_14	K05808
concoct_megahit_6_45_17	K03070
concoct_megahit_6_46_2	K02005
concoct_megahit_6_46_2	K13888
concoct_megahit_6_46_2	K15727
concoct_megahit_6_46_3	K03296
concoct_megahit_6_47_2	K03075
concoct_megahit_6_47_3	K15987
concoct_megahit_6_47_4	K17073
concoct_megahit_6_47_5	K02029
concoct_megahit_6_47_5	K10040
concoct_megahit_6_47_5	K17073
concoct_megahit_6_47_5	K17074
concoct_megahit_6_47_6	K02028
concoct_megahit_6_47_6	K10041
concoct_megahit_6_47_6	K17074
concoct_megahit_6_47_6	K17076
concoct_megahit_6_49_3	K03412
concoct_megahit_6_49_4	K07478
concoct_megahit_6_49_5	K01512
concoct_megahit_6_49_6	K06398
concoct_megahit_6_50_1	K02227
concoct_megahit_6_50_2	K04720
concoct_megahit_6_50_3	K16651
concoct_megahit_6_50_4	K02231
concoct_megahit_6_50_5	K02015
concoct_megahit_6_50_6	K02016
concoct_megahit_6_50_7	K01778
concoct_megahit_6_51_2	K05878
concoct_megahit_6_51_3	K05879
concoct_megahit_6_51_4	K01808
concoct_megahit_6_51_5	K01803
concoct_megahit_6_51_5	K21910
concoct_megahit_6_51_9	K02346
concoct_megahit_6_51_9	K03502
concoct_megahit_6_51_11	K01921
concoct_megahit_6_51_12	K02548
concoct_megahit_6_51_14	K00020
concoct_megahit_6_51_14	K00042
concoct_megahit_6_51_15	K00971
concoct_megahit_6_51_15	K16011
concoct_megahit_6_51_16	K07282
concoct_megahit_6_53_3	K02435
concoct_megahit_6_53_4	K02433
concoct_megahit_6_53_5	K02434
concoct_megahit_6_54_2	K07009
concoct_megahit_6_54_3	K00851
concoct_megahit_6_55_1	K06187
concoct_megahit_6_55_2	K09747
concoct_megahit_6_55_3	K02343
concoct_megahit_6_56_1	K00297
concoct_megahit_6_56_3	K01491
concoct_megahit_6_57_3	K00826
concoct_megahit_6_57_4	K01652
concoct_megahit_6_57_5	K00052
concoct_megahit_6_58_2	K03088
concoct_megahit_6_59_1	K03406
concoct_megahit_6_59_2	K05363
concoct_megahit_6_59_2	K11693
concoct_megahit_6_60_2	K01667
concoct_megahit_6_60_3	K13954
concoct_megahit_6_60_4	K20107
concoct_megahit_6_60_4	K20108
concoct_megahit_6_60_5	K01439
concoct_megahit_6_60_7	K02777
concoct_megahit_6_60_7	K20116
concoct_megahit_6_60_7	K20117
concoct_megahit_6_60_7	K20118
concoct_megahit_6_62_3	K01934
concoct_megahit_6_62_5	K02005
concoct_megahit_6_62_6	K02004
concoct_megahit_6_62_7	K02003
concoct_megahit_6_62_9	K00525
concoct_megahit_6_62_10	K09825
concoct_megahit_6_63_1	K00817
concoct_megahit_6_63_4	K07216
concoct_megahit_6_63_6	K06889
concoct_megahit_6_64_1	K03769
concoct_megahit_6_64_1	K07533
concoct_megahit_6_64_2	K03723
concoct_megahit_6_64_4	K02337
concoct_megahit_6_64_4	K14162
concoct_megahit_6_64_11	K15986
concoct_megahit_6_65_5	K03721
concoct_megahit_6_67_1	K02044
concoct_megahit_6_67_2	K05878
concoct_megahit_6_67_3	K05879
concoct_megahit_6_67_4	K05881
concoct_megahit_6_69_1	K00196
concoct_megahit_6_69_2	K00265
concoct_megahit_6_69_4	K01756
concoct_megahit_6_69_5	K00821
concoct_megahit_6_69_5	K09251
concoct_megahit_6_69_6	K01939
concoct_megahit_6_69_7	K02434
concoct_megahit_6_69_8	K02433
concoct_megahit_6_70_1	K02433
concoct_megahit_6_70_2	K02435
concoct_megahit_6_70_3	K02500
concoct_megahit_6_70_4	K01951
concoct_megahit_6_70_6	K01622
concoct_megahit_6_70_8	K00789
concoct_megahit_6_70_9	K07777
concoct_megahit_6_70_10	K07692
concoct_megahit_6_71_3	K00088
concoct_megahit_6_71_4	K05845
concoct_megahit_6_71_4	K05846
concoct_megahit_6_72_1	K06310
concoct_megahit_6_72_4	K09793
concoct_megahit_6_72_5	K00003
concoct_megahit_6_72_5	K07166
concoct_megahit_6_72_6	K09157
concoct_megahit_6_73_2	K06409
concoct_megahit_6_74_1	K02004
concoct_megahit_6_74_2	K01537
concoct_megahit_6_74_4	K06207
concoct_megahit_6_74_8	K03524
concoct_megahit_6_75_1	K04750
concoct_megahit_6_75_3	K06001
concoct_megahit_6_76_1	K03043
concoct_megahit_6_78_1	K22132
concoct_megahit_6_78_2	K21600
concoct_megahit_6_78_3	K03803
concoct_megahit_6_78_4	K01872
concoct_megahit_6_78_7	K07447
concoct_megahit_6_78_9	K00058
concoct_megahit_6_78_10	K03711
concoct_megahit_6_78_11	K01537
concoct_megahit_6_79_2	K08322
concoct_megahit_6_79_4	K01686
concoct_megahit_6_80_1	K02478
concoct_megahit_6_80_1	K07704
concoct_megahit_6_80_2	K02477
concoct_megahit_6_80_2	K07705
concoct_megahit_6_80_4	K08963
concoct_megahit_6_80_5	K00874
concoct_megahit_6_80_6	K02564
concoct_megahit_6_80_9	K01751
concoct_megahit_6_80_13	K14475
concoct_megahit_6_80_14	K21071
concoct_megahit_6_81_1	K04034
concoct_megahit_6_81_2	K05833
concoct_megahit_6_81_3	K05832
concoct_megahit_6_81_4	K01989
concoct_megahit_6_81_6	K07238
concoct_megahit_6_81_7	K03324
concoct_megahit_6_81_11	K07668
concoct_megahit_6_81_11	K07775
concoct_megahit_6_82_1	K06915
concoct_megahit_6_82_3	K06284
concoct_megahit_6_82_5	K00286
concoct_megahit_6_82_6	K07056
concoct_megahit_6_82_7	K01714
concoct_megahit_6_82_8	K06973
concoct_megahit_6_82_10	K02341
concoct_megahit_6_82_11	K09770
concoct_megahit_6_82_12	K00943
concoct_megahit_6_83_1	K01582
concoct_megahit_6_83_1	K01585
concoct_megahit_6_83_3	K02469
concoct_megahit_6_83_4	K02470
concoct_megahit_6_83_7	K03629
concoct_megahit_6_83_8	K14761
concoct_megahit_6_83_9	K02338
concoct_megahit_6_84_1	K02313
concoct_megahit_6_84_2	K03536
concoct_megahit_6_84_3	K03217
concoct_megahit_6_84_4	K06346
concoct_megahit_6_84_5	K03650
concoct_megahit_6_84_6	K03495
concoct_megahit_6_84_7	K03501
concoct_megahit_6_84_8	K03497
concoct_megahit_6_84_9	K03496
concoct_megahit_6_84_10	K03497
concoct_megahit_6_84_11	K07150
concoct_megahit_6_84_21	K16052
concoct_megahit_6_84_21	K22044
concoct_megahit_6_85_1	K07080
concoct_megahit_6_85_4	K07220
concoct_megahit_6_85_5	K03306
concoct_megahit_6_86_2	K04518
concoct_megahit_6_86_3	K03856
concoct_megahit_6_86_4	K04517
concoct_megahit_6_86_5	K01735
concoct_megahit_6_86_5	K13829
concoct_megahit_6_86_6	K00800
concoct_megahit_6_86_7	K01736
concoct_megahit_6_86_8	K04518
concoct_megahit_6_86_8	K14170
concoct_megahit_6_87_1	K01755
concoct_megahit_6_88_1	K13641
concoct_megahit_6_88_2	K00001
concoct_megahit_6_88_4	K09155
concoct_megahit_6_88_6	K01755
concoct_megahit_6_90_1	K06297
concoct_megahit_6_90_2	K06296
concoct_megahit_6_90_2	K06311
concoct_megahit_6_91_1	K21898
concoct_megahit_6_91_2	K03885
concoct_megahit_6_91_3	K03734
concoct_megahit_6_92_1	K02416
concoct_megahit_6_92_2	K02415
concoct_megahit_6_92_3	K02557
concoct_megahit_6_92_4	K02556
concoct_megahit_6_92_5	K02385
concoct_megahit_6_92_6	K02390
concoct_megahit_6_92_8	K02389
concoct_megahit_6_92_9	K02414
concoct_megahit_6_92_10	K02383
concoct_megahit_6_92_11	K02413
concoct_megahit_6_92_12	K02412
concoct_megahit_6_92_12	K03224
concoct_megahit_6_92_13	K02411
concoct_megahit_6_92_14	K02410
concoct_megahit_6_92_15	K02409
concoct_megahit_6_92_16	K02408
concoct_megahit_6_92_17	K02388
concoct_megahit_6_92_18	K02387
concoct_megahit_6_93_1	K00962
concoct_megahit_6_93_2	K02956
concoct_megahit_6_93_3	K11753
concoct_megahit_6_93_4	K03177
concoct_megahit_6_93_5	K06881
concoct_megahit_6_93_6	K02834
concoct_megahit_6_93_7	K02519
concoct_megahit_6_93_9	K07742
concoct_megahit_6_93_10	K02600
concoct_megahit_6_93_11	K09748
concoct_megahit_6_93_12	K03763
concoct_megahit_6_95_1	K02358
concoct_megahit_6_95_2	K03073
concoct_megahit_6_95_3	K02601
concoct_megahit_6_95_4	K02867
concoct_megahit_6_95_5	K02863
concoct_megahit_6_95_6	K02864
concoct_megahit_6_95_7	K02935
concoct_megahit_6_97_2	K06942
concoct_megahit_6_97_3	K03100
concoct_megahit_6_97_4	K01448
concoct_megahit_6_97_5	K07668
concoct_megahit_6_97_5	K07775
concoct_megahit_6_97_6	K07651
concoct_megahit_6_97_9	K07282
concoct_megahit_6_98_1	K05515
concoct_megahit_6_98_2	K07082
concoct_megahit_6_99_1	K07720
concoct_megahit_6_99_3	K03307
concoct_megahit_6_99_3	K11928
concoct_megahit_6_99_4	K12410
concoct_megahit_6_99_7	K01071
concoct_megahit_6_99_10	K02030
concoct_megahit_6_100_1	K03475
concoct_megahit_6_100_2	K07048
concoct_megahit_6_100_3	K01470
concoct_megahit_6_102_1	K02397
concoct_megahit_6_102_3	K13626
concoct_megahit_6_102_4	K03563
concoct_megahit_6_102_5	K01156
concoct_megahit_6_102_5	K07316
concoct_megahit_6_102_6	K01156
concoct_megahit_6_102_7	K03406
concoct_megahit_6_102_9	K06942
concoct_megahit_6_102_10	K07076
concoct_megahit_6_103_2	K01892
concoct_megahit_6_103_3	K12960
concoct_megahit_6_103_3	K20810
concoct_megahit_6_103_4	K00772
concoct_megahit_6_103_4	K03783
concoct_megahit_6_104_1	K03092
concoct_megahit_6_104_4	K14197
concoct_megahit_6_104_5	K00133
concoct_megahit_6_105_1	K03106
concoct_megahit_6_105_2	K02959
concoct_megahit_6_105_3	K06960
concoct_megahit_6_105_4	K02860
concoct_megahit_6_105_5	K00554
concoct_megahit_6_106_1	K03475
concoct_megahit_6_106_2	K02822
concoct_megahit_6_106_5	K01754
concoct_megahit_6_106_6	K09022
concoct_megahit_6_106_8	K14155
concoct_megahit_6_106_9	K02529
concoct_megahit_6_106_10	K01686
concoct_megahit_6_107_1	K00290
concoct_megahit_6_107_2	K13566
concoct_megahit_6_107_5	K16203
concoct_megahit_6_107_6	K01489
concoct_megahit_6_107_7	K00756
concoct_megahit_6_107_7	K00758
concoct_megahit_6_107_8	K02030
concoct_megahit_6_108_2	K04517
concoct_megahit_6_108_2	K04940
concoct_megahit_6_108_2	K06410
concoct_megahit_6_108_3	K02035
concoct_megahit_6_108_4	K02033
concoct_megahit_6_108_5	K02034
concoct_megahit_6_108_6	K02031
concoct_megahit_6_108_7	K10823
concoct_megahit_6_109_1	K01839
concoct_megahit_6_109_2	K03783
concoct_megahit_6_109_4	K03737
concoct_megahit_6_109_7	K00928
concoct_megahit_6_110_1	K02081
concoct_megahit_6_110_1	K03436
concoct_megahit_6_110_6	K20609
concoct_megahit_6_111_1	K15342
concoct_megahit_6_111_5	K19134
concoct_megahit_6_112_3	K06901
concoct_megahit_6_112_6	K08999
concoct_megahit_6_112_8	K01142
concoct_megahit_6_112_9	K01151
concoct_megahit_6_113_3	K18123
concoct_megahit_6_113_6	K11689
concoct_megahit_6_113_7	K11688
concoct_megahit_6_113_11	K00854
concoct_megahit_6_113_12	K01624
concoct_megahit_6_113_13	K07053
concoct_megahit_6_114_1	K01443
concoct_megahit_6_114_3	K03409
concoct_megahit_6_115_1	K00627
concoct_megahit_6_115_2	K00382
concoct_megahit_6_115_3	K01880
concoct_megahit_6_116_5	K01714
concoct_megahit_6_117_1	K05837
concoct_megahit_6_117_3	K03608
concoct_megahit_6_117_4	K03609
concoct_megahit_6_117_5	K03610
concoct_megahit_6_117_6	K05515
concoct_megahit_6_117_7	K03571
concoct_megahit_6_117_8	K03570
concoct_megahit_6_117_9	K03569
concoct_megahit_6_117_10	K03630
concoct_megahit_6_117_11	K06287
concoct_megahit_6_118_2	K00805
concoct_megahit_6_118_3	K00805
concoct_megahit_6_118_5	K07213
concoct_megahit_6_118_7	K01620
concoct_megahit_6_118_8	K03406
concoct_megahit_6_118_9	K06374
concoct_megahit_6_118_10	K06373
concoct_megahit_6_118_13	K17836
concoct_megahit_6_118_14	K03703
concoct_megahit_6_118_15	K21903
concoct_megahit_6_118_16	K03118
concoct_megahit_6_118_17	K03116
concoct_megahit_6_118_17	K03117
concoct_megahit_6_118_18	K00259
concoct_megahit_6_118_19	K07651
concoct_megahit_6_119_3	K05520
concoct_megahit_6_119_9	K07048
concoct_megahit_6_119_14	K01628
concoct_megahit_6_120_3	K06385
concoct_megahit_6_120_4	K06012
concoct_megahit_6_120_5	K08972
concoct_megahit_6_120_6	K02968
concoct_megahit_6_120_8	K02340
concoct_megahit_6_120_9	K02238
concoct_megahit_6_120_10	K00768
concoct_megahit_6_120_11	K03310
concoct_megahit_6_121_1	K03310
concoct_megahit_6_121_2	K07010
concoct_megahit_6_121_3	K03721
concoct_megahit_6_121_3	K06714
concoct_megahit_6_121_4	K03716
concoct_megahit_6_121_7	K00215
concoct_megahit_6_121_9	K01945
concoct_megahit_6_122_1	K00602
concoct_megahit_6_122_2	K11175
concoct_megahit_6_122_3	K01933
concoct_megahit_6_122_4	K00764
concoct_megahit_6_122_5	K01952
concoct_megahit_6_122_6	K01952
concoct_megahit_6_122_7	K01952
concoct_megahit_6_122_8	K00812
concoct_megahit_6_122_8	K10907
concoct_megahit_6_122_10	K14415
concoct_megahit_6_122_11	K06426
concoct_megahit_6_123_2	K07727
concoct_megahit_6_123_5	K07098
concoct_megahit_6_123_7	K00571
concoct_megahit_6_123_7	K00590
concoct_megahit_6_123_9	K07216
concoct_megahit_6_123_11	K02238
concoct_megahit_6_124_1	K18979
concoct_megahit_6_124_3	K03594
concoct_megahit_6_124_5	K04487
concoct_megahit_6_124_6	K03151
concoct_megahit_6_124_8	K03337
concoct_megahit_6_125_1	K01889
concoct_megahit_6_125_2	K01890
concoct_megahit_6_125_3	K09888
concoct_megahit_6_125_4	K02347
concoct_megahit_6_125_5	K07456
concoct_megahit_6_126_2	K02224
concoct_megahit_6_126_3	K02232
concoct_megahit_6_126_6	K00537
concoct_megahit_6_126_8	K07129
concoct_megahit_6_126_9	K06969
concoct_megahit_6_127_4	K06878
concoct_megahit_6_127_5	K02501
concoct_megahit_6_127_6	K01956
concoct_megahit_6_127_7	K01955
concoct_megahit_6_127_8	K01916
concoct_megahit_6_127_9	K22010
concoct_megahit_6_127_10	K01778
concoct_megahit_6_127_11	K10206
concoct_megahit_6_127_12	K01937
concoct_megahit_6_127_13	K01915
concoct_megahit_6_128_1	K00868
concoct_megahit_6_128_1	K00941
concoct_megahit_6_128_1	K14153
concoct_megahit_6_128_3	K00788
concoct_megahit_6_128_4	K00878
concoct_megahit_6_129_3	K03406
concoct_megahit_6_129_4	K09121
concoct_megahit_6_130_1	K02396
concoct_megahit_6_130_3	K02398
concoct_megahit_6_130_5	K02242
concoct_megahit_6_130_7	K01534
concoct_megahit_6_133_2	K06956
concoct_megahit_6_133_2	K11102
concoct_megahit_6_135_1	K01012
concoct_megahit_6_135_1	K16180
concoct_megahit_6_135_3	K15554
concoct_megahit_6_135_4	K02049
concoct_megahit_6_135_4	K15555
concoct_megahit_6_135_5	K02051
concoct_megahit_6_135_5	K15553
concoct_megahit_6_135_7	K01923
concoct_megahit_6_135_8	K00384
concoct_megahit_6_135_9	K07001
concoct_megahit_6_135_10	K03624
concoct_megahit_6_135_11	K04567
concoct_megahit_6_136_6	K02027
concoct_megahit_6_137_2	K01176
concoct_megahit_6_137_2	K01191
concoct_megahit_6_137_2	K02014
concoct_megahit_6_137_2	K16087
concoct_megahit_6_137_2	K20276
concoct_megahit_6_137_3	K18650
concoct_megahit_6_138_1	K02478
concoct_megahit_6_138_1	K07704
concoct_megahit_6_138_2	K04077
concoct_megahit_6_138_3	K04078
concoct_megahit_6_139_1	K06877
concoct_megahit_6_139_2	K07502
concoct_megahit_6_139_4	K00616
concoct_megahit_6_139_5	K02781
concoct_megahit_6_139_8	K01007
concoct_megahit_6_139_8	K08483
concoct_megahit_6_139_9	K02538
concoct_megahit_6_139_12	K00134
concoct_megahit_6_139_12	K00150
concoct_megahit_6_139_12	K03340
concoct_megahit_6_140_2	K02773
concoct_megahit_6_140_3	K02774
concoct_megahit_6_140_4	K02775
concoct_megahit_6_143_1	K02563
concoct_megahit_6_143_2	K01924
concoct_megahit_6_143_3	K00790
concoct_megahit_6_143_4	K03589
concoct_megahit_6_143_7	K03590
concoct_megahit_6_143_8	K03531
concoct_megahit_6_143_9	K06383
concoct_megahit_6_143_10	K03091
concoct_megahit_6_143_11	K03091
concoct_megahit_6_143_14	K07738
concoct_megahit_6_143_16	K05810
concoct_megahit_6_143_18	K06385
concoct_megahit_6_143_21	K03977
concoct_megahit_6_144_1	K02123
concoct_megahit_6_144_2	K02119
concoct_megahit_6_144_4	K01246
concoct_megahit_6_144_5	K01866
concoct_megahit_6_144_6	K08992
concoct_megahit_6_144_8	K02372
concoct_megahit_6_144_9	K02395
concoct_megahit_6_144_10	K02390
concoct_megahit_6_144_10	K02392
concoct_megahit_6_144_11	K02392
concoct_megahit_6_144_12	K03569
concoct_megahit_6_144_13	K06283
concoct_megahit_6_145_2	K06381
concoct_megahit_6_145_3	K00790
concoct_megahit_6_145_6	K02120
concoct_megahit_6_145_7	K02118
concoct_megahit_6_145_8	K02117
concoct_megahit_6_145_9	K02122
concoct_megahit_6_145_10	K02119
concoct_megahit_6_146_1	K02119
concoct_megahit_6_146_2	K02121
concoct_megahit_6_146_3	K02124
concoct_megahit_6_146_4	K02123
concoct_megahit_6_146_5	K02107
concoct_megahit_6_146_7	K03093
concoct_megahit_6_146_8	K02824
concoct_megahit_6_146_9	K01791
concoct_megahit_6_146_10	K02851
concoct_megahit_6_146_11	K00615
concoct_megahit_6_146_12	K00615
concoct_megahit_6_146_13	K02026
concoct_megahit_6_146_14	K02025
concoct_megahit_6_148_1	K07491
concoct_megahit_6_148_4	K02004
concoct_megahit_6_148_5	K09812
concoct_megahit_6_148_6	K09811
concoct_megahit_6_148_7	K21471
concoct_megahit_6_148_8	K03797
concoct_megahit_6_149_1	K02073
concoct_megahit_6_149_2	K02072
concoct_megahit_6_149_3	K02071
concoct_megahit_6_149_5	K03702
concoct_megahit_6_149_6	K03701
