metabat1.spades.10_2_2	K06969
metabat1.spades.10_5_138	K07571

metabat1.spades.10_5_139	K01524
metabat1.spades.10_5_141	K00812
metabat1.spades.10_5_141	K10907

metabat1.spades.10_5_142	K01649
metabat1.spades.10_5_149	K00590
metabat1.spades.10_5_150	K01155
metabat1.spades.10_5_162	K03205
metabat1.spades.10_5_163	K07126
metabat1.spades.10_5_164	K07126
metabat1.spades.10_5_173	K18640
metabat1.spades.10_5_177	K02236
metabat1.spades.10_5_177	K02654

metabat1.spades.10_5_179	K02279
metabat1.spades.10_5_183	K12510
metabat1.spades.10_5_183	K12511

metabat1.spades.10_5_184	K12510
metabat1.spades.10_5_185	K02283
metabat1.spades.10_5_186	K02282
metabat1.spades.10_5_186	K04562

metabat1.spades.10_5_193	K07729
metabat1.spades.10_5_198	K06400
metabat1.spades.10_5_200	K02238
metabat1.spades.10_5_206	K01448
metabat1.spades.10_5_209	K02824
metabat1.spades.10_5_210	K00639
metabat1.spades.10_5_210	K00652

metabat1.spades.10_6_1	K04564
metabat1.spades.10_6_3	K06218
metabat1.spades.10_6_6	K06306
metabat1.spades.10_6_8	K03973
metabat1.spades.10_6_9	K02478
metabat1.spades.10_6_9	K07704

metabat1.spades.10_6_10	K03088
metabat1.spades.10_6_12	K02335
metabat1.spades.10_6_13	K00859
metabat1.spades.10_6_14	K08309
metabat1.spades.10_6_15	K00763
metabat1.spades.10_6_16	K02035
metabat1.spades.10_6_17	K01447
metabat1.spades.10_6_18	K06207
metabat1.spades.10_6_19	K08309
metabat1.spades.10_6_25	K07053
metabat1.spades.10_6_26	K00334
metabat1.spades.10_6_26	K18330
metabat1.spades.10_6_26	K22340

metabat1.spades.10_6_28	K17992
metabat1.spades.10_6_29	K00335
metabat1.spades.10_6_29	K18331
metabat1.spades.10_6_29	K22339

metabat1.spades.10_6_30	K00336
metabat1.spades.10_6_30	K18332

metabat1.spades.10_6_32	K06287
metabat1.spades.10_6_33	K03630
metabat1.spades.10_6_34	K03569
metabat1.spades.10_6_35	K03570
metabat1.spades.10_6_36	K03571
metabat1.spades.10_6_37	K05515
metabat1.spades.10_6_38	K03610
metabat1.spades.10_6_39	K03609
metabat1.spades.10_6_40	K03608
metabat1.spades.10_6_41	K05837
metabat1.spades.10_6_42	K01734
metabat1.spades.10_6_44	K06402
metabat1.spades.10_6_47	K08301
metabat1.spades.10_6_49	K02888
metabat1.spades.10_6_50	K07584
metabat1.spades.10_6_51	K02899
metabat1.spades.10_6_53	K03979
metabat1.spades.10_6_54	K00969
metabat1.spades.10_6_55	K00969
metabat1.spades.10_6_57	K09710
metabat1.spades.10_6_59	K00805
metabat1.spades.10_6_60	K00805
metabat1.spades.10_6_61	K03734
metabat1.spades.10_6_62	K02548
metabat1.spades.10_6_63	K02548
metabat1.spades.10_6_66	K04940
metabat1.spades.10_6_68	K01953
metabat1.spades.10_6_69	K07258
metabat1.spades.10_6_70	K02237
metabat1.spades.10_6_73	K01885
metabat1.spades.10_6_77	K00826
metabat1.spades.10_6_78	K01872
metabat1.spades.10_6_84	K02238
metabat1.spades.10_6_85	K02340
metabat1.spades.10_6_86	K02968
metabat1.spades.10_6_87	K08972
metabat1.spades.10_6_88	K06012
metabat1.spades.10_6_89	K06385
metabat1.spades.10_6_93	K03596
metabat1.spades.10_6_95	K03705
metabat1.spades.10_6_96	K03687
metabat1.spades.10_6_97	K04043
metabat1.spades.10_6_98	K03686
metabat1.spades.10_6_98	K05516

metabat1.spades.10_6_99	K02687
metabat1.spades.10_6_100	K09761
metabat1.spades.10_6_101	K18707
metabat1.spades.10_6_102	K02503
metabat1.spades.10_6_103	K02970
metabat1.spades.10_6_104	K09117
metabat1.spades.10_6_105	K01424
metabat1.spades.10_6_111	K06438
metabat1.spades.10_6_112	K06217
metabat1.spades.10_6_113	K07037
metabat1.spades.10_6_114	K01489
metabat1.spades.10_6_114	K07042

metabat1.spades.10_6_115	K00887
metabat1.spades.10_6_115	K00901

metabat1.spades.10_6_116	K03595
metabat1.spades.10_6_117	K01619
metabat1.spades.10_6_118	K03584
metabat1.spades.10_6_120	K01880
metabat1.spades.10_6_122	K09773
metabat1.spades.10_6_123	K01006
metabat1.spades.10_6_124	K06951
metabat1.spades.10_6_125	K12573
metabat1.spades.10_6_127	K03664
metabat1.spades.10_6_128	K05520
metabat1.spades.10_6_129	K21900
metabat1.spades.10_6_134	K06013
metabat1.spades.10_6_135	K04034
metabat1.spades.10_6_136	K01126
metabat1.spades.10_6_139	K06153
metabat1.spades.10_6_140	K06317
metabat1.spades.10_6_141	K06426
metabat1.spades.10_6_144	K03741
metabat1.spades.10_6_147	K00036
metabat1.spades.10_6_148	K07130
metabat1.spades.10_6_150	K01752
metabat1.spades.10_6_151	K01752
metabat1.spades.10_6_152	K08602
metabat1.spades.10_6_153	K01735
metabat1.spades.10_6_153	K13829

metabat1.spades.10_6_154	K04518
metabat1.spades.10_6_155	K03856
metabat1.spades.10_6_156	K04517
metabat1.spades.10_6_157	K00800
metabat1.spades.10_6_158	K07669
metabat1.spades.10_6_162	K01470
metabat1.spades.10_6_163	K02617
metabat1.spades.10_6_165	K02564
metabat1.spades.10_6_166	K01912
metabat1.spades.10_6_167	K06196
metabat1.spades.10_6_169	K01582
metabat1.spades.10_6_169	K01585

metabat1.spades.10_7_1	K00655
metabat1.spades.10_7_2	K00180
metabat1.spades.10_7_3	K00179
metabat1.spades.10_7_4	K00634
metabat1.spades.10_7_5	K00177
metabat1.spades.10_7_6	K00175
metabat1.spades.10_7_7	K00174
metabat1.spades.10_7_8	K00176
metabat1.spades.10_7_10	K00929
metabat1.spades.10_7_11	K00263
metabat1.spades.10_7_12	K00263
metabat1.spades.10_7_13	K00634
metabat1.spades.10_7_14	K00929
metabat1.spades.10_7_16	K18672
metabat1.spades.10_7_17	K04065
metabat1.spades.10_7_18	K07646
metabat1.spades.10_7_21	K03924
metabat1.spades.10_7_22	K01091
metabat1.spades.10_7_22	K06019

metabat1.spades.10_7_23	K01448
metabat1.spades.10_7_25	K00384
metabat1.spades.10_8_1	K03568
metabat1.spades.10_8_2	K03592
metabat1.spades.10_8_3	K05995
metabat1.spades.10_8_5	K07727
metabat1.spades.10_8_7	K06148
metabat1.spades.10_8_12	K02003
metabat1.spades.10_8_13	K02004
metabat1.spades.10_8_15	K02004
metabat1.spades.10_8_17	K02003
metabat1.spades.10_8_18	K00059
metabat1.spades.10_8_20	K02824
metabat1.spades.10_8_21	K02107
metabat1.spades.10_8_22	K02123
metabat1.spades.10_8_23	K02124
metabat1.spades.10_8_24	K02121
metabat1.spades.10_8_25	K02119
metabat1.spades.10_8_26	K02122
metabat1.spades.10_8_27	K02117
metabat1.spades.10_8_28	K02118
metabat1.spades.10_8_29	K02120
metabat1.spades.10_8_30	K07240
metabat1.spades.10_8_31	K07240
metabat1.spades.10_8_33	K01835
metabat1.spades.10_8_33	K01840

metabat1.spades.10_8_34	K07282
metabat1.spades.10_8_36	K07010
metabat1.spades.10_8_38	K07137
metabat1.spades.10_8_39	K01939
metabat1.spades.10_8_42	K02315
metabat1.spades.10_8_46	K07658
metabat1.spades.10_8_46	K07667
metabat1.spades.10_8_46	K07668
metabat1.spades.10_8_46	K07776

metabat1.spades.10_8_47	K07652
metabat1.spades.10_8_51	K00790
metabat1.spades.10_8_52	K04771
metabat1.spades.10_8_54	K00783
metabat1.spades.10_8_55	K00783
metabat1.spades.10_8_56	K01866
metabat1.spades.10_8_58	K03716
metabat1.spades.10_8_60	K04078
metabat1.spades.10_8_61	K09013
metabat1.spades.10_8_62	K07033
metabat1.spades.10_8_62	K09014

metabat1.spades.10_8_63	K07033
metabat1.spades.10_8_63	K09015

metabat1.spades.10_8_64	K11717
metabat1.spades.10_8_65	K04488
metabat1.spades.10_8_67	K19091
metabat1.spades.10_8_68	K19135
metabat1.spades.10_8_71	K07061
metabat1.spades.10_8_72	K19076
metabat1.spades.10_8_73	K09127
metabat1.spades.10_8_74	K09000
metabat1.spades.10_8_75	K19141
metabat1.spades.10_8_76	K19142
metabat1.spades.10_8_77	K19114
metabat1.spades.10_8_78	K19115
metabat1.spades.10_8_78	K19118

metabat1.spades.10_8_79	K19116
metabat1.spades.10_8_80	K07012
metabat1.spades.10_8_81	K07464
metabat1.spades.10_8_82	K15342
metabat1.spades.10_8_83	K09951
metabat1.spades.10_8_85	K06400
metabat1.spades.10_8_86	K06400
metabat1.spades.10_8_88	K11105
metabat1.spades.10_8_94	K06919
metabat1.spades.10_8_94	K17680

metabat1.spades.10_8_102	K19076
metabat1.spades.10_8_103	K19143
metabat1.spades.10_8_104	K19143
metabat1.spades.10_8_105	K07061
metabat1.spades.10_8_106	K09127
metabat1.spades.10_8_107	K09000
metabat1.spades.10_8_108	K19141
metabat1.spades.10_8_109	K19142
metabat1.spades.10_8_110	K00556
metabat1.spades.10_8_117	K03294
metabat1.spades.10_8_118	K00556
metabat1.spades.10_8_121	K03308
metabat1.spades.10_8_123	K06209
metabat1.spades.10_8_124	K00003
metabat1.spades.10_8_125	K01733
metabat1.spades.10_8_126	K00872
metabat1.spades.10_8_127	K03797
metabat1.spades.10_8_128	K00865
metabat1.spades.10_8_131	K00058
metabat1.spades.10_8_134	K04486
metabat1.spades.10_8_135	K01937
metabat1.spades.10_8_137	K07063
metabat1.spades.10_8_139	K11931
metabat1.spades.10_8_139	K21478

metabat1.spades.10_9_6	K03973
metabat1.spades.10_9_9	K03973
metabat1.spades.10_9_11	K02796
metabat1.spades.10_9_14	K02793
metabat1.spades.10_10_2	K21929
metabat1.spades.10_10_3	K01678
metabat1.spades.10_10_4	K01677
metabat1.spades.10_10_5	K21947
metabat1.spades.10_10_8	K01921
metabat1.spades.10_10_11	K00966
metabat1.spades.10_10_12	K21993
metabat1.spades.10_10_13	K20885
metabat1.spades.10_11_2	K07112
metabat1.spades.10_11_3	K07235
metabat1.spades.10_11_4	K07236
metabat1.spades.10_11_5	K07237
metabat1.spades.10_11_7	K00382
metabat1.spades.10_11_8	K02437
metabat1.spades.10_11_9	K00845
metabat1.spades.10_11_10	K01246
metabat1.spades.10_11_12	K01582
metabat1.spades.10_11_12	K01585

metabat1.spades.10_11_13	K00943
metabat1.spades.10_11_15	K09770
metabat1.spades.10_11_16	K02341
metabat1.spades.10_11_19	K01478
metabat1.spades.10_11_20	K15460
metabat1.spades.10_11_21	K07056
metabat1.spades.10_11_23	K06284
metabat1.spades.10_11_24	K06373
metabat1.spades.10_11_25	K06374
metabat1.spades.10_11_26	K00970
metabat1.spades.10_11_26	K00974

metabat1.spades.10_11_27	K01874
metabat1.spades.10_11_28	K03424
metabat1.spades.10_11_30	K02528
metabat1.spades.10_11_35	K03093
metabat1.spades.10_11_36	K03593
metabat1.spades.10_11_38	K03615
metabat1.spades.10_11_39	K03614
metabat1.spades.10_11_40	K03612
metabat1.spades.10_11_41	K03613
metabat1.spades.10_11_42	K03617
metabat1.spades.10_11_43	K03616
metabat1.spades.10_11_44	K00805
metabat1.spades.10_11_46	K01624
metabat1.spades.10_11_47	K03628
metabat1.spades.10_11_48	K02909
metabat1.spades.10_11_49	K00857
metabat1.spades.10_11_51	K02493
metabat1.spades.10_11_52	K02835
metabat1.spades.10_11_53	K07238
metabat1.spades.10_11_54	K07566
metabat1.spades.10_11_55	K01808
metabat1.spades.10_11_56	K00761
metabat1.spades.10_11_57	K01493
metabat1.spades.10_11_58	K02851
metabat1.spades.10_11_59	K01791
metabat1.spades.10_11_62	K00790
metabat1.spades.10_11_65	K00259
metabat1.spades.10_11_70	K06381
metabat1.spades.10_11_72	K06283
metabat1.spades.10_11_73	K03569
metabat1.spades.10_11_74	K02392
metabat1.spades.10_11_75	K02390
metabat1.spades.10_11_75	K02392

metabat1.spades.10_11_76	K02395
metabat1.spades.10_11_77	K02372
metabat1.spades.10_11_78	K03980
metabat1.spades.10_11_79	K07138
metabat1.spades.10_11_81	K05810
metabat1.spades.10_11_83	K02773
metabat1.spades.10_11_84	K02774
metabat1.spades.10_11_85	K02775
metabat1.spades.10_11_87	K01783
metabat1.spades.10_11_89	K00161
metabat1.spades.10_11_89	K21416

metabat1.spades.10_11_90	K00162
metabat1.spades.10_11_90	K11381
metabat1.spades.10_11_90	K21417

metabat1.spades.10_11_91	K00627
metabat1.spades.10_11_93	K00615
metabat1.spades.10_11_94	K19505
metabat1.spades.10_11_96	K02027
metabat1.spades.10_11_97	K02025
metabat1.spades.10_11_98	K02026
metabat1.spades.10_11_101	K01295
metabat1.spades.10_11_103	K01186
metabat1.spades.10_11_103	K01197
metabat1.spades.10_11_103	K05988
metabat1.spades.10_11_103	K11931
metabat1.spades.10_11_103	K18197

metabat1.spades.10_11_104	K01207
metabat1.spades.10_11_109	K03319
metabat1.spades.10_11_111	K15635
metabat1.spades.10_11_114	K02745
metabat1.spades.10_11_114	K10984

metabat1.spades.10_11_115	K02747
metabat1.spades.10_11_116	K02744
metabat1.spades.10_11_116	K02793

metabat1.spades.10_11_117	K08302
metabat1.spades.10_11_118	K00882
metabat1.spades.10_11_118	K00917

metabat1.spades.10_11_119	K00820
metabat1.spades.10_11_119	K02082

metabat1.spades.10_11_120	K03498
metabat1.spades.10_11_121	K03499
metabat1.spades.10_11_122	K03810
metabat1.spades.10_11_123	K07175
metabat1.spades.10_11_124	K07175
metabat1.spades.10_11_125	K02529
metabat1.spades.10_11_126	K00852
metabat1.spades.10_11_127	K06726
metabat1.spades.10_11_128	K10441
metabat1.spades.10_11_128	K10542

metabat1.spades.10_11_129	K10440
metabat1.spades.10_11_130	K10439
metabat1.spades.10_11_130	K17202

metabat1.spades.10_11_131	K15580
metabat1.spades.10_11_132	K15580
metabat1.spades.10_11_133	K01776
metabat1.spades.10_11_134	K01586
metabat1.spades.10_11_136	K07106
metabat1.spades.10_11_137	K21469
metabat1.spades.10_11_139	K01207
metabat1.spades.10_11_140	K01207
metabat1.spades.10_11_141	K01207
metabat1.spades.10_11_142	K01207
metabat1.spades.10_12_4	K02241
metabat1.spades.10_12_5	K02662
metabat1.spades.10_12_6	K02663
metabat1.spades.10_12_7	K02664
metabat1.spades.10_12_8	K00891
metabat1.spades.10_12_9	K01151
metabat1.spades.10_12_10	K00931
metabat1.spades.10_12_11	K00147
metabat1.spades.10_12_12	K03786
metabat1.spades.10_12_13	K01262
metabat1.spades.10_12_13	K01271

metabat1.spades.10_12_14	K02356
metabat1.spades.10_12_16	K06390
metabat1.spades.10_12_17	K06391
metabat1.spades.10_12_18	K06392
metabat1.spades.10_12_19	K06393
metabat1.spades.10_12_20	K06394
metabat1.spades.10_12_21	K06395
metabat1.spades.10_12_22	K06396
metabat1.spades.10_12_23	K06397
metabat1.spades.10_12_25	K03625
metabat1.spades.10_12_26	K01491
metabat1.spades.10_12_27	K03601
metabat1.spades.10_12_28	K03602
metabat1.spades.10_12_29	K13789
metabat1.spades.10_12_31	K01662
metabat1.spades.10_12_32	K06442
metabat1.spades.10_12_33	K00858
metabat1.spades.10_12_34	K03402
metabat1.spades.10_12_35	K03631
metabat1.spades.10_12_36	K06399
metabat1.spades.10_12_37	K07699
metabat1.spades.10_12_43	K01515
metabat1.spades.10_12_45	K06384
metabat1.spades.10_12_46	K04763
metabat1.spades.10_12_47	K07258
metabat1.spades.10_12_48	K06378
metabat1.spades.10_12_49	K06379
metabat1.spades.10_12_50	K03091
metabat1.spades.10_12_51	K09165
metabat1.spades.10_12_52	K06405
metabat1.spades.10_12_53	K06406
metabat1.spades.10_12_54	K06407
metabat1.spades.10_12_55	K00970
metabat1.spades.10_12_55	K00974

metabat1.spades.10_12_57	K05896
metabat1.spades.10_12_58	K06024
metabat1.spades.10_12_61	K07258
metabat1.spades.10_12_64	K06178
metabat1.spades.10_12_64	K06183

metabat1.spades.10_12_66	K00797
metabat1.spades.10_12_67	K01480
metabat1.spades.10_12_68	K01571
metabat1.spades.10_12_68	K01960

metabat1.spades.10_12_70	K03787
metabat1.spades.10_12_71	K00176
metabat1.spades.10_12_72	K00174
metabat1.spades.10_12_73	K00175
metabat1.spades.10_12_74	K00177
metabat1.spades.10_12_76	K00260
metabat1.spades.10_12_76	K00261
metabat1.spades.10_12_76	K00262

metabat1.spades.10_12_78	K02226
metabat1.spades.10_12_78	K22305

metabat1.spades.10_12_79	K07007
metabat1.spades.10_12_81	K06208
metabat1.spades.10_12_82	K00945
metabat1.spades.10_12_83	K00655
metabat1.spades.10_12_84	K02945
metabat1.spades.10_12_84	K03527

metabat1.spades.10_12_85	K02945
metabat1.spades.10_12_85	K03527

metabat1.spades.10_12_86	K01611
metabat1.spades.10_12_87	K00575
metabat1.spades.10_12_88	K06168
metabat1.spades.10_12_89	K03555
metabat1.spades.10_12_90	K03572
metabat1.spades.10_12_91	K00791
metabat1.spades.10_12_92	K03666
metabat1.spades.10_12_93	K00286
metabat1.spades.10_12_94	K03469
metabat1.spades.10_12_95	K03733
metabat1.spades.10_12_95	K04763

metabat1.spades.10_12_97	K07045
metabat1.spades.10_12_98	K06413
metabat1.spades.10_12_99	K01756
metabat1.spades.10_12_100	K00812
metabat1.spades.10_12_100	K10907

metabat1.spades.10_12_101	K07053
metabat1.spades.10_12_102	K06416
metabat1.spades.10_12_103	K09769
metabat1.spades.10_12_104	K18682
metabat1.spades.10_12_105	K03565
metabat1.spades.10_12_106	K03553
metabat1.spades.10_12_107	K03742
metabat1.spades.10_12_107	K03743

metabat1.spades.10_12_108	K00995
metabat1.spades.10_12_108	K08744

metabat1.spades.10_12_109	K14441
metabat1.spades.10_12_110	K03466
metabat1.spades.10_12_113	K01174
metabat1.spades.10_13_2	K05820
metabat1.spades.10_13_11	K01990
metabat1.spades.10_13_12	K01992
metabat1.spades.10_13_13	K01992
metabat1.spades.10_13_14	K00868
metabat1.spades.10_13_14	K00941
metabat1.spades.10_13_14	K14153

metabat1.spades.10_13_15	K00059
metabat1.spades.10_13_15	K10780

metabat1.spades.10_13_16	K00788
metabat1.spades.10_13_17	K00878
metabat1.spades.10_13_18	K03406
metabat1.spades.10_13_19	K03594
metabat1.spades.10_13_20	K05919
metabat1.spades.10_13_22	K01142
metabat1.spades.10_13_24	K03310
metabat1.spades.10_14_1	K01872
metabat1.spades.10_14_3	K07447
metabat1.spades.10_14_5	K03711
metabat1.spades.10_14_6	K12574
metabat1.spades.10_14_8	K07082
metabat1.spades.10_14_10	K07450
metabat1.spades.10_14_12	K08303
metabat1.spades.10_14_13	K05515
metabat1.spades.10_14_14	K03091
metabat1.spades.10_14_15	K07015
metabat1.spades.10_14_16	K00014
metabat1.spades.10_14_17	K02652
metabat1.spades.10_14_18	K02669
metabat1.spades.10_14_19	K02653
metabat1.spades.10_14_20	K02650
metabat1.spades.10_14_21	K02654
metabat1.spades.10_15_1	K01153
metabat1.spades.10_15_2	K01153
metabat1.spades.10_16_1	K02421
metabat1.spades.10_16_2	K02420
metabat1.spades.10_16_3	K02419
metabat1.spades.10_16_4	K02418
metabat1.spades.10_16_5	K03413
metabat1.spades.10_16_6	K02417
metabat1.spades.10_16_7	K02416
metabat1.spades.10_16_8	K02415
metabat1.spades.10_16_9	K02385
metabat1.spades.10_16_10	K02390
metabat1.spades.10_16_12	K02389
metabat1.spades.10_16_13	K02414
metabat1.spades.10_16_14	K02383
metabat1.spades.10_16_15	K02413
metabat1.spades.10_16_16	K02412
metabat1.spades.10_16_16	K03224

metabat1.spades.10_16_17	K02411
metabat1.spades.10_16_18	K02410
metabat1.spades.10_16_19	K02409
metabat1.spades.10_16_20	K02408
metabat1.spades.10_16_21	K02388
metabat1.spades.10_16_22	K02387
metabat1.spades.10_16_23	K03706
metabat1.spades.10_16_24	K03667
metabat1.spades.10_16_25	K01419
metabat1.spades.10_16_26	K03168
metabat1.spades.10_16_27	K04096
metabat1.spades.10_16_28	K03470
metabat1.spades.10_16_29	K07460
metabat1.spades.10_16_30	K01867
metabat1.spades.10_16_32	K07391
metabat1.spades.10_16_33	K14540
metabat1.spades.10_16_34	K02884
metabat1.spades.10_16_35	K00554
metabat1.spades.10_16_36	K02860
metabat1.spades.10_16_37	K06960
metabat1.spades.10_16_38	K02959
metabat1.spades.10_16_39	K03106
metabat1.spades.10_16_40	K09787
metabat1.spades.10_16_41	K03110
metabat1.spades.10_16_42	K03529
metabat1.spades.10_16_44	K06416
metabat1.spades.10_16_46	K03685
metabat1.spades.10_16_47	K09458
metabat1.spades.10_16_48	K02078
metabat1.spades.10_16_49	K00059
metabat1.spades.10_16_50	K00645
metabat1.spades.10_16_51	K02371
metabat1.spades.10_16_52	K00648
metabat1.spades.10_16_53	K03621
metabat1.spades.10_16_55	K02911
metabat1.spades.10_16_56	K07040
metabat1.spades.10_16_57	K00925
metabat1.spades.10_16_58	K00625
metabat1.spades.10_16_62	K00954
metabat1.spades.10_16_63	K08316
metabat1.spades.10_16_64	K06421
metabat1.spades.10_16_65	K06421
metabat1.spades.10_16_67	K03655
metabat1.spades.10_16_68	K07030
metabat1.spades.10_16_70	K02902
metabat1.spades.10_16_72	K00949
metabat1.spades.10_16_73	K01783
metabat1.spades.10_16_74	K06949
metabat1.spades.10_16_75	K12132
metabat1.spades.10_16_76	K20074
metabat1.spades.10_16_77	K06941
metabat1.spades.10_16_78	K03500
metabat1.spades.10_16_79	K06973
metabat1.spades.10_16_80	K09729
metabat1.spades.10_16_81	K00604
metabat1.spades.10_16_82	K01462
metabat1.spades.10_16_83	K04066
metabat1.spades.10_16_84	K01598
metabat1.spades.10_16_84	K13038

metabat1.spades.10_16_85	K03060
metabat1.spades.10_16_86	K00942
metabat1.spades.10_16_87	K09777
metabat1.spades.10_16_89	K01778
metabat1.spades.10_16_93	K01975
metabat1.spades.10_17_2	K07052
metabat1.spades.10_17_5	K07088
metabat1.spades.10_17_9	K01990
metabat1.spades.10_17_14	K01179
metabat1.spades.10_17_15	K01179
metabat1.spades.10_17_18	K03737
metabat1.spades.10_17_20	K03406
metabat1.spades.10_17_21	K01712
metabat1.spades.10_17_22	K00603
metabat1.spades.10_17_23	K01468
metabat1.spades.10_17_26	K01746
metabat1.spades.10_17_27	K07335
metabat1.spades.10_17_30	K02056
metabat1.spades.10_17_31	K02057
metabat1.spades.10_17_32	K02057
metabat1.spades.10_17_34	K03710
metabat1.spades.10_17_35	K01489
metabat1.spades.10_17_36	K01839
metabat1.spades.10_17_37	K00756
metabat1.spades.10_17_37	K00758

metabat1.spades.10_17_38	K03406
metabat1.spades.10_17_41	K02803
metabat1.spades.10_17_41	K02804

metabat1.spades.10_17_42	K02777
metabat1.spades.10_17_42	K20116
metabat1.spades.10_17_42	K20117
metabat1.spades.10_17_42	K20118

metabat1.spades.10_17_43	K03480
metabat1.spades.10_17_44	K02594
metabat1.spades.10_17_45	K01681
metabat1.spades.10_17_46	K07442
metabat1.spades.10_17_50	K02529
metabat1.spades.10_17_52	K02484
metabat1.spades.10_18_4	K06871
metabat1.spades.10_18_14	K06206
metabat1.spades.10_18_15	K01737
metabat1.spades.10_18_16	K00950
metabat1.spades.10_18_16	K13940

metabat1.spades.10_18_17	K00796
metabat1.spades.10_18_18	K01495
metabat1.spades.10_18_19	K04567
metabat1.spades.10_18_20	K03624
metabat1.spades.10_18_25	K06297
metabat1.spades.10_18_26	K06295
metabat1.spades.10_18_27	K06296
metabat1.spades.10_18_28	K03525
metabat1.spades.10_18_32	K01966
