concoct_spades_11_1_4	K01647
concoct_spades_11_13_4	K13653
concoct_spades_11_13_5	K17319
concoct_spades_11_13_7	K17318
concoct_spades_11_13_8	K01190
concoct_spades_11_13_9	K07718
concoct_spades_11_13_10	K07720
concoct_spades_11_14_1	K02446
concoct_spades_11_14_2	K03628
concoct_spades_11_14_3	K02909
concoct_spades_11_14_5	K02493
concoct_spades_11_14_6	K02835
concoct_spades_11_14_7	K07566
concoct_spades_11_14_8	K01104
concoct_spades_11_14_8	K20201

concoct_spades_11_14_9	K01808
concoct_spades_11_14_10	K00761
concoct_spades_11_14_11	K01493
concoct_spades_11_14_12	K02851
concoct_spades_11_14_13	K01791
concoct_spades_11_15_1	K00970
concoct_spades_11_15_1	K00974

concoct_spades_11_15_2	K07149
concoct_spades_11_15_3	K03698
concoct_spades_11_15_4	K01912
concoct_spades_11_15_7	K02481
concoct_spades_11_15_8	K02030
concoct_spades_11_15_11	K05844
concoct_spades_11_15_11	K14940

concoct_spades_11_16_3	K03406
concoct_spades_11_16_7	K21600
concoct_spades_11_16_9	K02528
concoct_spades_11_16_10	K05985
concoct_spades_11_16_12	K03424
concoct_spades_11_16_13	K01874
concoct_spades_11_17_3	K04070
concoct_spades_11_17_5	K00606
concoct_spades_11_17_6	K01918
concoct_spades_11_17_11	K07216
concoct_spades_11_17_12	K03409
concoct_spades_11_18_1	K03215
concoct_spades_11_18_4	K06188
concoct_spades_11_18_5	K07107
concoct_spades_11_18_6	K00873
concoct_spades_11_18_7	K00850
concoct_spades_11_18_9	K02337
concoct_spades_11_18_9	K14162

concoct_spades_11_19_2	K01156
concoct_spades_11_19_3	K07316
concoct_spades_11_19_8	K01259
concoct_spades_11_19_9	K01259
concoct_spades_11_20_2	K04518
concoct_spades_11_20_2	K14170

concoct_spades_11_20_3	K01736
concoct_spades_11_20_4	K00800
concoct_spades_11_20_5	K01735
concoct_spades_11_20_6	K04517
concoct_spades_11_20_7	K03856
concoct_spades_11_20_9	K00052
concoct_spades_11_20_10	K01704
concoct_spades_11_20_10	K20453

concoct_spades_11_20_11	K01703
concoct_spades_11_20_11	K20452

concoct_spades_11_20_12	K01649
concoct_spades_11_21_1	K09118
concoct_spades_11_21_2	K03406
concoct_spades_11_21_4	K01875
concoct_spades_11_21_5	K01875
concoct_spades_11_21_8	K07088
concoct_spades_11_21_10	K00620
concoct_spades_11_21_11	K00145
concoct_spades_11_21_12	K00930
concoct_spades_11_21_13	K00821
concoct_spades_11_22_1	K02965
concoct_spades_11_22_2	K02890
concoct_spades_11_22_3	K02982
concoct_spades_11_22_4	K02878
concoct_spades_11_22_5	K02904
concoct_spades_11_22_6	K02961
concoct_spades_11_22_7	K02874
concoct_spades_11_22_8	K02895
concoct_spades_11_22_9	K02931
concoct_spades_11_22_10	K02954
concoct_spades_11_22_11	K02994
concoct_spades_11_22_12	K02933
concoct_spades_11_22_13	K02881
concoct_spades_11_22_14	K02988
concoct_spades_11_22_15	K02907
concoct_spades_11_22_16	K02876
concoct_spades_11_22_17	K03076
concoct_spades_11_22_18	K00939
concoct_spades_11_22_19	K01265
concoct_spades_11_22_21	K02518
concoct_spades_11_22_22	K02919
concoct_spades_11_22_24	K02952
concoct_spades_11_22_25	K02948
concoct_spades_11_22_26	K02986
concoct_spades_11_22_27	K03040
concoct_spades_11_23_1	K03716
concoct_spades_11_23_4	K02071
concoct_spades_11_23_5	K02072
concoct_spades_11_23_6	K02073
concoct_spades_11_23_9	K02564
concoct_spades_11_23_10	K03565
concoct_spades_11_23_11	K00290
concoct_spades_11_24_6	K05592
concoct_spades_11_24_7	K00031
concoct_spades_11_24_9	K06223
concoct_spades_11_24_11	K01480
concoct_spades_11_25_4	K06147
concoct_spades_11_25_5	K06147
concoct_spades_11_25_5	K06148

concoct_spades_11_25_11	K19784
concoct_spades_11_25_12	K00537
concoct_spades_11_26_1	K16899
concoct_spades_11_26_2	K16898
concoct_spades_11_26_3	K04486
concoct_spades_11_26_5	K01687
concoct_spades_11_27_1	K01915
concoct_spades_11_27_2	K18346
concoct_spades_11_27_5	K03088
concoct_spades_11_27_8	K06407
concoct_spades_11_27_9	K06406
concoct_spades_11_27_10	K06405
concoct_spades_11_28_1	K01934
concoct_spades_11_28_3	K00615
concoct_spades_11_28_4	K00615
concoct_spades_11_28_6	K05946
concoct_spades_11_28_10	K07171
concoct_spades_11_28_11	K07723
concoct_spades_11_28_12	K01775
concoct_spades_11_29_1	K01470
concoct_spades_11_29_2	K10974
concoct_spades_11_30_2	K02117
concoct_spades_11_30_3	K02118
concoct_spades_11_30_4	K02120
concoct_spades_11_30_8	K03469
concoct_spades_11_30_9	K04771
concoct_spades_11_31_9	K00950
concoct_spades_11_31_9	K13940

concoct_spades_11_31_10	K00796
concoct_spades_11_31_11	K09007
concoct_spades_11_31_12	K01737
concoct_spades_11_32_1	K01972
concoct_spades_11_32_2	K02435
concoct_spades_11_32_3	K02433
concoct_spades_11_32_4	K02434
concoct_spades_11_32_7	K04655
concoct_spades_11_32_8	K01448
concoct_spades_11_32_9	K06298
concoct_spades_11_33_1	K01649
concoct_spades_11_33_2	K01649
concoct_spades_11_33_3	K03406
concoct_spades_11_33_4	K21929
concoct_spades_11_33_5	K21929
concoct_spades_11_33_6	K16188
concoct_spades_11_33_7	K00805
concoct_spades_11_33_7	K02523

concoct_spades_11_33_8	K01867
concoct_spades_11_34_2	K03308
concoct_spades_11_34_3	K01938
concoct_spades_11_34_5	K04759
concoct_spades_11_34_6	K04758
concoct_spades_11_35_2	K01657
concoct_spades_11_35_3	K01658
concoct_spades_11_35_4	K00766
concoct_spades_11_35_4	K13497

concoct_spades_11_35_5	K01609
concoct_spades_11_35_6	K01817
concoct_spades_11_35_7	K01696
concoct_spades_11_35_8	K01695
concoct_spades_11_36_1	K03046
concoct_spades_11_36_2	K03043
concoct_spades_11_36_3	K02935
concoct_spades_11_36_4	K02864
concoct_spades_11_36_5	K02863
concoct_spades_11_36_6	K02867
concoct_spades_11_37_3	K01921
concoct_spades_11_37_4	K06313
concoct_spades_11_37_5	K01449
concoct_spades_11_37_6	K06387
concoct_spades_11_37_7	K06297
concoct_spades_11_37_8	K06296
concoct_spades_11_37_8	K06311

concoct_spades_11_37_9	K06310
concoct_spades_11_38_1	K00609
concoct_spades_11_38_2	K00610
concoct_spades_11_38_9	K07001
concoct_spades_11_38_10	K03308
concoct_spades_11_39_1	K03686
concoct_spades_11_39_1	K05516

concoct_spades_11_39_2	K02687
concoct_spades_11_39_3	K09761
concoct_spades_11_39_4	K18707
concoct_spades_11_39_5	K02503
concoct_spades_11_39_6	K02970
concoct_spades_11_39_7	K09117
concoct_spades_11_39_8	K07403
concoct_spades_11_39_11	K21405
concoct_spades_11_40_2	K06153
concoct_spades_11_40_4	K07318
concoct_spades_11_40_5	K01151
concoct_spades_11_40_9	K00926
concoct_spades_11_41_1	K03738
concoct_spades_11_41_3	K06016
concoct_spades_11_42_1	K03518
concoct_spades_11_42_6	K08177
concoct_spades_11_42_7	K00666
concoct_spades_11_42_8	K01026
concoct_spades_11_43_1	K01889
concoct_spades_11_43_2	K01890
concoct_spades_11_43_3	K09888
concoct_spades_11_43_4	K08303
concoct_spades_11_43_5	K07456
concoct_spades_11_44_1	K06187
concoct_spades_11_44_2	K09747
concoct_spades_11_44_4	K02343
concoct_spades_11_44_5	K01975
concoct_spades_11_44_7	K00027
concoct_spades_11_44_8	K17723
concoct_spades_11_44_9	K02529
concoct_spades_11_45_5	K00991
concoct_spades_11_45_6	K01710
concoct_spades_11_45_6	K08678

concoct_spades_11_46_3	K01480
concoct_spades_11_46_4	K21903
concoct_spades_11_46_4	K22043

concoct_spades_11_46_6	K01534
concoct_spades_11_47_2	K03406
concoct_spades_11_47_3	K01480
concoct_spades_11_48_2	K00261
concoct_spades_11_48_2	K00262

concoct_spades_11_48_3	K03660
concoct_spades_11_48_4	K02049
concoct_spades_11_48_4	K15555

concoct_spades_11_48_5	K02050
concoct_spades_11_48_6	K02051
concoct_spades_11_48_7	K07150
concoct_spades_11_48_8	K04078
concoct_spades_11_48_9	K04077
concoct_spades_11_49_2	K01179
concoct_spades_11_49_3	K01179
concoct_spades_11_49_4	K01179
concoct_spades_11_49_6	K15635
concoct_spades_11_49_7	K18672
concoct_spades_11_50_1	K02406
concoct_spades_11_50_2	K03563
concoct_spades_11_50_3	K13626
concoct_spades_11_50_5	K02397
concoct_spades_11_50_6	K02396
concoct_spades_11_50_8	K02398
concoct_spades_11_50_10	K02242
concoct_spades_11_50_11	K03581
concoct_spades_11_52_1	K00290
concoct_spades_11_52_2	K00290
concoct_spades_11_52_3	K03307
concoct_spades_11_52_5	K00797
concoct_spades_11_52_6	K01611
concoct_spades_11_52_7	K00334
concoct_spades_11_52_8	K00335
concoct_spades_11_52_8	K18331

concoct_spades_11_53_4	K07271
concoct_spades_11_54_1	K06603
concoct_spades_11_54_3	K05845
concoct_spades_11_54_4	K05845
concoct_spades_11_54_5	K05846
concoct_spades_11_54_6	K05847
concoct_spades_11_54_7	K05846
concoct_spades_11_54_9	K07322
concoct_spades_11_55_3	K06148
concoct_spades_11_55_5	K08651
concoct_spades_11_55_5	K13276
concoct_spades_11_55_5	K13277

concoct_spades_11_56_3	K07636
concoct_spades_11_56_3	K07652

concoct_spades_11_56_4	K07658
concoct_spades_11_56_4	K07668

concoct_spades_11_56_6	K17734
concoct_spades_11_57_2	K01779
concoct_spades_11_57_3	K00783
concoct_spades_11_57_4	K04771
concoct_spades_11_57_6	K00790
concoct_spades_11_58_1	K04034
concoct_spades_11_58_4	K01887
concoct_spades_11_58_5	K19225
concoct_spades_11_58_7	K07456
concoct_spades_11_59_1	K06158
concoct_spades_11_59_2	K02078
concoct_spades_11_59_3	K01409
concoct_spades_11_59_6	K15762
concoct_spades_11_60_6	K06400
concoct_spades_11_60_8	K06400
concoct_spades_11_61_2	K03406
concoct_spades_11_62_1	K04759
concoct_spades_11_62_2	K04759
concoct_spades_11_62_3	K03709
concoct_spades_11_62_4	K06888
concoct_spades_11_62_5	K06888
concoct_spades_11_62_6	K06199
concoct_spades_11_63_1	K00053
concoct_spades_11_63_2	K01653
concoct_spades_11_63_3	K03406
concoct_spades_11_63_4	K03701
concoct_spades_11_63_5	K03702
concoct_spades_11_64_1	K20971
concoct_spades_11_64_5	K00384
concoct_spades_11_65_3	K01993
concoct_spades_11_65_4	K01992
concoct_spades_11_65_5	K01992
concoct_spades_11_65_7	K06374
concoct_spades_11_65_8	K06373
concoct_spades_11_65_9	K01439
concoct_spades_11_66_1	K01653
concoct_spades_11_66_2	K01652
concoct_spades_11_68_3	K01892
concoct_spades_11_68_4	K01876
concoct_spades_11_68_5	K03803
concoct_spades_11_68_8	K00600
concoct_spades_11_69_1	K03150
concoct_spades_11_69_6	K00382
concoct_spades_11_69_7	K00627
concoct_spades_11_70_1	K16788
concoct_spades_11_70_2	K03183
concoct_spades_11_70_4	K13993
concoct_spades_11_70_5	K00384
concoct_spades_11_70_6	K01897
concoct_spades_11_70_7	K07258
concoct_spades_11_71_5	K02939
concoct_spades_11_71_6	K02314
concoct_spades_11_71_7	K00362
concoct_spades_11_71_7	K22405

concoct_spades_11_73_1	K00611
concoct_spades_11_73_2	K00611
concoct_spades_11_73_3	K01755
concoct_spades_11_73_4	K01940
concoct_spades_11_73_7	K00626
concoct_spades_11_74_1	K00548
concoct_spades_11_74_4	K13993
concoct_spades_11_74_5	K03652
concoct_spades_11_75_4	K06999
concoct_spades_11_76_1	K03101
concoct_spades_11_76_6	K18344
concoct_spades_11_77_1	K17992
concoct_spades_11_77_2	K00334
concoct_spades_11_77_2	K18330
concoct_spades_11_77_2	K22340

concoct_spades_11_77_3	K02379
concoct_spades_11_77_4	K03752
concoct_spades_11_77_4	K13818

concoct_spades_11_77_5	K00123
concoct_spades_11_77_5	K22341

concoct_spades_11_77_6	K00335
concoct_spades_11_77_6	K18331
concoct_spades_11_77_6	K22339

concoct_spades_11_78_1	K00756
concoct_spades_11_78_1	K00758

concoct_spades_11_78_2	K01839
concoct_spades_11_78_3	K04763
concoct_spades_11_78_4	K06384
concoct_spades_11_78_5	K01515
concoct_spades_11_80_1	K18431
concoct_spades_11_80_5	K01791
concoct_spades_11_80_5	K18429

concoct_spades_11_80_6	K01654
concoct_spades_11_80_6	K18430

concoct_spades_11_80_7	K00604
concoct_spades_11_80_8	K15669
concoct_spades_11_81_5	K07005
concoct_spades_11_82_3	K01791
concoct_spades_11_82_4	K19068
concoct_spades_11_82_5	K17716
concoct_spades_11_82_7	K01784
concoct_spades_11_83_1	K05366
concoct_spades_11_83_2	K06407
concoct_spades_11_83_3	K06407
concoct_spades_11_83_4	K06406
concoct_spades_11_83_5	K06405
concoct_spades_11_83_7	K06404
concoct_spades_11_83_8	K06403
concoct_spades_11_83_9	K03091
concoct_spades_11_84_1	K00290
concoct_spades_11_84_2	K00290
concoct_spades_11_84_4	K00290
concoct_spades_11_85_4	K06958
concoct_spades_11_85_5	K04477
concoct_spades_11_85_6	K00075
concoct_spades_11_85_7	K01571
concoct_spades_11_86_2	K06714
concoct_spades_11_86_3	K00248
concoct_spades_11_86_4	K00248
concoct_spades_11_86_5	K03519
concoct_spades_11_86_6	K03518
concoct_spades_11_87_1	K07402
concoct_spades_11_87_2	K01912
concoct_spades_11_87_3	K06937
concoct_spades_11_88_5	K05601
concoct_spades_11_88_6	K01537
concoct_spades_11_89_3	K03789
concoct_spades_11_89_4	K14742
concoct_spades_11_89_5	K06925
concoct_spades_11_89_9	K01091
concoct_spades_11_89_9	K06019

concoct_spades_11_89_10	K02836
concoct_spades_11_90_5	K00826
concoct_spades_11_90_6	K01652
concoct_spades_11_90_7	K01652
concoct_spades_11_90_8	K00053
concoct_spades_11_91_1	K07105
concoct_spades_11_91_3	K01585
concoct_spades_11_91_5	K01681
concoct_spades_11_92_1	K07099
concoct_spades_11_92_4	K01740
concoct_spades_11_92_5	K00651
concoct_spades_11_92_8	K06333
concoct_spades_11_92_9	K06334
concoct_spades_11_93_1	K02510
concoct_spades_11_93_1	K12660

concoct_spades_11_93_3	K21394
concoct_spades_11_93_6	K01273
concoct_spades_11_93_8	K03980
concoct_spades_11_94_2	K01770
concoct_spades_11_94_2	K12506

concoct_spades_11_94_3	K01881
concoct_spades_11_94_4	K01885
concoct_spades_11_94_4	K09698

concoct_spades_11_94_5	K00640
concoct_spades_11_94_6	K01883
concoct_spades_11_95_1	K00058
concoct_spades_11_95_3	K11991
concoct_spades_11_95_4	K01447
concoct_spades_11_97_1	K13012
concoct_spades_11_97_2	K13010
concoct_spades_11_97_3	K00712
concoct_spades_11_97_3	K13004

concoct_spades_11_97_5	K02474
concoct_spades_11_97_6	K08679
concoct_spades_11_98_1	K02238
concoct_spades_11_98_2	K03406
concoct_spades_11_99_2	K01689
concoct_spades_11_99_3	K01803
concoct_spades_11_99_4	K00927
concoct_spades_11_99_4	K01803

concoct_spades_11_99_5	K00134
concoct_spades_11_99_6	K03092
concoct_spades_11_100_4	K18122
concoct_spades_11_100_6	K01207
concoct_spades_11_101_6	K19545
concoct_spades_11_101_7	K19701
concoct_spades_11_102_1	K00020
concoct_spades_11_102_3	K03800
concoct_spades_11_102_5	K22278
concoct_spades_11_103_1	K03070
concoct_spades_11_103_3	K05808
concoct_spades_11_103_6	K02422
concoct_spades_11_103_7	K02407
concoct_spades_11_104_1	K03495
concoct_spades_11_104_2	K03501
concoct_spades_11_104_3	K03501
concoct_spades_11_104_4	K03497
concoct_spades_11_104_6	K03496
concoct_spades_11_104_7	K03497
concoct_spades_11_105_6	K00561
concoct_spades_11_106_1	K02385
concoct_spades_11_106_2	K02390
concoct_spades_11_106_4	K02389
concoct_spades_11_106_5	K02414
concoct_spades_11_106_7	K02413
concoct_spades_11_108_1	K02115
concoct_spades_11_108_2	K02112
concoct_spades_11_108_3	K02114
concoct_spades_11_108_5	K00790
concoct_spades_11_109_1	K01470
concoct_spades_11_109_2	K01424
concoct_spades_11_109_4	K03307
concoct_spades_11_109_5	K07219
concoct_spades_11_110_1	K00528
concoct_spades_11_110_1	K02823

concoct_spades_11_110_2	K01465
concoct_spades_11_111_1	K03149
concoct_spades_11_111_2	K03636
concoct_spades_11_111_3	K03738
concoct_spades_11_111_5	K07250
concoct_spades_11_112_1	K01990
concoct_spades_11_112_2	K07979
concoct_spades_11_112_3	K07979
concoct_spades_11_112_7	K03558
concoct_spades_11_112_8	K04085
concoct_spades_11_112_9	K22044
concoct_spades_11_113_3	K01480
concoct_spades_11_113_6	K06147
concoct_spades_11_114_1	K03150
concoct_spades_11_114_2	K01012
concoct_spades_11_114_4	K00966
concoct_spades_11_114_4	K16881

concoct_spades_11_115_3	K02406
concoct_spades_11_115_4	K03563
concoct_spades_11_115_5	K13626
concoct_spades_11_115_6	K02397
concoct_spades_11_116_2	K03088
concoct_spades_11_116_6	K20461
concoct_spades_11_116_7	K20460
concoct_spades_11_116_8	K01990
concoct_spades_11_116_8	K20459

concoct_spades_11_117_1	K01883
concoct_spades_11_117_2	K11145
concoct_spades_11_117_4	K03465
concoct_spades_11_117_5	K03218
concoct_spades_11_117_6	K06962
concoct_spades_11_117_8	K03091
concoct_spades_11_117_9	K02358
concoct_spades_11_118_1	K05540
concoct_spades_11_118_2	K03525
concoct_spades_11_118_3	K03524
concoct_spades_11_118_4	K01572
concoct_spades_11_118_6	K01573
concoct_spades_11_118_7	K01966
concoct_spades_11_119_3	K00176
concoct_spades_11_119_4	K00174
concoct_spades_11_119_5	K00175
concoct_spades_11_119_6	K00177
concoct_spades_11_119_7	K03431
concoct_spades_11_120_1	K03569
concoct_spades_11_120_2	K02392
concoct_spades_11_120_3	K02390
concoct_spades_11_120_3	K02392

concoct_spades_11_120_4	K02395
concoct_spades_11_120_5	K02372
concoct_spades_11_121_2	K00147
concoct_spades_11_121_5	K01619
concoct_spades_11_122_2	K03588
concoct_spades_11_122_3	K05364
concoct_spades_11_122_4	K00208
concoct_spades_11_122_5	K00335
concoct_spades_11_122_5	K18331
concoct_spades_11_122_5	K22339

concoct_spades_11_123_1	K01915
concoct_spades_11_123_3	K01776
concoct_spades_11_123_6	K08602
concoct_spades_11_124_1	K02003
concoct_spades_11_124_2	K02005
concoct_spades_11_124_3	K00832
concoct_spades_11_125_1	K05565
concoct_spades_11_125_1	K05568

concoct_spades_11_125_2	K12137
concoct_spades_11_125_3	K21577
concoct_spades_11_125_4	K21576
concoct_spades_11_127_2	K01159
concoct_spades_11_127_3	K03550
concoct_spades_11_127_4	K03551
concoct_spades_11_127_6	K06381
concoct_spades_11_127_7	K07568
concoct_spades_11_128_1	K18122
concoct_spades_11_128_2	K18122
concoct_spades_11_128_4	K00483
concoct_spades_11_128_4	K14534

concoct_spades_11_129_1	K01447
concoct_spades_11_129_1	K11062

concoct_spades_11_129_4	K07098
concoct_spades_11_130_1	K02003
concoct_spades_11_130_2	K02004
concoct_spades_11_130_4	K06207
concoct_spades_11_131_1	K02529
concoct_spades_11_131_3	K17723
concoct_spades_11_131_4	K17722
concoct_spades_11_132_2	K07777
concoct_spades_11_133_1	K07037
concoct_spades_11_133_2	K01489
concoct_spades_11_133_2	K07042

concoct_spades_11_133_4	K01489
concoct_spades_11_133_5	K03595
concoct_spades_11_134_2	K01448
concoct_spades_11_134_3	K06990
concoct_spades_11_134_3	K09141

concoct_spades_11_134_4	K04069
concoct_spades_11_135_1	K01470
concoct_spades_11_135_3	K00059
concoct_spades_11_135_5	K00059
concoct_spades_11_136_1	K01439
concoct_spades_11_136_3	K06284
concoct_spades_11_136_4	K15460
concoct_spades_11_136_5	K06196
concoct_spades_11_136_8	K02341
concoct_spades_11_137_1	K06281
concoct_spades_11_137_2	K06282
concoct_spades_11_137_4	K04654
concoct_spades_11_137_5	K04656
concoct_spades_11_137_6	K03605
concoct_spades_11_138_7	K00020
concoct_spades_11_139_1	K03544
concoct_spades_11_139_2	K01358
concoct_spades_11_139_3	K03545
concoct_spades_11_140_1	K01598
concoct_spades_11_140_1	K13038

concoct_spades_11_140_2	K04066
concoct_spades_11_140_3	K01462
concoct_spades_11_140_4	K00604
concoct_spades_11_141_1	K01006
concoct_spades_11_141_2	K01129
concoct_spades_11_141_3	K02316
concoct_spades_11_142_2	K01759
concoct_spades_11_142_3	K01439
concoct_spades_11_142_4	K09703
concoct_spades_11_143_2	K03637
concoct_spades_11_143_3	K03639
concoct_spades_11_143_4	K03750
concoct_spades_11_143_4	K07219

concoct_spades_11_143_5	K03750
concoct_spades_11_144_2	K03499
concoct_spades_11_144_3	K03498
concoct_spades_11_144_4	K09779
concoct_spades_11_144_6	K06313
concoct_spades_11_145_1	K00013
concoct_spades_11_145_2	K00817
concoct_spades_11_145_3	K01693
concoct_spades_11_145_4	K02501
concoct_spades_11_145_5	K01814
concoct_spades_11_145_6	K02500
concoct_spades_11_145_7	K01496
concoct_spades_11_145_7	K11755

concoct_spades_11_146_1	K00180
concoct_spades_11_146_2	K00179
concoct_spades_11_147_4	K02049
concoct_spades_11_147_8	K07052
concoct_spades_11_148_2	K06113
concoct_spades_11_148_2	K08961
concoct_spades_11_148_2	K12685

concoct_spades_11_149_1	K01491
concoct_spades_11_149_3	K06023
concoct_spades_11_149_4	K03703
concoct_spades_11_151_3	K00290
concoct_spades_11_152_1	K03168
concoct_spades_11_152_2	K03706
concoct_spades_11_152_3	K02387
concoct_spades_11_152_4	K02388
concoct_spades_11_152_5	K02408
concoct_spades_11_152_6	K02409
concoct_spades_11_152_7	K02409
concoct_spades_11_153_1	K05772
concoct_spades_11_154_2	K03307
concoct_spades_11_154_3	K01438
concoct_spades_11_154_3	K01439

concoct_spades_11_155_1	K04485
concoct_spades_11_155_2	K07067
concoct_spades_11_155_3	K07736
concoct_spades_11_156_3	K03406
concoct_spades_11_157_1	K06317
concoct_spades_11_157_2	K03737
concoct_spades_11_158_3	K07007
concoct_spades_11_158_5	K00336
concoct_spades_11_158_5	K18332

concoct_spades_11_159_1	K06173
concoct_spades_11_159_2	K16783
concoct_spades_11_159_2	K16785

concoct_spades_11_159_3	K16786
concoct_spades_11_159_3	K16787

concoct_spades_11_159_4	K16786
concoct_spades_11_159_4	K16787

concoct_spades_11_159_5	K02879
concoct_spades_11_159_6	K03040
concoct_spades_11_160_2	K00760
concoct_spades_11_160_5	K15024
concoct_spades_11_160_6	K06942
concoct_spades_11_161_1	K00336
concoct_spades_11_161_1	K18332

concoct_spades_11_161_2	K00335
concoct_spades_11_161_2	K18331

concoct_spades_11_161_3	K00334
concoct_spades_11_161_5	K00633
concoct_spades_11_161_5	K00661

concoct_spades_11_162_2	K01227
concoct_spades_11_162_2	K07273
concoct_spades_11_162_2	K21471

concoct_spades_11_162_5	K03088
concoct_spades_11_163_1	K05515
concoct_spades_11_163_2	K03091
concoct_spades_11_163_3	K06400
concoct_spades_11_163_5	K03091
concoct_spades_11_164_1	K00290
concoct_spades_11_166_1	K02111
concoct_spades_11_166_2	K02113
concoct_spades_11_166_3	K02109
concoct_spades_11_166_4	K02110
concoct_spades_11_166_6	K02108
concoct_spades_11_168_4	K00655
concoct_spades_11_168_6	K07216
concoct_spades_11_169_1	K07502
concoct_spades_11_169_3	K04487
concoct_spades_11_169_4	K03151
concoct_spades_11_170_1	K03697
concoct_spades_11_170_4	K03665
concoct_spades_11_171_1	K07052
concoct_spades_11_171_2	K00133
concoct_spades_11_171_3	K01714
concoct_spades_11_171_4	K00215
concoct_spades_11_171_5	K00760
concoct_spades_11_172_2	K03769
concoct_spades_11_172_2	K07533

concoct_spades_11_172_4	K07238
concoct_spades_11_173_1	K00764
concoct_spades_11_173_2	K01933
concoct_spades_11_173_3	K11175
concoct_spades_11_173_4	K00602
concoct_spades_11_173_5	K01945
concoct_spades_11_174_2	K01784
concoct_spades_11_174_4	K03980
concoct_spades_11_175_1	K01591
concoct_spades_11_177_2	K01951
concoct_spades_11_177_3	K00088
concoct_spades_11_177_4	K09121
concoct_spades_11_177_5	K09121
concoct_spades_11_179_1	K01926
concoct_spades_11_179_2	K00248
concoct_spades_11_179_3	K22431
concoct_spades_11_179_4	K03522
concoct_spades_11_179_4	K22432

concoct_spades_11_180_1	K01869
