maxbin2.spades.001_1_1	K10978
maxbin2.spades.001_1_194	K14093
maxbin2.spades.001_1_195	K14094
maxbin2.spades.001_1_196	K14095
maxbin2.spades.001_1_197	K14096
maxbin2.spades.001_1_198	K14097
maxbin2.spades.001_1_199	K14098
maxbin2.spades.001_1_200	K14099
maxbin2.spades.001_1_201	K14100
maxbin2.spades.001_1_202	K14101
maxbin2.spades.001_1_203	K14102
maxbin2.spades.001_1_204	K14103
maxbin2.spades.001_1_205	K14104
maxbin2.spades.001_1_206	K14105
maxbin2.spades.001_1_207	K14106
maxbin2.spades.001_1_208	K14107
maxbin2.spades.001_1_209	K14108
maxbin2.spades.001_1_210	K14109
maxbin2.spades.001_1_211	K00672
maxbin2.spades.001_1_212	K00852
maxbin2.spades.001_1_215	K07076
maxbin2.spades.001_1_218	K01534
maxbin2.spades.001_1_220	K07006
maxbin2.spades.001_1_221	K01953
maxbin2.spades.001_1_222	K02435
maxbin2.spades.001_1_224	K00003
maxbin2.spades.001_1_225	K15635
maxbin2.spades.001_1_226	K01937
maxbin2.spades.001_1_227	K21306
maxbin2.spades.001_1_228	K07991
maxbin2.spades.001_1_239	K06927
maxbin2.spades.001_1_240	K09736
maxbin2.spades.001_1_242	K09722
maxbin2.spades.001_1_246	K07331
maxbin2.spades.001_1_248	K03703
maxbin2.spades.001_1_249	K03702
maxbin2.spades.001_1_250	K03701
maxbin2.spades.001_1_252	K02485
maxbin2.spades.001_1_255	K09003
maxbin2.spades.001_1_256	K16697
maxbin2.spades.001_1_257	K03404
maxbin2.spades.001_1_257	K03405

maxbin2.spades.001_1_258	K16929
maxbin2.spades.001_1_259	K16785
maxbin2.spades.001_1_260	K05776
maxbin2.spades.001_1_260	K16786
maxbin2.spades.001_1_260	K16787

maxbin2.spades.001_1_261	K02230
maxbin2.spades.001_1_261	K03403

maxbin2.spades.001_1_262	K02230
maxbin2.spades.001_1_262	K03403

maxbin2.spades.001_1_265	K01007
maxbin2.spades.001_1_266	K19145
maxbin2.spades.001_1_269	K07076
maxbin2.spades.001_1_270	K08974
maxbin2.spades.001_1_273	K00936
maxbin2.spades.001_1_278	K03657
maxbin2.spades.001_1_279	K07238
maxbin2.spades.001_1_283	K00158
maxbin2.spades.001_1_284	K00158
maxbin2.spades.001_1_285	K02017
maxbin2.spades.001_1_286	K05773
maxbin2.spades.001_1_287	K05772
maxbin2.spades.001_1_290	K01537
maxbin2.spades.001_1_297	K07502
maxbin2.spades.001_1_298	K06877
maxbin2.spades.001_1_300	K05520
maxbin2.spades.001_1_302	K00558
maxbin2.spades.001_1_303	K03575
maxbin2.spades.001_1_309	K09124
maxbin2.spades.001_1_310	K07131
maxbin2.spades.001_1_312	K10716
maxbin2.spades.001_1_317	K03657
maxbin2.spades.001_1_319	K02230
maxbin2.spades.001_1_320	K06921
maxbin2.spades.001_1_321	K07725
maxbin2.spades.001_1_331	K07141
maxbin2.spades.001_1_333	K01925
maxbin2.spades.001_1_334	K01925
maxbin2.spades.001_1_337	K07304
maxbin2.spades.001_1_339	K00175
maxbin2.spades.001_1_342	K03546
maxbin2.spades.001_1_343	K03547
maxbin2.spades.001_1_344	K06915
maxbin2.spades.001_1_348	K03294
maxbin2.spades.001_1_349	K19003
maxbin2.spades.001_1_350	K19003
maxbin2.spades.001_1_352	K02347
maxbin2.spades.001_1_352	K04477

maxbin2.spades.001_1_353	K03657
maxbin2.spades.001_1_353	K03658

maxbin2.spades.001_1_354	K17104
maxbin2.spades.001_1_355	K02927
maxbin2.spades.001_1_356	K09140
maxbin2.spades.001_1_357	K03404
maxbin2.spades.001_1_357	K03405

maxbin2.spades.001_1_360	K09729
maxbin2.spades.001_1_361	K07049
maxbin2.spades.001_1_363	K00021
maxbin2.spades.001_1_364	K01902
maxbin2.spades.001_1_366	K03785
maxbin2.spades.001_1_368	K03799
maxbin2.spades.001_1_370	K07321
maxbin2.spades.001_1_371	K01790
maxbin2.spades.001_1_372	K01790
maxbin2.spades.001_1_374	K04477
maxbin2.spades.001_1_375	K06982
maxbin2.spades.001_1_378	K16306
maxbin2.spades.001_1_379	K11646
maxbin2.spades.001_1_381	K01975
maxbin2.spades.001_1_382	K07558
maxbin2.spades.001_1_383	K02683
maxbin2.spades.001_1_384	K18882
maxbin2.spades.001_1_385	K01874
maxbin2.spades.001_1_386	K09724
maxbin2.spades.001_1_388	K01001
maxbin2.spades.001_1_390	K06945
maxbin2.spades.001_1_391	K06945
maxbin2.spades.001_1_392	K06945
maxbin2.spades.001_1_393	K06945
maxbin2.spades.001_1_394	K07131
maxbin2.spades.001_1_400	K00560
maxbin2.spades.001_1_401	K05936
maxbin2.spades.001_1_402	K07722
maxbin2.spades.001_1_403	K09815
maxbin2.spades.001_1_404	K09817
maxbin2.spades.001_1_405	K02075
maxbin2.spades.001_1_405	K09816

maxbin2.spades.001_1_407	K01807
maxbin2.spades.001_1_408	K09730
maxbin2.spades.001_1_409	K00096
maxbin2.spades.001_1_410	K01881
maxbin2.spades.001_1_412	K14941
maxbin2.spades.001_1_413	K00941
maxbin2.spades.001_1_414	K01939
maxbin2.spades.001_1_417	K00567
maxbin2.spades.001_1_419	K06213
maxbin2.spades.001_1_420	K03529
maxbin2.spades.001_1_421	K01011
maxbin2.spades.001_1_422	K07052
maxbin2.spades.001_1_428	K08978
maxbin2.spades.001_1_429	K01784
maxbin2.spades.001_1_431	K07052
maxbin2.spades.001_1_432	K00963
maxbin2.spades.001_1_435	K09131
maxbin2.spades.001_1_436	K09738
maxbin2.spades.001_1_440	K21610
maxbin2.spades.001_1_442	K08303
maxbin2.spades.001_1_443	K00764
maxbin2.spades.001_1_445	K02922
maxbin2.spades.001_1_446	K04796
maxbin2.spades.001_1_447	K07575
maxbin2.spades.001_1_448	K14653
maxbin2.spades.001_1_449	K00525
maxbin2.spades.001_1_453	K03725
maxbin2.spades.001_1_454	K00666
maxbin2.spades.001_1_455	K07107
maxbin2.spades.001_1_458	K03320
maxbin2.spades.001_1_459	K04751
maxbin2.spades.001_1_460	K03320
maxbin2.spades.001_1_461	K04751
maxbin2.spades.001_1_463	K06215
maxbin2.spades.001_1_466	K01814
maxbin2.spades.001_1_470	K02230
maxbin2.spades.001_1_475	K04798
maxbin2.spades.001_1_476	K09741
maxbin2.spades.001_1_477	K14561
maxbin2.spades.001_1_478	K03059
maxbin2.spades.001_1_479	K02921
maxbin2.spades.001_1_480	K12589
maxbin2.spades.001_1_481	K11600
maxbin2.spades.001_1_482	K03679
maxbin2.spades.001_1_483	K14574
maxbin2.spades.001_1_484	K03432
maxbin2.spades.001_1_485	K03537
maxbin2.spades.001_1_486	K03539
maxbin2.spades.001_1_487	K07581
maxbin2.spades.001_1_488	K02877
maxbin2.spades.001_1_494	K02004
maxbin2.spades.001_1_495	K02003
maxbin2.spades.001_1_499	K09129
maxbin2.spades.001_1_501	K01895
maxbin2.spades.001_1_502	K00188
maxbin2.spades.001_1_503	K00186
maxbin2.spades.001_1_504	K00187
maxbin2.spades.001_1_505	K09482
maxbin2.spades.001_1_506	K03330
maxbin2.spades.001_1_507	K00384
maxbin2.spades.001_1_509	K01951
maxbin2.spades.001_1_510	K01951
maxbin2.spades.001_1_511	K07305
maxbin2.spades.001_1_514	K02230
maxbin2.spades.001_1_520	K09119
maxbin2.spades.001_1_521	K09011
maxbin2.spades.001_1_522	K07446
maxbin2.spades.001_1_526	K09740
maxbin2.spades.001_1_527	K03420
maxbin2.spades.001_1_528	K03627
maxbin2.spades.001_1_529	K09727
maxbin2.spades.001_1_532	K01924
maxbin2.spades.001_1_532	K01928

maxbin2.spades.001_1_533	K01000
maxbin2.spades.001_1_535	K08315
maxbin2.spades.001_1_537	K07722
maxbin2.spades.001_1_540	K01889
maxbin2.spades.001_1_541	K05966
maxbin2.spades.001_1_542	K01698
maxbin2.spades.001_1_544	K07457
maxbin2.spades.001_1_546	K01736
maxbin2.spades.001_1_550	K06888
maxbin2.spades.001_1_551	K01533
maxbin2.spades.001_1_553	K05919
maxbin2.spades.001_1_554	K01759
maxbin2.spades.001_1_556	K11105
maxbin2.spades.001_1_558	K09719
maxbin2.spades.001_1_559	K07463
maxbin2.spades.001_1_560	K10773
maxbin2.spades.001_1_561	K06945
maxbin2.spades.001_1_562	K00800
maxbin2.spades.001_1_563	K01873
maxbin2.spades.001_1_566	K01890
maxbin2.spades.001_1_569	K01499
maxbin2.spades.001_1_570	K00560
maxbin2.spades.001_1_571	K00549
maxbin2.spades.001_1_575	K06718
maxbin2.spades.001_1_575	K22477

maxbin2.spades.001_1_576	K09726
maxbin2.spades.001_1_577	K04652
maxbin2.spades.001_1_578	K04651
maxbin2.spades.001_1_579	K00948
maxbin2.spades.001_1_580	K04076
maxbin2.spades.001_1_582	K02232
maxbin2.spades.001_1_583	K14445
maxbin2.spades.001_1_585	K01641
maxbin2.spades.001_1_586	K00626
maxbin2.spades.001_1_587	K22447
maxbin2.spades.001_1_591	K19302
maxbin2.spades.001_1_592	K00133
maxbin2.spades.001_1_593	K00215
maxbin2.spades.001_1_594	K01714
maxbin2.spades.001_1_595	K00928
maxbin2.spades.001_1_596	K02962
maxbin2.spades.001_1_597	K04093
maxbin2.spades.001_1_598	K00891
maxbin2.spades.001_1_599	K04773
maxbin2.spades.001_1_601	K02188
maxbin2.spades.001_1_602	K03637
maxbin2.spades.001_1_603	K03726
maxbin2.spades.001_1_610	K07739
maxbin2.spades.001_1_611	K01619
maxbin2.spades.001_1_612	K09143
maxbin2.spades.001_1_613	K11781
maxbin2.spades.001_1_617	K15865
maxbin2.spades.001_1_618	K00573
maxbin2.spades.001_1_620	K16793
maxbin2.spades.001_1_621	K06984
maxbin2.spades.001_1_622	K06937
maxbin2.spades.001_1_623	K19664
maxbin2.spades.001_1_625	K07072
maxbin2.spades.001_1_626	K06914
maxbin2.spades.001_1_627	K02472
maxbin2.spades.001_1_628	K01791
maxbin2.spades.001_1_629	K09150
maxbin2.spades.001_1_630	K06173
maxbin2.spades.001_1_632	K07013
maxbin2.spades.001_1_633	K01814
maxbin2.spades.001_1_634	K14656
maxbin2.spades.001_1_636	K00145
maxbin2.spades.001_1_638	K03074
maxbin2.spades.001_1_639	K03072
maxbin2.spades.001_1_640	K00610
maxbin2.spades.001_1_642	K06987
maxbin2.spades.001_1_646	K03568
maxbin2.spades.001_1_647	K09141
maxbin2.spades.001_1_648	K06943
maxbin2.spades.001_1_649	K13993
maxbin2.spades.001_1_650	K00820
maxbin2.spades.001_1_651	K01518
maxbin2.spades.001_1_651	K02503
maxbin2.spades.001_1_651	K19710
maxbin2.spades.001_1_651	K21220

maxbin2.spades.001_1_653	K09154
maxbin2.spades.001_1_657	K01486
maxbin2.spades.001_1_659	K01480
maxbin2.spades.001_1_660	K03263
maxbin2.spades.001_1_661	K02626
maxbin2.spades.001_1_662	K01092
maxbin2.spades.001_1_663	K00858
maxbin2.spades.001_1_664	K21612
maxbin2.spades.001_1_665	K01749
maxbin2.spades.001_1_666	K18855
maxbin2.spades.001_1_667	K00762
maxbin2.spades.001_1_668	K03179
maxbin2.spades.001_1_669	K03265
maxbin2.spades.001_1_670	K09903
maxbin2.spades.001_1_673	K07090
maxbin2.spades.001_1_676	K03124
maxbin2.spades.001_1_677	K07569
maxbin2.spades.001_1_678	K07027
maxbin2.spades.001_1_679	K08093
maxbin2.spades.001_1_680	K09732
maxbin2.spades.001_1_682	K02316
maxbin2.spades.001_1_683	K01338
maxbin2.spades.001_1_684	K04763
maxbin2.spades.001_1_685	K07089
maxbin2.spades.001_1_688	K00286
maxbin2.spades.001_1_690	K21903
maxbin2.spades.001_1_691	K03325
maxbin2.spades.001_1_695	K01669
maxbin2.spades.001_1_696	K03523
maxbin2.spades.001_1_697	K09706
maxbin2.spades.001_1_698	K07079
maxbin2.spades.001_1_700	K06963
maxbin2.spades.001_1_703	K12574
maxbin2.spades.001_1_706	K09714
maxbin2.spades.001_1_707	K11261
maxbin2.spades.001_1_708	K00202
maxbin2.spades.001_1_709	K00201
maxbin2.spades.001_1_710	K02017
maxbin2.spades.001_1_711	K02018
maxbin2.spades.001_1_713	K02020
maxbin2.spades.001_1_714	K09138
maxbin2.spades.001_1_715	K00205
maxbin2.spades.001_1_717	K02230
maxbin2.spades.001_1_725	K03709
maxbin2.spades.001_1_728	K07043
maxbin2.spades.001_1_729	K01153
maxbin2.spades.001_1_730	K01154
maxbin2.spades.001_1_731	K03427
maxbin2.spades.001_1_732	K01595
maxbin2.spades.001_1_734	K06913
maxbin2.spades.001_1_737	K09737
maxbin2.spades.001_1_741	K02120
maxbin2.spades.001_1_742	K02118
maxbin2.spades.001_1_743	K02117
maxbin2.spades.001_1_744	K02122
maxbin2.spades.001_1_745	K02119
maxbin2.spades.001_1_746	K02121
maxbin2.spades.001_1_747	K02124
maxbin2.spades.001_1_748	K02123
maxbin2.spades.001_1_750	K01647
maxbin2.spades.001_1_751	K01677
maxbin2.spades.001_1_754	K06932
maxbin2.spades.001_1_755	K07728
maxbin2.spades.001_1_756	K04763
maxbin2.spades.001_1_756	K09940

maxbin2.spades.001_1_758	K00058
maxbin2.spades.001_1_761	K06989
maxbin2.spades.001_1_763	K07135
maxbin2.spades.001_1_764	K04069
maxbin2.spades.001_1_766	K19266
maxbin2.spades.001_1_768	K07333
maxbin2.spades.001_1_769	K01271
maxbin2.spades.001_1_770	K19710
maxbin2.spades.001_1_774	K09136
maxbin2.spades.001_1_776	K06864
maxbin2.spades.001_1_783	K01955
maxbin2.spades.001_1_784	K01956
maxbin2.spades.001_1_785	K03789
maxbin2.spades.001_1_786	K09713
maxbin2.spades.001_1_787	K01537
maxbin2.spades.001_1_788	K05895
maxbin2.spades.001_1_789	K03750
maxbin2.spades.001_1_790	K03236
maxbin2.spades.001_1_791	K07178
maxbin2.spades.001_1_792	K06961
maxbin2.spades.001_1_793	K03167
maxbin2.spades.001_1_794	K03166
maxbin2.spades.001_1_795	K00150
maxbin2.spades.001_1_796	K01151
maxbin2.spades.001_1_797	K07392
maxbin2.spades.001_1_798	K02492
maxbin2.spades.001_1_799	K02304
maxbin2.spades.001_1_801	K00400
maxbin2.spades.001_1_803	K08096
maxbin2.spades.001_1_804	K11212
maxbin2.spades.001_1_805	K12234
maxbin2.spades.001_1_806	K11176
maxbin2.spades.001_1_807	K03559
maxbin2.spades.001_1_808	K03561
maxbin2.spades.001_1_809	K03470
maxbin2.spades.001_1_810	K03569
maxbin2.spades.001_1_812	K01613
maxbin2.spades.001_1_813	K19665
maxbin2.spades.001_1_817	K09739
maxbin2.spades.001_1_818	K00176
maxbin2.spades.001_1_819	K00174
maxbin2.spades.001_1_820	K00175
maxbin2.spades.001_1_821	K00177
maxbin2.spades.001_1_822	K01903
maxbin2.spades.001_1_825	K15449
maxbin2.spades.001_1_827	K01803
maxbin2.spades.001_1_828	K00927
maxbin2.spades.001_1_829	K03053
maxbin2.spades.001_1_830	K03044
maxbin2.spades.001_1_830	K13798

maxbin2.spades.001_1_831	K03044
maxbin2.spades.001_1_831	K13798

maxbin2.spades.001_1_832	K03041
maxbin2.spades.001_1_833	K03042
maxbin2.spades.001_1_834	K02908
maxbin2.spades.001_1_835	K02600
maxbin2.spades.001_1_836	K02950
maxbin2.spades.001_1_837	K02992
maxbin2.spades.001_1_838	K03234
maxbin2.spades.001_1_839	K03231
maxbin2.spades.001_1_840	K02946
maxbin2.spades.001_1_841	K00577
maxbin2.spades.001_1_845	K13652
maxbin2.spades.001_1_846	K06868
maxbin2.spades.001_1_847	K06928
maxbin2.spades.001_1_848	K04070
maxbin2.spades.001_1_849	K03592
maxbin2.spades.001_1_850	K22223
maxbin2.spades.001_1_851	K04654
maxbin2.spades.001_1_852	K07301
maxbin2.spades.001_1_859	K19140
maxbin2.spades.001_1_860	K19139
maxbin2.spades.001_1_861	K09002
maxbin2.spades.001_1_862	K19138
maxbin2.spades.001_1_863	K07016
maxbin2.spades.001_1_864	K09951
maxbin2.spades.001_1_865	K15342
maxbin2.spades.001_1_866	K07464
maxbin2.spades.001_1_867	K07012
maxbin2.spades.001_1_868	K19090
maxbin2.spades.001_1_868	K19116

maxbin2.spades.001_1_869	K19075
maxbin2.spades.001_1_872	K19091
maxbin2.spades.001_1_873	K01992
maxbin2.spades.001_1_874	K01990
maxbin2.spades.001_1_875	K08482
maxbin2.spades.001_1_877	K01011
maxbin2.spades.001_1_877	K01069

maxbin2.spades.001_1_878	K07005
maxbin2.spades.001_1_879	K17105
maxbin2.spades.001_1_881	K00943
maxbin2.spades.001_1_882	K06897
maxbin2.spades.001_1_886	K01858
maxbin2.spades.001_1_887	K00176
maxbin2.spades.001_1_888	K01960
maxbin2.spades.001_1_889	K06920
maxbin2.spades.001_1_890	K09121
maxbin2.spades.001_1_893	K02233
maxbin2.spades.001_1_894	K07254
maxbin2.spades.001_1_895	K00761
maxbin2.spades.001_1_896	K01678
maxbin2.spades.001_1_897	K18933
maxbin2.spades.001_1_898	K01007
maxbin2.spades.001_1_899	K02866
maxbin2.spades.001_1_900	K07321
maxbin2.spades.001_1_902	K01875
maxbin2.spades.001_1_905	K01802
maxbin2.spades.001_1_905	K03775

maxbin2.spades.001_1_907	K01465
maxbin2.spades.001_1_908	K06964
maxbin2.spades.001_1_909	K00399
maxbin2.spades.001_1_910	K00402
maxbin2.spades.001_1_911	K03422
maxbin2.spades.001_1_912	K00401
maxbin2.spades.001_1_914	K14126
maxbin2.spades.001_1_915	K14128
maxbin2.spades.001_1_916	K14127
maxbin2.spades.001_1_918	K14127
maxbin2.spades.001_1_919	K00125
maxbin2.spades.001_1_920	K00123
maxbin2.spades.001_1_923	K13942
maxbin2.spades.001_1_924	K01012
maxbin2.spades.001_1_924	K16180

maxbin2.spades.001_1_930	K09013
maxbin2.spades.001_1_931	K07033
maxbin2.spades.001_1_933	K19712
maxbin2.spades.001_1_936	K07301
maxbin2.spades.001_1_937	K00584
maxbin2.spades.001_1_938	K00583
maxbin2.spades.001_1_939	K00582
maxbin2.spades.001_1_940	K00577
maxbin2.spades.001_1_941	K00578
maxbin2.spades.001_1_942	K00579
maxbin2.spades.001_1_943	K00580
maxbin2.spades.001_1_944	K00581
maxbin2.spades.001_1_945	K00399
maxbin2.spades.001_1_946	K00402
maxbin2.spades.001_1_947	K03421
maxbin2.spades.001_1_948	K03422
maxbin2.spades.001_1_949	K00401
maxbin2.spades.001_1_956	K03593
maxbin2.spades.001_1_958	K06933
maxbin2.spades.001_1_959	K07098
maxbin2.spades.001_1_961	K06024
maxbin2.spades.001_1_962	K05979
maxbin2.spades.001_1_965	K03231
maxbin2.spades.001_1_969	K07052
maxbin2.spades.001_1_970	K00555
maxbin2.spades.001_1_973	K03718
maxbin2.spades.001_1_976	K17488
maxbin2.spades.001_1_978	K11780
maxbin2.spades.001_1_979	K09147
maxbin2.spades.001_1_980	K07055
maxbin2.spades.001_1_981	K06863
maxbin2.spades.001_1_982	K03433
maxbin2.spades.001_1_983	K07041
maxbin2.spades.001_1_984	K01933
maxbin2.spades.001_1_985	K05884
maxbin2.spades.001_1_986	K06034
maxbin2.spades.001_1_987	K13039
maxbin2.spades.001_1_988	K02319
maxbin2.spades.001_1_990	K07448
maxbin2.spades.001_1_992	K02823
maxbin2.spades.001_1_993	K17828
maxbin2.spades.001_1_994	K14564
maxbin2.spades.001_1_995	K04795
maxbin2.spades.001_1_996	K13038
maxbin2.spades.001_1_1000	K04518
maxbin2.spades.001_1_1001	K07468
maxbin2.spades.001_1_1003	K07182
maxbin2.spades.001_1_1007	K10026
maxbin2.spades.001_1_1008	K01737
maxbin2.spades.001_1_1009	K09139
maxbin2.spades.001_1_1010	K06934
maxbin2.spades.001_1_1011	K09717
maxbin2.spades.001_1_1012	K00003
maxbin2.spades.001_1_1013	K07464
maxbin2.spades.001_1_1015	K06862
maxbin2.spades.001_1_1016	K14125
maxbin2.spades.001_1_1017	K14124
maxbin2.spades.001_1_1018	K14123
maxbin2.spades.001_1_1019	K14122
maxbin2.spades.001_1_1020	K14121
maxbin2.spades.001_1_1021	K14120
maxbin2.spades.001_1_1022	K14119
maxbin2.spades.001_1_1023	K14118
maxbin2.spades.001_1_1024	K14117
maxbin2.spades.001_1_1025	K14116
maxbin2.spades.001_1_1026	K14115
maxbin2.spades.001_1_1027	K14114
maxbin2.spades.001_1_1028	K14113
maxbin2.spades.001_1_1029	K14112
maxbin2.spades.001_1_1030	K14111
maxbin2.spades.001_1_1031	K14110
maxbin2.spades.001_1_1032	K07038
maxbin2.spades.001_1_1033	K06987
maxbin2.spades.001_1_1034	K01940
maxbin2.spades.001_1_1035	K06317
maxbin2.spades.001_1_1036	K17758
maxbin2.spades.001_1_1036	K17759

maxbin2.spades.001_1_1037	K10716
maxbin2.spades.001_1_1038	K00672
maxbin2.spades.001_1_1040	K07027
maxbin2.spades.001_1_1041	K07095
maxbin2.spades.001_1_1043	K03498
maxbin2.spades.001_1_1044	K03499
maxbin2.spades.001_1_1046	K03552
maxbin2.spades.001_1_1048	K02033
maxbin2.spades.001_1_1050	K02434
maxbin2.spades.001_1_1051	K09715
maxbin2.spades.001_1_1053	K01523
maxbin2.spades.001_1_1057	K06898
maxbin2.spades.001_1_1058	K04656
maxbin2.spades.001_1_1059	K07721
maxbin2.spades.001_1_1060	K03687
maxbin2.spades.001_1_1061	K04043
maxbin2.spades.001_1_1062	K03686
maxbin2.spades.001_1_1065	K01265
maxbin2.spades.001_1_1066	K00441
maxbin2.spades.001_1_1067	K00443
maxbin2.spades.001_1_1068	K00442
maxbin2.spades.001_1_1069	K00440
maxbin2.spades.001_1_1071	K06869
maxbin2.spades.001_1_1073	K07159
maxbin2.spades.001_1_1074	K11130
maxbin2.spades.001_1_1075	K03237
maxbin2.spades.001_1_1076	K02978
maxbin2.spades.001_1_1077	K02929
maxbin2.spades.001_1_1078	K09723
maxbin2.spades.001_1_1079	K04802
maxbin2.spades.001_1_1081	K03057
maxbin2.spades.001_1_1082	K03574
maxbin2.spades.001_1_1083	K09120
maxbin2.spades.001_1_1084	K03056
maxbin2.spades.001_1_1085	K07573
maxbin2.spades.001_1_1086	K07561
maxbin2.spades.001_1_1087	K00759
maxbin2.spades.001_1_1088	K03106
maxbin2.spades.001_1_1089	K07583
maxbin2.spades.001_1_1090	K02889
maxbin2.spades.001_1_1091	K03051
maxbin2.spades.001_1_1092	K07572
maxbin2.spades.001_1_1093	K02528
maxbin2.spades.001_1_1095	K07729
maxbin2.spades.001_1_1096	K02493
maxbin2.spades.001_1_1101	K01778
maxbin2.spades.001_1_1102	K01586
maxbin2.spades.001_1_1103	K03574
maxbin2.spades.001_1_1104	K00821
maxbin2.spades.001_1_1105	K03768
maxbin2.spades.001_1_1108	K03660
maxbin2.spades.001_1_1109	K02500
maxbin2.spades.001_1_1110	K11261
maxbin2.spades.001_1_1114	K03394
maxbin2.spades.001_1_1115	K07013
maxbin2.spades.001_1_1116	K07013
maxbin2.spades.001_1_1117	K19817
maxbin2.spades.001_1_1118	K19824
maxbin2.spades.001_1_1121	K17870
maxbin2.spades.001_1_1122	K03741
maxbin2.spades.001_1_1124	K07235
maxbin2.spades.001_1_1125	K07236
maxbin2.spades.001_1_1127	K07237
maxbin2.spades.001_1_1128	K04759
maxbin2.spades.001_1_1129	K04758
maxbin2.spades.001_1_1130	K02230
maxbin2.spades.001_1_1132	K18979
maxbin2.spades.001_1_1136	K03750
maxbin2.spades.001_1_1137	K01990
maxbin2.spades.001_1_1138	K01992
maxbin2.spades.001_1_1139	K01992
maxbin2.spades.001_1_1141	K01952
maxbin2.spades.001_1_1142	K01870
maxbin2.spades.001_1_1143	K00789
maxbin2.spades.001_1_1144	K09005
maxbin2.spades.001_1_1146	K18853
maxbin2.spades.001_1_1147	K00600
maxbin2.spades.001_1_1148	K03388
maxbin2.spades.001_1_1149	K07088
