maxbin2.spades.006_1_1	K06405
maxbin2.spades.006_1_128	K00088
maxbin2.spades.006_1_129	K07113
maxbin2.spades.006_1_131	K10206
maxbin2.spades.006_1_132	K07053
maxbin2.spades.006_1_133	K01273
maxbin2.spades.006_1_134	K06416
maxbin2.spades.006_1_135	K09769
maxbin2.spades.006_1_137	K18682
maxbin2.spades.006_1_138	K03565
maxbin2.spades.006_1_139	K03553
maxbin2.spades.006_1_141	K06027
maxbin2.spades.006_1_143	K00995
maxbin2.spades.006_1_144	K14441
maxbin2.spades.006_1_146	K06917
maxbin2.spades.006_1_147	K03466
maxbin2.spades.006_1_148	K06153
maxbin2.spades.006_1_149	K03324
maxbin2.spades.006_1_151	K01358
maxbin2.spades.006_1_152	K12574
maxbin2.spades.006_1_153	K01714
maxbin2.spades.006_1_154	K00133
maxbin2.spades.006_1_155	K06411
maxbin2.spades.006_1_156	K06410
maxbin2.spades.006_1_157	K00215
maxbin2.spades.006_1_160	K01520
maxbin2.spades.006_1_162	K07258
maxbin2.spades.006_1_164	K00962
maxbin2.spades.006_1_165	K02956
maxbin2.spades.006_1_168	K11753
maxbin2.spades.006_1_169	K03177
maxbin2.spades.006_1_170	K06881
maxbin2.spades.006_1_171	K02834
maxbin2.spades.006_1_172	K02519
maxbin2.spades.006_1_174	K07742
maxbin2.spades.006_1_175	K02600
maxbin2.spades.006_1_176	K09748
maxbin2.spades.006_1_177	K03763
maxbin2.spades.006_1_179	K01881
maxbin2.spades.006_1_180	K03526
maxbin2.spades.006_1_181	K11749
maxbin2.spades.006_1_182	K00099
maxbin2.spades.006_1_184	K00981
maxbin2.spades.006_1_185	K00806
maxbin2.spades.006_1_186	K02838
maxbin2.spades.006_1_187	K09903
maxbin2.spades.006_1_188	K02357
maxbin2.spades.006_1_189	K02967
maxbin2.spades.006_1_190	K03706
maxbin2.spades.006_1_191	K03667
maxbin2.spades.006_1_192	K01419
maxbin2.spades.006_1_193	K03733
maxbin2.spades.006_1_193	K04763

maxbin2.spades.006_1_194	K04094
maxbin2.spades.006_1_195	K03168
maxbin2.spades.006_1_196	K04096
maxbin2.spades.006_1_198	K07391
maxbin2.spades.006_1_199	K07460
maxbin2.spades.006_1_200	K00343
maxbin2.spades.006_1_201	K00342
maxbin2.spades.006_1_201	K05575

maxbin2.spades.006_1_202	K00341
maxbin2.spades.006_1_203	K00340
maxbin2.spades.006_1_203	K05576

maxbin2.spades.006_1_204	K00339
maxbin2.spades.006_1_204	K05578

maxbin2.spades.006_1_205	K00338
maxbin2.spades.006_1_205	K05580

maxbin2.spades.006_1_206	K00337
maxbin2.spades.006_1_207	K00333
maxbin2.spades.006_1_208	K00332
maxbin2.spades.006_1_209	K00331
maxbin2.spades.006_1_210	K00330
maxbin2.spades.006_1_211	K03470
maxbin2.spades.006_1_213	K14540
maxbin2.spades.006_1_214	K03100
maxbin2.spades.006_1_215	K02884
maxbin2.spades.006_1_216	K00554
maxbin2.spades.006_1_217	K02860
maxbin2.spades.006_1_218	K06960
maxbin2.spades.006_1_219	K02959
maxbin2.spades.006_1_220	K03106
maxbin2.spades.006_1_221	K09787
maxbin2.spades.006_1_222	K12960
maxbin2.spades.006_1_222	K20810

maxbin2.spades.006_1_223	K03110
maxbin2.spades.006_1_224	K03529
maxbin2.spades.006_1_225	K03685
maxbin2.spades.006_1_226	K09458
maxbin2.spades.006_1_228	K02078
maxbin2.spades.006_1_229	K00059
maxbin2.spades.006_1_230	K00645
maxbin2.spades.006_1_231	K02371
maxbin2.spades.006_1_232	K00648
maxbin2.spades.006_1_233	K03621
maxbin2.spades.006_1_235	K02911
maxbin2.spades.006_1_236	K07040
maxbin2.spades.006_1_237	K00925
maxbin2.spades.006_1_238	K07001
maxbin2.spades.006_1_242	K01905
maxbin2.spades.006_1_242	K22224

maxbin2.spades.006_1_244	K06012
maxbin2.spades.006_1_245	K06421
maxbin2.spades.006_1_247	K03655
maxbin2.spades.006_1_248	K07030
maxbin2.spades.006_1_251	K07095
maxbin2.spades.006_1_253	K01783
maxbin2.spades.006_1_254	K06949
maxbin2.spades.006_1_255	K12132
maxbin2.spades.006_1_256	K05364
maxbin2.spades.006_1_257	K03588
maxbin2.spades.006_1_258	K20074
maxbin2.spades.006_1_261	K06941
maxbin2.spades.006_1_262	K03500
maxbin2.spades.006_1_263	K06973
maxbin2.spades.006_1_264	K09729
maxbin2.spades.006_1_265	K00604
maxbin2.spades.006_1_266	K01462
maxbin2.spades.006_1_267	K04066
maxbin2.spades.006_1_268	K09766
maxbin2.spades.006_1_270	K03406
maxbin2.spades.006_1_273	K07080
maxbin2.spades.006_1_275	K00789
maxbin2.spades.006_1_276	K01598
maxbin2.spades.006_1_276	K13038

maxbin2.spades.006_1_277	K03060
maxbin2.spades.006_1_278	K09777
maxbin2.spades.006_1_280	K01537
maxbin2.spades.006_1_283	K00762
maxbin2.spades.006_1_284	K01591
maxbin2.spades.006_1_285	K17828
maxbin2.spades.006_1_286	K02823
maxbin2.spades.006_1_287	K01465
maxbin2.spades.006_1_288	K00609
maxbin2.spades.006_1_289	K02825
maxbin2.spades.006_1_291	K04083
maxbin2.spades.006_1_293	K06180
maxbin2.spades.006_1_294	K03101
maxbin2.spades.006_1_297	K15024
maxbin2.spades.006_1_298	K01870
maxbin2.spades.006_1_299	K04074
maxbin2.spades.006_1_300	K02221
maxbin2.spades.006_1_301	K00286
maxbin2.spades.006_1_302	K09772
maxbin2.spades.006_1_303	K06997
maxbin2.spades.006_1_305	K05810
maxbin2.spades.006_1_306	K04068
maxbin2.spades.006_1_307	K21636
maxbin2.spades.006_1_308	K07738
maxbin2.spades.006_1_310	K06387
maxbin2.spades.006_1_311	K03091
maxbin2.spades.006_1_314	K03091
maxbin2.spades.006_1_315	K06383
maxbin2.spades.006_1_316	K03531
maxbin2.spades.006_1_318	K03589
maxbin2.spades.006_1_319	K00790
maxbin2.spades.006_1_320	K00075
maxbin2.spades.006_1_321	K01924
maxbin2.spades.006_1_322	K02563
maxbin2.spades.006_1_323	K03588
maxbin2.spades.006_1_324	K01925
maxbin2.spades.006_1_325	K01000
maxbin2.spades.006_1_326	K01929
maxbin2.spades.006_1_327	K01928
maxbin2.spades.006_1_328	K03587
maxbin2.spades.006_1_328	K08384

maxbin2.spades.006_1_330	K03438
maxbin2.spades.006_1_331	K03925
maxbin2.spades.006_1_335	K07161
maxbin2.spades.006_1_338	K01463
maxbin2.spades.006_1_339	K22136
maxbin2.spades.006_1_340	K10914
maxbin2.spades.006_1_340	K21563

maxbin2.spades.006_1_342	K09825
maxbin2.spades.006_1_345	K04486
maxbin2.spades.006_1_350	K03388
maxbin2.spades.006_1_351	K03388
maxbin2.spades.006_1_352	K03389
maxbin2.spades.006_1_353	K03390
maxbin2.spades.006_1_354	K03324
maxbin2.spades.006_1_355	K06423
maxbin2.spades.006_1_357	K02417
maxbin2.spades.006_1_358	K02416
maxbin2.spades.006_1_359	K03413
maxbin2.spades.006_1_360	K03410
maxbin2.spades.006_1_361	K00575
maxbin2.spades.006_1_362	K03411
maxbin2.spades.006_1_363	K02390
maxbin2.spades.006_1_363	K02392

maxbin2.spades.006_1_364	K02392
maxbin2.spades.006_1_365	K07082
maxbin2.spades.006_1_367	K02405
maxbin2.spades.006_1_369	K04562
maxbin2.spades.006_1_370	K02404
maxbin2.spades.006_1_371	K02400
maxbin2.spades.006_1_372	K02401
maxbin2.spades.006_1_372	K13820

maxbin2.spades.006_1_373	K02421
maxbin2.spades.006_1_374	K02420
maxbin2.spades.006_1_375	K02419
maxbin2.spades.006_1_376	K02418
maxbin2.spades.006_1_377	K02417
maxbin2.spades.006_1_378	K02415
maxbin2.spades.006_1_379	K02557
maxbin2.spades.006_1_380	K02556
maxbin2.spades.006_1_381	K02385
maxbin2.spades.006_1_382	K02390
maxbin2.spades.006_1_384	K02389
maxbin2.spades.006_1_385	K02414
maxbin2.spades.006_1_386	K02413
maxbin2.spades.006_1_387	K02412
maxbin2.spades.006_1_387	K03224

maxbin2.spades.006_1_388	K02411
maxbin2.spades.006_1_389	K02410
maxbin2.spades.006_1_390	K02409
maxbin2.spades.006_1_391	K02408
maxbin2.spades.006_1_392	K02388
maxbin2.spades.006_1_393	K02387
maxbin2.spades.006_1_394	K02422
maxbin2.spades.006_1_395	K06603
maxbin2.spades.006_1_397	K06603
maxbin2.spades.006_1_398	K02407
maxbin2.spades.006_1_399	K02478
maxbin2.spades.006_1_399	K07704

maxbin2.spades.006_1_400	K02477
maxbin2.spades.006_1_404	K02406
maxbin2.spades.006_1_410	K03307
maxbin2.spades.006_1_410	K11928

maxbin2.spades.006_1_413	K13730
maxbin2.spades.006_1_415	K03563
maxbin2.spades.006_1_416	K13626
maxbin2.spades.006_1_417	K02397
maxbin2.spades.006_1_418	K02396
maxbin2.spades.006_1_420	K02398
maxbin2.spades.006_1_421	K03412
maxbin2.spades.006_1_422	K03407
maxbin2.spades.006_1_423	K03408
maxbin2.spades.006_1_424	K09749
maxbin2.spades.006_1_428	K02337
maxbin2.spades.006_1_428	K14162

maxbin2.spades.006_1_430	K02346
maxbin2.spades.006_1_434	K07680
maxbin2.spades.006_1_434	K07778
maxbin2.spades.006_1_434	K11617
maxbin2.spades.006_1_434	K14988

maxbin2.spades.006_1_437	K16898
maxbin2.spades.006_1_438	K16899
maxbin2.spades.006_1_440	K03547
maxbin2.spades.006_1_441	K03698
maxbin2.spades.006_1_446	K22226
maxbin2.spades.006_1_447	K02302
maxbin2.spades.006_1_447	K02303
maxbin2.spades.006_1_447	K13542

maxbin2.spades.006_1_448	K01749
maxbin2.spades.006_1_449	K02492
maxbin2.spades.006_1_450	K02304
maxbin2.spades.006_1_451	K09121
maxbin2.spades.006_1_457	K00805
maxbin2.spades.006_1_458	K03734
maxbin2.spades.006_1_459	K03616
maxbin2.spades.006_1_460	K03617
maxbin2.spades.006_1_461	K03613
maxbin2.spades.006_1_462	K03612
maxbin2.spades.006_1_463	K03614
maxbin2.spades.006_1_464	K03615
maxbin2.spades.006_1_469	K01921
maxbin2.spades.006_1_470	K06001
maxbin2.spades.006_1_478	K03319
maxbin2.spades.006_1_479	K21900
maxbin2.spades.006_1_482	K01739
maxbin2.spades.006_1_482	K01761

maxbin2.spades.006_1_483	K01628
maxbin2.spades.006_1_485	K00949
maxbin2.spades.006_1_486	K02051
maxbin2.spades.006_1_487	K02548
maxbin2.spades.006_1_488	K02050
maxbin2.spades.006_1_489	K02049
maxbin2.spades.006_1_491	K02282
maxbin2.spades.006_1_492	K02479
maxbin2.spades.006_1_492	K07692

maxbin2.spades.006_1_493	K07777
maxbin2.spades.006_1_494	K06967
maxbin2.spades.006_1_495	K07164
maxbin2.spades.006_1_495	K22391

maxbin2.spades.006_1_497	K06967
maxbin2.spades.006_1_498	K03086
maxbin2.spades.006_1_499	K02316
maxbin2.spades.006_1_501	K07099
maxbin2.spades.006_1_502	K01129
maxbin2.spades.006_1_503	K01821
maxbin2.spades.006_1_504	K08221
maxbin2.spades.006_1_505	K08177
maxbin2.spades.006_1_506	K02057
maxbin2.spades.006_1_507	K02057
maxbin2.spades.006_1_508	K02056
maxbin2.spades.006_1_509	K07335
maxbin2.spades.006_1_510	K01006
maxbin2.spades.006_1_511	K09773
maxbin2.spades.006_1_513	K03385
maxbin2.spades.006_1_514	K15876
maxbin2.spades.006_1_517	K07238
maxbin2.spades.006_1_519	K01759
maxbin2.spades.006_1_527	K02016
maxbin2.spades.006_1_528	K02013
maxbin2.spades.006_1_529	K02015
maxbin2.spades.006_1_530	K02015
maxbin2.spades.006_1_531	K00986
maxbin2.spades.006_1_532	K18831
maxbin2.spades.006_1_533	K02049
maxbin2.spades.006_1_533	K15555

maxbin2.spades.006_1_534	K02050
maxbin2.spades.006_1_535	K02051
maxbin2.spades.006_1_536	K02586
maxbin2.spades.006_1_537	K02591
maxbin2.spades.006_1_538	K01738
maxbin2.spades.006_1_539	K02585
maxbin2.spades.006_1_540	K02588
maxbin2.spades.006_1_543	K09124
maxbin2.spades.006_1_549	K09931
maxbin2.spades.006_1_552	K07027
maxbin2.spades.006_2_2	K02003
maxbin2.spades.006_2_3	K02004
maxbin2.spades.006_2_4	K02005
maxbin2.spades.006_2_5	K06885
maxbin2.spades.006_2_6	K09388
maxbin2.spades.006_2_7	K03406
maxbin2.spades.006_2_9	K00537
maxbin2.spades.006_2_10	K03852
maxbin2.spades.006_2_12	K01652
maxbin2.spades.006_2_13	K00128
maxbin2.spades.006_2_13	K22445

maxbin2.spades.006_2_14	K08369
maxbin2.spades.006_2_15	K00074
maxbin2.spades.006_2_15	K17735

maxbin2.spades.006_2_20	K13963
maxbin2.spades.006_2_21	K12410
maxbin2.spades.006_2_24	K01077
maxbin2.spades.006_2_25	K01142
maxbin2.spades.006_2_29	K02051
maxbin2.spades.006_2_30	K02050
maxbin2.spades.006_2_30	K15552

maxbin2.spades.006_2_31	K02049
maxbin2.spades.006_2_31	K15555

maxbin2.spades.006_2_33	K02614
maxbin2.spades.006_2_35	K02003
maxbin2.spades.006_2_36	K02005
maxbin2.spades.006_2_37	K02004
maxbin2.spades.006_2_40	K06885
maxbin2.spades.006_2_41	K01154
maxbin2.spades.006_2_41	K03427
maxbin2.spades.006_2_41	K09388

maxbin2.spades.006_2_42	K05799
maxbin2.spades.006_2_44	K00782
maxbin2.spades.006_2_45	K11473
maxbin2.spades.006_2_46	K00104
maxbin2.spades.006_2_47	K03303
maxbin2.spades.006_2_49	K03654
maxbin2.spades.006_2_52	K03797
maxbin2.spades.006_2_53	K00575
maxbin2.spades.006_2_53	K03408
maxbin2.spades.006_2_53	K13924

maxbin2.spades.006_2_55	K03296
maxbin2.spades.006_2_57	K13770
maxbin2.spades.006_2_58	K13274
maxbin2.spades.006_2_58	K13276

maxbin2.spades.006_2_61	K02172
maxbin2.spades.006_2_63	K03980
maxbin2.spades.006_2_64	K02372
maxbin2.spades.006_2_65	K02851
maxbin2.spades.006_2_66	K01447
maxbin2.spades.006_2_67	K03742
maxbin2.spades.006_2_67	K03743

maxbin2.spades.006_2_70	K02242
maxbin2.spades.006_2_71	K02030
maxbin2.spades.006_2_72	K02029
maxbin2.spades.006_2_72	K02030

maxbin2.spades.006_2_73	K02028
maxbin2.spades.006_2_74	K03704
maxbin2.spades.006_2_75	K05808
maxbin2.spades.006_2_78	K06857
maxbin2.spades.006_2_79	K05773
maxbin2.spades.006_2_80	K09022
maxbin2.spades.006_2_82	K07088
maxbin2.spades.006_2_83	K13075
maxbin2.spades.006_2_84	K18122
maxbin2.spades.006_2_85	K00483
maxbin2.spades.006_2_85	K14534

maxbin2.spades.006_2_90	K04561
maxbin2.spades.006_2_91	K01715
maxbin2.spades.006_2_92	K01897
maxbin2.spades.006_2_95	K03070
maxbin2.spades.006_2_96	K02836
maxbin2.spades.006_2_98	K03409
maxbin2.spades.006_2_99	K07216
maxbin2.spades.006_2_102	K00198
maxbin2.spades.006_2_103	K09766
maxbin2.spades.006_2_105	K13924
maxbin2.spades.006_2_108	K00615
maxbin2.spades.006_2_109	K00615
maxbin2.spades.006_2_110	K03307
maxbin2.spades.006_2_112	K00184
maxbin2.spades.006_2_113	K00185
maxbin2.spades.006_2_114	K09812
maxbin2.spades.006_2_115	K09811
maxbin2.spades.006_2_116	K21471
maxbin2.spades.006_2_117	K03797
maxbin2.spades.006_2_121	K03521
maxbin2.spades.006_2_122	K03522
maxbin2.spades.006_2_124	K01647
maxbin2.spades.006_2_125	K03710
maxbin2.spades.006_2_126	K07335
maxbin2.spades.006_2_128	K02057
maxbin2.spades.006_2_130	K12960
maxbin2.spades.006_2_130	K20810

maxbin2.spades.006_2_131	K00757
maxbin2.spades.006_2_133	K01839
maxbin2.spades.006_2_134	K17074
maxbin2.spades.006_2_134	K17076

maxbin2.spades.006_2_135	K17073
maxbin2.spades.006_2_135	K17074

maxbin2.spades.006_2_136	K17073
maxbin2.spades.006_2_141	K03702
maxbin2.spades.006_2_142	K03701
maxbin2.spades.006_2_143	K03703
maxbin2.spades.006_2_146	K04477
maxbin2.spades.006_2_147	K04477
maxbin2.spades.006_2_148	K06958
maxbin2.spades.006_2_150	K09762
maxbin2.spades.006_2_151	K03092
maxbin2.spades.006_2_152	K00134
maxbin2.spades.006_2_153	K00927
maxbin2.spades.006_2_153	K01803

maxbin2.spades.006_2_154	K01803
maxbin2.spades.006_2_155	K15633
maxbin2.spades.006_2_156	K01689
maxbin2.spades.006_2_157	K03075
maxbin2.spades.006_2_158	K15987
maxbin2.spades.006_2_159	K03928
maxbin2.spades.006_2_161	K12573
maxbin2.spades.006_2_162	K08217
maxbin2.spades.006_2_165	K01486
maxbin2.spades.006_2_166	K06901
maxbin2.spades.006_2_177	K00598
maxbin2.spades.006_2_178	K03664
maxbin2.spades.006_2_180	K00666
maxbin2.spades.006_2_182	K00031
maxbin2.spades.006_2_186	K00031
maxbin2.spades.006_2_188	K00124
maxbin2.spades.006_2_189	K00533
maxbin2.spades.006_2_191	K02346
maxbin2.spades.006_2_191	K03502

maxbin2.spades.006_2_192	K07006
maxbin2.spades.006_2_193	K02040
maxbin2.spades.006_2_194	K02037
maxbin2.spades.006_2_195	K02038
maxbin2.spades.006_2_196	K02483
maxbin2.spades.006_2_196	K07658
maxbin2.spades.006_2_196	K07668

maxbin2.spades.006_2_197	K07636
maxbin2.spades.006_2_197	K07652

maxbin2.spades.006_2_198	K02036
maxbin2.spades.006_2_199	K02039
maxbin2.spades.006_2_200	K19221
maxbin2.spades.006_2_201	K06147
maxbin2.spades.006_2_202	K06147
maxbin2.spades.006_2_204	K13993
maxbin2.spades.006_2_206	K00297
maxbin2.spades.006_2_208	K01438
maxbin2.spades.006_2_208	K01439

maxbin2.spades.006_2_211	K07138
maxbin2.spades.006_2_213	K07448
maxbin2.spades.006_2_213	K07449

maxbin2.spades.006_2_216	K13640
maxbin2.spades.006_2_217	K03340
maxbin2.spades.006_2_219	K12527
maxbin2.spades.006_2_220	K20810
maxbin2.spades.006_2_221	K00087
maxbin2.spades.006_2_221	K20447

maxbin2.spades.006_2_222	K03458
maxbin2.spades.006_2_223	K03710
maxbin2.spades.006_2_227	K00384
maxbin2.spades.006_2_228	K03671
maxbin2.spades.006_2_229	K10671
maxbin2.spades.006_2_230	K10670
maxbin2.spades.006_2_231	K10670
maxbin2.spades.006_2_232	K10672
maxbin2.spades.006_2_233	K10672
maxbin2.spades.006_2_234	K21577
maxbin2.spades.006_2_235	K21576
maxbin2.spades.006_2_237	K03325
maxbin2.spades.006_2_238	K07755
maxbin2.spades.006_2_239	K07282
maxbin2.spades.006_2_242	K08591
maxbin2.spades.006_2_243	K00830
maxbin2.spades.006_2_243	K00839

maxbin2.spades.006_2_245	K00941
maxbin2.spades.006_2_247	K00788
maxbin2.spades.006_2_248	K00878
maxbin2.spades.006_2_249	K00632
maxbin2.spades.006_2_253	K03442
maxbin2.spades.006_2_253	K16052

maxbin2.spades.006_2_257	K03386
maxbin2.spades.006_2_259	K08161
maxbin2.spades.006_2_260	K01286
maxbin2.spades.006_2_267	K03709
maxbin2.spades.006_2_271	K19824
maxbin2.spades.006_2_272	K03581
maxbin2.spades.006_2_273	K03100
maxbin2.spades.006_2_274	K03385
maxbin2.spades.006_2_276	K21022
maxbin2.spades.006_2_278	K11443
maxbin2.spades.006_2_280	K15876
maxbin2.spades.006_2_282	K15580
maxbin2.spades.006_2_283	K15581
maxbin2.spades.006_2_284	K02034
maxbin2.spades.006_2_284	K15582

maxbin2.spades.006_2_285	K02031
maxbin2.spades.006_2_285	K15583

maxbin2.spades.006_2_286	K02032
maxbin2.spades.006_2_286	K10823

maxbin2.spades.006_2_287	K06158
maxbin2.spades.006_2_289	K03741
maxbin2.spades.006_2_290	K03710
maxbin2.spades.006_2_291	K01486
maxbin2.spades.006_2_293	K07335
maxbin2.spades.006_2_294	K02056
maxbin2.spades.006_2_295	K02057
maxbin2.spades.006_2_296	K02057
maxbin2.spades.006_2_298	K03518
maxbin2.spades.006_2_300	K07038
maxbin2.spades.006_2_301	K04767
maxbin2.spades.006_2_302	K04768
maxbin2.spades.006_2_303	K04766
maxbin2.spades.006_2_307	K18979
maxbin2.spades.006_2_308	K10543
maxbin2.spades.006_2_309	K06859
maxbin2.spades.006_2_311	K01912
maxbin2.spades.006_2_313	K00817
maxbin2.spades.006_2_314	K02477
maxbin2.spades.006_2_314	K07705

maxbin2.spades.006_2_316	K01448
maxbin2.spades.006_2_318	K00989
maxbin2.spades.006_2_318	K02428

maxbin2.spades.006_2_319	K02428
maxbin2.spades.006_2_320	K07095
maxbin2.spades.006_3_1	K01866
maxbin2.spades.006_3_2	K05366
maxbin2.spades.006_3_2	K12555

maxbin2.spades.006_3_5	K00185
maxbin2.spades.006_3_6	K00184
maxbin2.spades.006_3_10	K07456
maxbin2.spades.006_3_11	K08303
maxbin2.spades.006_3_13	K03652
maxbin2.spades.006_3_14	K09888
maxbin2.spades.006_3_15	K01890
maxbin2.spades.006_3_16	K01889
maxbin2.spades.006_3_17	K03437
maxbin2.spades.006_3_18	K02887
maxbin2.spades.006_3_19	K02916
maxbin2.spades.006_3_20	K02520
maxbin2.spades.006_3_21	K01868
maxbin2.spades.006_3_24	K00382
maxbin2.spades.006_3_26	K00821
maxbin2.spades.006_3_26	K09251

maxbin2.spades.006_3_30	K01431
maxbin2.spades.006_3_37	K01480
maxbin2.spades.006_3_38	K00797
maxbin2.spades.006_3_43	K06942
maxbin2.spades.006_3_45	K00632
maxbin2.spades.006_3_46	K07516
maxbin2.spades.006_3_47	K13770
maxbin2.spades.006_3_50	K01681
maxbin2.spades.006_3_52	K08223
maxbin2.spades.006_3_55	K06333
maxbin2.spades.006_3_56	K06334
maxbin2.spades.006_3_57	K03307
maxbin2.spades.006_3_57	K11928

maxbin2.spades.006_3_58	K09126
maxbin2.spades.006_3_59	K02028
maxbin2.spades.006_3_60	K02029
maxbin2.spades.006_3_60	K16962

maxbin2.spades.006_3_61	K02029
maxbin2.spades.006_3_61	K16962

maxbin2.spades.006_3_62	K02030
maxbin2.spades.006_3_62	K02424

maxbin2.spades.006_3_63	K02030
maxbin2.spades.006_3_63	K02424

maxbin2.spades.006_3_64	K00805
maxbin2.spades.006_3_64	K02523

maxbin2.spades.006_3_65	K16188
maxbin2.spades.006_3_66	K01858
maxbin2.spades.006_3_67	K07281
maxbin2.spades.006_3_67	K07291

maxbin2.spades.006_3_68	K04486
maxbin2.spades.006_3_69	K00720
maxbin2.spades.006_3_72	K02035
maxbin2.spades.006_3_72	K15580

maxbin2.spades.006_3_73	K00763
maxbin2.spades.006_3_74	K08309
maxbin2.spades.006_3_75	K00859
maxbin2.spades.006_3_76	K10563
maxbin2.spades.006_3_77	K02335
maxbin2.spades.006_3_79	K03088
maxbin2.spades.006_3_80	K21903
maxbin2.spades.006_3_84	K00626
maxbin2.spades.006_3_85	K03610
maxbin2.spades.006_3_86	K01571
maxbin2.spades.006_3_86	K01960

maxbin2.spades.006_3_87	K00873
maxbin2.spades.006_3_88	K00850
maxbin2.spades.006_3_90	K06285
maxbin2.spades.006_3_91	K00954
maxbin2.spades.006_3_92	K02337
maxbin2.spades.006_3_96	K03216
maxbin2.spades.006_3_97	K09764
maxbin2.spades.006_3_99	K10773
maxbin2.spades.006_3_100	K00001
maxbin2.spades.006_3_100	K00008

maxbin2.spades.006_3_102	K20447
maxbin2.spades.006_3_102	K20448

maxbin2.spades.006_3_104	K07080
maxbin2.spades.006_3_105	K01821
maxbin2.spades.006_3_107	K20447
maxbin2.spades.006_3_107	K20448

maxbin2.spades.006_3_108	K03518
maxbin2.spades.006_3_108	K13483

maxbin2.spades.006_3_109	K03519
maxbin2.spades.006_3_109	K13479

maxbin2.spades.006_3_110	K10907
maxbin2.spades.006_3_111	K01470
maxbin2.spades.006_3_113	K13922
maxbin2.spades.006_3_113	K15515

maxbin2.spades.006_3_114	K03852
maxbin2.spades.006_3_116	K01151
maxbin2.spades.006_3_117	K07397
maxbin2.spades.006_3_118	K00876
maxbin2.spades.006_3_121	K06207
maxbin2.spades.006_3_122	K02224
maxbin2.spades.006_3_123	K08097
maxbin2.spades.006_3_124	K05979
maxbin2.spades.006_3_125	K01448
maxbin2.spades.006_3_128	K00666
maxbin2.spades.006_3_129	K07052
