	Metabolism	MODULE	NAME	PWY_ID
32	Central carbohydrate metabolism	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	01120
33	Central carbohydrate metabolism	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	00030
34	Central carbohydrate metabolism	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	01200
35	Central carbohydrate metabolism	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	01100
36	Central carbohydrate metabolism	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	01120
37	Central carbohydrate metabolism	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	00030
38	Central carbohydrate metabolism	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	01200
39	Central carbohydrate metabolism	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	01230
40	Central carbohydrate metabolism	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	01100
41	Central carbohydrate metabolism	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	01120
42	Central carbohydrate metabolism	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	00030
43	Central carbohydrate metabolism	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	01200
44	Central carbohydrate metabolism	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	01230
45	Central carbohydrate metabolism	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	01100
46	Central carbohydrate metabolism	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	01120
47	Central carbohydrate metabolism	M00005	PRPP biosynthesis, ribose 5P => PRPP	00030
48	Central carbohydrate metabolism	M00005	PRPP biosynthesis, ribose 5P => PRPP	00230
49	Central carbohydrate metabolism	M00005	PRPP biosynthesis, ribose 5P => PRPP	01200
50	Central carbohydrate metabolism	M00005	PRPP biosynthesis, ribose 5P => PRPP	01230
51	Central carbohydrate metabolism	M00005	PRPP biosynthesis, ribose 5P => PRPP	01100
52	Central carbohydrate metabolism	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	00030
53	Central carbohydrate metabolism	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	01200
54	Central carbohydrate metabolism	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	01100
55	Central carbohydrate metabolism	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	01120
56	Central carbohydrate metabolism	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	00030
57	Central carbohydrate metabolism	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	01200
58	Central carbohydrate metabolism	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	01100
59	Central carbohydrate metabolism	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	01120
60	Central carbohydrate metabolism	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	00030
61	Central carbohydrate metabolism	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	00052
62	Central carbohydrate metabolism	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	01200
63	Central carbohydrate metabolism	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	01100
64	Central carbohydrate metabolism	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	00030
65	Central carbohydrate metabolism	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	00052
66	Central carbohydrate metabolism	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	01200
67	Central carbohydrate metabolism	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	01100
68	Central carbohydrate metabolism	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	01120
69	Other carbohydrate metabolism	M00014	Glucuronate pathway (uronate pathway)	00040
70	Other carbohydrate metabolism	M00014	Glucuronate pathway (uronate pathway)	01100
71	Other carbohydrate metabolism	M00630	D-Galacturonate degradation (fungi), D-galacturonate => glycerol	00040
72	Other carbohydrate metabolism	M00630	D-Galacturonate degradation (fungi), D-galacturonate => glycerol	01100
73	Other carbohydrate metabolism	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	00040
74	Other carbohydrate metabolism	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	00030
75	Other carbohydrate metabolism	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	01100
76	Other carbohydrate metabolism	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	00040
77	Other carbohydrate metabolism	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	00030
78	Other carbohydrate metabolism	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	01100
79	Other carbohydrate metabolism	M00081	Pectin degradation	00040
80	Other carbohydrate metabolism	M00081	Pectin degradation	01100
81	Other carbohydrate metabolism	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	00052
82	Other carbohydrate metabolism	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	01100
83	Other carbohydrate metabolism	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	00052
84	Other carbohydrate metabolism	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	01100
85	Other carbohydrate metabolism	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	00040
86	Other carbohydrate metabolism	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	00053
87	Other carbohydrate metabolism	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	01240
88	Other carbohydrate metabolism	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	01100
89	Other carbohydrate metabolism	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	00051
90	Other carbohydrate metabolism	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	00053
91	Other carbohydrate metabolism	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	01240
92	Other carbohydrate metabolism	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	01100
93	Other carbohydrate metabolism	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	01110
94	Other carbohydrate metabolism	M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	00053
95	Other carbohydrate metabolism	M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	01100
96	Other carbohydrate metabolism	M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	01120
97	Other carbohydrate metabolism	M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	00500
98	Other carbohydrate metabolism	M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	01100
99	Other carbohydrate metabolism	M00855	Glycogen degradation, glycogen => glucose-6P	00500
100	Other carbohydrate metabolism	M00855	Glycogen degradation, glycogen => glucose-6P	01100
101	Other carbohydrate metabolism	M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	00500
102	Other carbohydrate metabolism	M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	01100
103	Other carbohydrate metabolism	M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	01110
104	Other carbohydrate metabolism	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	00520
105	Other carbohydrate metabolism	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	01250
106	Other carbohydrate metabolism	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	01100
107	Other carbohydrate metabolism	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose	00520
108	Other carbohydrate metabolism	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose	00052
109	Other carbohydrate metabolism	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose	01250
110	Other carbohydrate metabolism	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose	01100
111	Other carbohydrate metabolism	M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	00520
112	Other carbohydrate metabolism	M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	01250
113	Other carbohydrate metabolism	M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	01100
114	Other carbohydrate metabolism	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	00520
115	Other carbohydrate metabolism	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	01250
116	Other carbohydrate metabolism	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	01100
117	Other carbohydrate metabolism	M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	00520
118	Other carbohydrate metabolism	M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	01100
119	Other carbohydrate metabolism	M00012	Glyoxylate cycle	00630
120	Other carbohydrate metabolism	M00012	Glyoxylate cycle	01200
121	Other carbohydrate metabolism	M00012	Glyoxylate cycle	01100
122	Other carbohydrate metabolism	M00012	Glyoxylate cycle	01110
123	Other carbohydrate metabolism	M00373	Ethylmalonyl pathway	00630
124	Other carbohydrate metabolism	M00373	Ethylmalonyl pathway	01200
125	Other carbohydrate metabolism	M00373	Ethylmalonyl pathway	01100
126	Other carbohydrate metabolism	M00373	Ethylmalonyl pathway	01120
127	Other carbohydrate metabolism	M00740	Methylaspartate cycle	00020
128	Other carbohydrate metabolism	M00740	Methylaspartate cycle	00250
129	Other carbohydrate metabolism	M00740	Methylaspartate cycle	00630
130	Other carbohydrate metabolism	M00740	Methylaspartate cycle	01200
131	Other carbohydrate metabolism	M00740	Methylaspartate cycle	01100
132	Other carbohydrate metabolism	M00740	Methylaspartate cycle	01120
133	Other carbohydrate metabolism	M00532	Photorespiration	00630
134	Other carbohydrate metabolism	M00532	Photorespiration	01200
135	Other carbohydrate metabolism	M00532	Photorespiration	01100
136	Other carbohydrate metabolism	M00532	Photorespiration	01110
137	Other carbohydrate metabolism	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	00410
138	Other carbohydrate metabolism	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	00640
139	Other carbohydrate metabolism	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	01200
140	Other carbohydrate metabolism	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	01100
141	Other carbohydrate metabolism	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	00280
142	Other carbohydrate metabolism	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	00630
143	Other carbohydrate metabolism	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	00640
144	Other carbohydrate metabolism	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	01200
145	Other carbohydrate metabolism	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	01100
146	Other carbohydrate metabolism	M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	00030
147	Other carbohydrate metabolism	M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	00230
148	Other carbohydrate metabolism	M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	00240
149	Other carbohydrate metabolism	M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	00630
150	Other carbohydrate metabolism	M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	01100
151	Other carbohydrate metabolism	M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	00562
152	Other carbohydrate metabolism	M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	01100
153	Other carbohydrate metabolism	M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	00562
154	Other carbohydrate metabolism	M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	01100
155	Other carbohydrate metabolism	M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	00562
156	Other carbohydrate metabolism	M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	01100
157	Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle)	00710
158	Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle)	01200
159	Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle)	01100
160	Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle)	01120
161	Carbon fixation	M00168	CAM (Crassulacean acid metabolism), dark	00620
162	Carbon fixation	M00168	CAM (Crassulacean acid metabolism), dark	00710
163	Carbon fixation	M00168	CAM (Crassulacean acid metabolism), dark	01200
164	Carbon fixation	M00168	CAM (Crassulacean acid metabolism), dark	01100
165	Carbon fixation	M00168	CAM (Crassulacean acid metabolism), dark	01120
166	Carbon fixation	M00169	CAM (Crassulacean acid metabolism), light	00620
167	Carbon fixation	M00169	CAM (Crassulacean acid metabolism), light	00710
168	Carbon fixation	M00169	CAM (Crassulacean acid metabolism), light	01200
169	Carbon fixation	M00169	CAM (Crassulacean acid metabolism), light	01100
170	Carbon fixation	M00169	CAM (Crassulacean acid metabolism), light	01120
171	Carbon fixation	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	00620
172	Carbon fixation	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	00710
173	Carbon fixation	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	01200
174	Carbon fixation	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	01100
175	Carbon fixation	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	01120
176	Carbon fixation	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	00710
177	Carbon fixation	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	01200
178	Carbon fixation	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	01100
179	Carbon fixation	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	01120
180	Carbon fixation	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	00710
181	Carbon fixation	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	01200
182	Carbon fixation	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	01100
183	Carbon fixation	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	01120
184	Carbon fixation	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	00720
185	Carbon fixation	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	01200
186	Carbon fixation	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	01100
187	Carbon fixation	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	01120
188	Carbon fixation	M00376	3-Hydroxypropionate bi-cycle	00720
189	Carbon fixation	M00376	3-Hydroxypropionate bi-cycle	01200
190	Carbon fixation	M00376	3-Hydroxypropionate bi-cycle	01100
191	Carbon fixation	M00376	3-Hydroxypropionate bi-cycle	01120
192	Carbon fixation	M00375	Hydroxypropionate-hydroxybutylate cycle	00720
193	Carbon fixation	M00375	Hydroxypropionate-hydroxybutylate cycle	01200
194	Carbon fixation	M00375	Hydroxypropionate-hydroxybutylate cycle	01100
195	Carbon fixation	M00375	Hydroxypropionate-hydroxybutylate cycle	01120
196	Carbon fixation	M00374	Dicarboxylate-hydroxybutyrate cycle	00720
197	Carbon fixation	M00374	Dicarboxylate-hydroxybutyrate cycle	01200
198	Carbon fixation	M00374	Dicarboxylate-hydroxybutyrate cycle	01100
199	Carbon fixation	M00374	Dicarboxylate-hydroxybutyrate cycle	01120
200	Carbon fixation	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	00720
201	Carbon fixation	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	01200
202	Carbon fixation	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	01100
203	Carbon fixation	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	01120
204	Carbon fixation	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	00430
205	Carbon fixation	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	00620
206	Carbon fixation	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	00720
207	Carbon fixation	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	01200
208	Carbon fixation	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	01100
209	Carbon fixation	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	01120
210	Carbon fixation	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	00720
211	Carbon fixation	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	01200
212	Carbon fixation	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	01100
213	Carbon fixation	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	01120
214	Methane metabolism	M00567	Methanogenesis, CO2 => methane	00680
215	Methane metabolism	M00567	Methanogenesis, CO2 => methane	01200
216	Methane metabolism	M00567	Methanogenesis, CO2 => methane	01100
217	Methane metabolism	M00567	Methanogenesis, CO2 => methane	01120
218	Methane metabolism	M00357	Methanogenesis, acetate => methane	00680
219	Methane metabolism	M00357	Methanogenesis, acetate => methane	01200
220	Methane metabolism	M00357	Methanogenesis, acetate => methane	01100
221	Methane metabolism	M00357	Methanogenesis, acetate => methane	01120
222	Methane metabolism	M00356	Methanogenesis, methanol => methane	00680
223	Methane metabolism	M00356	Methanogenesis, methanol => methane	01200
224	Methane metabolism	M00356	Methanogenesis, methanol => methane	01100
225	Methane metabolism	M00356	Methanogenesis, methanol => methane	01120
226	Methane metabolism	M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	00680
227	Methane metabolism	M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	01200
228	Methane metabolism	M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	01100
229	Methane metabolism	M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	01120
230	Methane metabolism	M00358	Coenzyme M biosynthesis	00680
231	Methane metabolism	M00358	Coenzyme M biosynthesis	01240
232	Methane metabolism	M00358	Coenzyme M biosynthesis	01100
233	Methane metabolism	M00358	Coenzyme M biosynthesis	01120
234	Methane metabolism	M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	00300
235	Methane metabolism	M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	00680
236	Methane metabolism	M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	01210
237	Methane metabolism	M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	01230
238	Methane metabolism	M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	01240
239	Methane metabolism	M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	01100
240	Methane metabolism	M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	01120
241	Methane metabolism	M00174	Methane oxidation, methanotroph, methane => formaldehyde	00680
242	Methane metabolism	M00174	Methane oxidation, methanotroph, methane => formaldehyde	01200
243	Methane metabolism	M00174	Methane oxidation, methanotroph, methane => formaldehyde	01220
244	Methane metabolism	M00174	Methane oxidation, methanotroph, methane => formaldehyde	01100
245	Methane metabolism	M00174	Methane oxidation, methanotroph, methane => formaldehyde	01120
246	Methane metabolism	M00346	Formaldehyde assimilation, serine pathway	00680
247	Methane metabolism	M00346	Formaldehyde assimilation, serine pathway	01200
248	Methane metabolism	M00346	Formaldehyde assimilation, serine pathway	01100
249	Methane metabolism	M00346	Formaldehyde assimilation, serine pathway	01120
250	Methane metabolism	M00345	Formaldehyde assimilation, ribulose monophosphate pathway	00030
251	Methane metabolism	M00345	Formaldehyde assimilation, ribulose monophosphate pathway	00680
252	Methane metabolism	M00345	Formaldehyde assimilation, ribulose monophosphate pathway	01200
253	Methane metabolism	M00345	Formaldehyde assimilation, ribulose monophosphate pathway	01230
254	Methane metabolism	M00345	Formaldehyde assimilation, ribulose monophosphate pathway	01100
255	Methane metabolism	M00345	Formaldehyde assimilation, ribulose monophosphate pathway	01120
256	Methane metabolism	M00344	Formaldehyde assimilation, xylulose monophosphate pathway	00680
257	Methane metabolism	M00344	Formaldehyde assimilation, xylulose monophosphate pathway	01200
258	Methane metabolism	M00344	Formaldehyde assimilation, xylulose monophosphate pathway	01100
259	Methane metabolism	M00344	Formaldehyde assimilation, xylulose monophosphate pathway	01120
260	Methane metabolism	M00378	F420 biosynthesis, archaea	00680
261	Methane metabolism	M00378	F420 biosynthesis, archaea	01240
262	Methane metabolism	M00378	F420 biosynthesis, archaea	01100
263	Methane metabolism	M00378	F420 biosynthesis, archaea	01120
264	Methane metabolism	M00935	Methanofuran biosynthesis	00680
265	Methane metabolism	M00935	Methanofuran biosynthesis	01240
266	Methane metabolism	M00935	Methanofuran biosynthesis	01100
267	Methane metabolism	M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	00680
268	Methane metabolism	M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	01200
269	Methane metabolism	M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	01100
270	Methane metabolism	M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	01120
271	Nitrogen metabolism	M00175	Nitrogen fixation, nitrogen => ammonia	00910
272	Nitrogen metabolism	M00175	Nitrogen fixation, nitrogen => ammonia	01100
273	Nitrogen metabolism	M00175	Nitrogen fixation, nitrogen => ammonia	01120
274	Nitrogen metabolism	M00531	Assimilatory nitrate reduction, nitrate => ammonia	00910
275	Nitrogen metabolism	M00531	Assimilatory nitrate reduction, nitrate => ammonia	01100
276	Nitrogen metabolism	M00531	Assimilatory nitrate reduction, nitrate => ammonia	01120
277	Nitrogen metabolism	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	00910
278	Nitrogen metabolism	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	01100
279	Nitrogen metabolism	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	01120
280	Nitrogen metabolism	M00529	Denitrification, nitrate => nitrogen	00910
281	Nitrogen metabolism	M00529	Denitrification, nitrate => nitrogen	01100
282	Nitrogen metabolism	M00529	Denitrification, nitrate => nitrogen	01120
283	Nitrogen metabolism	M00528	Nitrification, ammonia => nitrite	00910
284	Nitrogen metabolism	M00528	Nitrification, ammonia => nitrite	01100
285	Nitrogen metabolism	M00528	Nitrification, ammonia => nitrite	01120
286	Nitrogen metabolism	M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	00910
287	Nitrogen metabolism	M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	01100
288	Nitrogen metabolism	M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	01120
289	Nitrogen metabolism	M00973	Anammox, nitrite + ammonia => nitrogen	00910
