99980 Enzymes with EC numbers
K00046 idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K18855 E1.1.1.374; UDP-N-acetylglucosamine 3-dehydrogenase [EC:1.1.1.374]
K19711 E1.1.1.387; L-serine 3-dehydrogenase (NAD+) [EC:1.1.1.387]
K20939 ind2; beta-methylindole-3-pyruvate reductase [EC:1.1.1.397]
K21101 isoH; 2-glutathionyl-2-methylbut-3-en-1-ol dehydrogenase [EC:1.1.1.398]
K25634 hgdH; 2-oxoglutarate reductase [EC:1.1.1.399]
K20927 mpdB; 2-methyl-1,2-propanediol dehydrogenase [EC:1.1.1.400]
K21054 eryB; D-erythritol 1-phosphate dehydrogenase [EC:1.1.1.402]
K20900 dthD; D-threitol dehydrogenase (NAD+) [EC:1.1.1.403]
K21702 gatDH; galactitol 2-dehydrogenase (L-tagatose-forming) [EC:1.1.1.406]
K21616 znd; D-altritol 5-dehydrogenase [EC:1.1.1.407]
K22024 pdxA2; 4-phospho-D-threonate 3-dehydrogenase / 4-phospho-D-erythronate 3-dehydrogenase [EC:1.1.1.408 1.1.1.409]
K22025 denD; D-erythronate 2-dehydrogenase [EC:1.1.1.410]
K08319 ltnD; L-threonate 2-dehydrogenase [EC:1.1.1.411]
K22320 oleD; 2-alkyl-3-oxoalkanoate reductase [EC:1.1.1.412]
K22322 barS1; A-factor type gamma-butyrolactone 1'-reductase (1S-forming) [EC:1.1.1.413]
K23557 sdmB; 3beta-hydroxysteroid-4beta-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.417]
K23244 apsD; D-apiose dehydrogenase [EC:1.1.1.420]
K23245 apnO; D-apionate oxidoisomerase [EC:1.1.1.421]
K24995 E1.1.1.425; levoglucosan dehydrogenase [EC:1.1.1.425]
K26057 smoB, squF; 6-dehydroglucose reductase [EC:1.1.1.432]
K06607 iolS; myo-inositol catabolism protein IolS [EC:1.1.1.-]
K08317 hcxA; hydroxycarboxylate dehydrogenase A [EC:1.1.1.-]
K11162 RDH14; retinol dehydrogenase 14 [EC:1.1.1.-]
K19265 gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]
K19954 adh1; alcohol dehydrogenase [EC:1.1.1.-]
K19955 adh2; alcohol dehydrogenase [EC:1.1.1.-]
K21416 acoA; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]
K21417 acoB; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]
K23271 eltD; erythritol/L-threitol dehydrogenase [EC:1.1.1.-]
K24425 SDR9C7; short-chain dehydrogenase/reductase family 9C member 7 [EC:1.1.1.-]
K05889 pvadh; polyvinyl alcohol dehydrogenase (cytochrome) [EC:1.1.2.6]
K20936 bdh; 1-butanol dehydrogenase (cytochrome c) [EC:1.1.2.9]
K26059 gtd1; glucoside 3-dehydrogenase (cytochrome c) catalytic subunit [EC:1.1.2.11]
K05888 K05888; L-gulono-1,4-lactone dehydrogenase [EC:1.1.2.-]
K10530 lctO; L-lactate oxidase [EC:1.1.3.2]
K23272 P2OX; pyranose oxidase [EC:1.1.3.10]
K17756 FAO3; long-chain-alcohol oxidase [EC:1.1.3.20]
K26080 E1.1.3.29; N-acylhexosamine oxidase [EC:1.1.3.29]
K20153 VAOA; vanillyl-alcohol oxidase [EC:1.1.3.38]
K20550 SOL5; prosolanapyrone-II oxidase / prosolanapyrone-III cycloisomerase [EC:1.1.3.42 5.5.1.20]
K21270 ChuaMOX; (R)-mandelonitrile oxidase [EC:1.1.3.49]
K26081 carA; C-glycoside oxidase [EC:1.1.3.50]
K20937 boh; 1-butanol dehydrogenase (quinone) [EC:1.1.5.11]
K23273 fdhL; fructose 5-dehydrogenase large subunit [EC:1.1.5.14]
K23274 fdhS; fructose 5-dehydrogenase small subunit [EC:1.1.5.14]
K21430 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]
K17760 qheDH, qbdA; quinohemoprotein ethanol dehydrogenase [EC:1.1.9.1]
K15510 fgd1; coenzyme F420-dependent glucose-6-phosphate dehydrogenase [EC:1.1.98.2]
K16653 dprE1; decaprenylphospho-beta-D-ribofuranose 2-oxidase [EC:1.1.98.3]
K22171 fqoA; F420H2:quinone oxidoreductase subunit A [EC:1.1.98.4]
K22172 fqoBC; F420H2:quinone oxidoreductase subunit B/C [EC:1.1.98.4]
K22173 fqoD; F420H2:quinone oxidoreductase subunit D [EC:1.1.98.4]
K22174 fqoF; F420H2:quinone oxidoreductase subunit F [EC:1.1.98.4]
K22175 fqoH; F420H2:quinone oxidoreductase subunit H [EC:1.1.98.4]
K22176 fqoI; F420H2:quinone oxidoreductase subunit I [EC:1.1.98.4]
K22177 fqoJ; F420H2:quinone oxidoreductase subunit J [EC:1.1.98.4]
K22178 fqoK; F420H2:quinone oxidoreductase subunit K [EC:1.1.98.4]
K22179 fqoL; F420H2:quinone oxidoreductase subunit L [EC:1.1.98.4]
K22180 fqoM; F420H2:quinone oxidoreductase subunit M [EC:1.1.98.4]
K22181 fqoN; F420H2:quinone oxidoreductase subunit N [EC:1.1.98.4]
K21835 adf; secondary-alcohol dehydrogenase (coenzyme-F420) [EC:1.1.98.5]
K24118 atsB; serine-type anaerobic sulfatase-maturating enzyme [EC:1.1.98.7]
K00120 fgd2; F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]
K00540 fqr; F420H(2)-dependent quinone reductase [EC:1.1.98.-]
K19069 CDH; cellobiose dehydrogenase (acceptor) [EC:1.1.99.18]
K11173 ADHFE1; hydroxyacid-oxoacid transhydrogenase [EC:1.1.99.24]
K00118 gfo; glucose-fructose oxidoreductase [EC:1.1.99.28]
K20154 PDH; pyranose dehydrogenase [EC:1.1.99.29]
K00119 E1.1.99.36; alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]
K18204 D2HGDH; D-2-hydroxyglutarate dehydrogenase [EC:1.1.99.39]
K11163 DHRS1; dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-]
K11164 DHRS2; dehydrogenase/reductase SDR family member 2 [EC:1.1.-.-]
K11165 DHRS7; dehydrogenase/reductase SDR family member 7 [EC:1.1.-.-]
K11166 DHRS7B; dehydrogenase/reductase SDR family member 7B [EC:1.1.-.-]
K11167 DHRS7C; dehydrogenase/reductase SDR family member 7C [EC:1.1.-.-]
K11168 DHRS12; dehydrogenase/reductase SDR family member 12 [EC:1.1.-.-]
K11169 DHRS13; dehydrogenase/reductase SDR family member 13 [EC:1.1.-.-]
K11170 DHRSX; dehydrogenase/reductase SDR family member X [EC:1.1.-.-]
K23107 yajO; 1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]
K25787 HSD17B13; hydroxysteroid 17beta dehydrogenase 13 [EC:1.1.-.-]
K21682 PNO; pyruvate dehydrogenase (NADP+) [EC:1.2.1.51]
K00154 E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K14330 K14330; fatty aldehyde-generating acyl-ACP reductase [EC:1.2.1.80]
K20548 ahgd; 3,6-anhydro-alpha-L-galactose dehydrogenase [EC:1.2.1.92]
K20928 mpdC; 2-hydroxy-2-methylpropanal dehydrogenase [EC:1.2.1.98]
K00155 LNAA, LNBA; L-tyrosine reductase [EC:1.2.1.101]
K25224 gapdh; glyceraldehyde-3-phosphate dehydrogenase (arsenate-transferring) [EC:1.2.1.107]
K18601 K18601; aldehyde dehydrogenase [EC:1.2.1.-]
K23463 tgnC; (Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase [EC:1.2.1.-]
K20929 GLX; glyoxal/methylglyoxal oxidase [EC:1.2.3.15]
K03518 coxS; aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]
K03519 coxM, cutM; aerobic carbon-monoxide dehydrogenase medium subunit [EC:1.2.5.3]
K03520 coxL, cutL; aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]
K00179 iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180 iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K04090 E1.2.7.8; indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
K19070 oorA; oxalate oxidoreductase subunit alpha [EC:1.2.7.10]
K19071 oorB; oxalate oxidoreductase subunit beta [EC:1.2.7.10]
K19072 oorD; oxalate oxidoreductase subunit delta [EC:1.2.7.10]
K07469 mop; aldehyde oxidoreductase [EC:1.2.99.7]
K14728 K14728; phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase [EC:1.2.-.-]
K22419 VEP1; Delta4-3-oxosteroid 5beta-reductase [EC:1.3.1.3]
K00219 fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K08070 E1.3.1.74; 2-alkenal reductase [EC:1.3.1.74]
K21838 DBR2; artemisinic aldehyde Delta11(13)-reductase [EC:1.3.1.92]
K21149 SSL-2; botryococcus squalene synthase [EC:1.3.1.96]
K21150 SSL-3; botryococcene synthase [EC:1.3.1.97]
K19825 DBR; 2-alkenal reductase (NADP+) [EC:1.3.1.102]
K21839 caa43; 2-haloacrylate reductase [EC:1.3.1.103]
K18980 EO, FaQR; 2-methylene-furan-3-one reductase [EC:1.3.1.105]
K20145 SARED1; sanguinarine reductase [EC:1.3.1.107]
K22430 carC; caffeyl-CoA reductase-Etf complex subunit CarC [EC:1.3.1.108]
K22431 carD; caffeyl-CoA reductase-Etf complex subunit CarD [EC:1.3.1.108]
K22432 carE; caffeyl-CoA reductase-Etf complex subunit CarE [EC:1.3.1.108]
K21102 ANR; anthocyanidin reductase [(2S)-flavan-3-ol-forming] [EC:1.3.1.112]
K22462 bprA; (4-alkanoyl-5-oxo-2,5-dihydrofuran-3-yl)methyl phosphate reductase [EC:1.3.1.113]
K23738 chcA; cyclohexane-1-carbonyl-CoA reductase (NADP+) [EC:1.3.1.120]
K24002 cmlC, papC; 4-amino-4-deoxyprephenate dehydrogenase [EC:1.3.1.121]
K23968 AmiISY; 8-oxogeranial reductase [EC:1.3.1.123]
K13236 DECR1; 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial [EC:1.3.1.124]
K27180 K27180; 2-epi-5-epi-valiolone dehydrogenase / demethylgadusol O-methyltransferase [EC:1.3.1.126 2.1.1.391]
K00258 SWNR; swainsonine biosynthesis oxidoreductase SwnR [EC:1.3.1.-]
K23050 PCBER1; phenylcoumaran benzylic ether reductase [EC:1.3.1.-]
K23065 SWNN; swainsonine biosynthesis oxidoreductase SwnN [EC:1.3.1.-]
K23256 curA; NADPH-dependent curcumin reductase [EC:1.3.1.-]
K24219 TECRL; trans-2,3-enoyl-CoA reductase-like [EC:1.3.1.-]
K06137 pqqC; pyrroloquinoline-quinone synthase [EC:1.3.3.11]
K21375 albA; albonoursin synthase [EC:1.3.3.13]
K05897 patGox; oxazoline/thiazoline dehydrogenase [EC:1.3.3.16]
K25759 iaaF; benzylmalonyl-CoA dehydrogenase [EC:1.3.3.17]
K08297 caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]
K24016 acdA; 3-(aryl)acrylate reductase [EC:1.3.8.15]
K18561 FRD; FAD-dependent fumarate reductase [EC:1.3.8.-]
K24696 mftC; [mycofactocin precursor peptide]-tyrosine decarboxylase / 3-amino-5-[(4-hydroxyphenyl)methyl]-4,4-dimethylpyrrolidin-2-one synthase [EC:1.3.98.7 4.1.99.26]
K07302 iorA; isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]
K07303 iorB; isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]
K21818 cypD; cypemycin cysteine dehydrogenase (decarboxylating) [EC:1.3.99.36]
K21401 menJ; menaquinone-9 beta-reductase [EC:1.3.99.38]
K00257 mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]
K18244 mmgC; acyl-CoA dehydrogenase [EC:1.3.99.-]
K22818 fadE26; 3-oxocholest-4-en-26-oyl-CoA dehydrogenase alpha subunit [EC:1.3.99.-]
K22819 fadE27; 3-oxocholest-4-en-26-oyl-CoA dehydrogenase beta subunit [EC:1.3.99.-]
K22820 fadE34; 3-oxochol-4-en-24-oyl-CoA dehydrogenase [EC:1.3.99.-]
K22821 fadE28; 3-oxo-4-pregnene-20-carboxyl-CoA dehydrogenase alpha subunit [EC:1.3.99.-]
K22822 fadE29; 3-oxo-4-pregnene-20-carboxyl-CoA dehydrogenase beta subunit [EC:1.3.99.-]
K25950 amdH; secondary-alkyl amine dehydrogenase [NAD(P)+] [EC:1.4.1.28]
K00277 LOX; protein-lysine 6-oxidase [EC:1.4.3.13]
K17831 lodA; L-lysine 6-oxidase [EC:1.4.3.20]
K24693 mftD; pre-mycofactocin synthase [EC:1.4.3.26]
K26346 HSO; homospermidine oxidase [EC:1.4.3.27]
K00280 LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K14678 LOXL1; lysyl oxidase-like protein 1 [EC:1.4.3.-]
K05300 K05300; L-amino acid dehydrogenase [EC:1.4.5.-]
K23235 TADH; tauropine dehydrogenase [EC:1.5.1.23]
K00298 ceo; N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
K04940 odh; opine dehydrogenase [EC:1.5.1.28]
K06988 fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
K19809 RIR; 2-methyl-1-pyrroline reductase [EC:1.5.1.48]
K17833 FAP2; L-saccharopine oxidase [EC:1.5.3.18]
K19817 fprA; coenzyme F420H2 oxidase [EC:1.5.3.22]
K25951 K25951; fructosyl amine oxidase (glucosone-forming) [EC:1.5.3.25]
K25952 socD; fructosyl amine oxidase (glucosone-forming) [EC:1.5.3.25]
K02846 solA; N-methyl-L-tryptophan oxidase [EC:1.5.3.-]
K22551 hpbA; N-methyl-L-proline demethylase [EC:1.5.3.-]
K00311 ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00313 fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K22162 fpoF; F420H2 dehydrogenase subunit F [EC:1.5.7.2 1.5.98.3]
K22158 fpoA; F420H2 dehydrogenase subunit A [EC:1.5.98.3]
K22159 fpoB; F420H2 dehydrogenase subunit B [EC:1.5.98.3]
K22160 fpoC; F420H2 dehydrogenase subunit C [EC:1.5.98.3]
K22161 fpoD; F420H2 dehydrogenase subunit D [EC:1.5.98.3]
K22163 fpoH; F420H2 dehydrogenase subunit H [EC:1.5.98.3]
K22164 fpoI; F420H2 dehydrogenase subunit I [EC:1.5.98.3]
K22165 fpoJ; F420H2 dehydrogenase subunit J [EC:1.5.98.3]
K22166 fpoK; F420H2 dehydrogenase subunit K [EC:1.5.98.3]
K22167 fpoL; F420H2 dehydrogenase subunit L [EC:1.5.98.3]
K22168 fpoM; F420H2 dehydrogenase subunit M [EC:1.5.98.3]
K22169 fpoN; F420H2 dehydrogenase subunit N [EC:1.5.98.3]
K22170 fpoO; F420H2 dehydrogenase subunit O [EC:1.5.98.3]
K00327 POR; NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
K17870 nox1; NADH oxidase (H2O2-forming) [EC:1.6.3.3]
K17869 nox2; NADH oxidase (H2O-forming) [EC:1.6.3.4]
K22405 fprA1_2; NADH oxidase (H2O-forming) [EC:1.6.3.4]
K18208 RNLS; renalase [EC:1.6.3.5]
K23842 lpdA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
