02048 Prokaryotic defense system [BR:ko02048]
K15342 cas1; CRISP-associated protein Cas1
K18863 rdlA_B_C_D; sRNA antisense regulator of LdrA/B/C/D protein
K19148 tisB; small toxic protein TisB
K18526 istR; sRNA antisense regulator of TisB protein
K19149 ibsA; small toxic protein IbsA
K19150 ibsB; small toxic protein IbsB
K19151 ibsC; small toxic protein IbsC
K19152 ibsD; small toxic protein IbsD
K19153 ibsE; small toxic protein IbsE
K18864 sibA; sRNA antisense regulator of IbsA protein
K18865 sibB; sRNA antisense regulator of IbsB protein
K18867 sibC; sRNA antisense regulator of IbsC protein
K18868 sibD; sRNA antisense regulator of IbsD protein
K18869 sibE; sRNA antisense regulator of IbsE protein
K19154 shoB; small toxic protein ShoB
K18872 ohsC; sRNA antisense regulator of ShoB protein
K19779 ralR; endodeoxyribonuclease RalR [EC:3.1.-.-]
K19780 ralA, rcbA; antisense regulator of RalR protein
K07171 mazF, ndoA, chpA; mRNA interferase MazF [EC:3.1.-.-]
K07172 mazE, chpAI; antitoxin MazE
K26981 mazE1; antitoxin MazE1
K26982 mazE2; antitoxin MazE2
K26983 mazE3; antitoxin MazE3
K26984 mazE4; antitoxin MazE4
K26985 mazE5; antitoxin MazE5
K26986 mazE6; antitoxin MazE6
K26987 mazE7; antitoxin MazE7
K26988 mazE8; antitoxin MazE8
K26989 mazE9; antitoxin MazE9
K07723 ndoAI; CopG family transcriptional regulator / antitoxin EndoAI
K18841 chpB, chpBK; mRNA interferase ChpB [EC:3.1.-.-]
K18842 chpS, chpBI; antitoxin ChpS
K19155 yhaV; toxin YhaV [EC:3.1.-.-]
K19156 prlF, sohA; antitoxin PrlF
K06218 relE, stbE; mRNA interferase RelE/StbE
K18918 relB; RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB
K18923 stbD; antitoxin StbD
K19157 yafQ; mRNA interferase YafQ [EC:3.1.-.-]
K07473 dinJ; DNA-damage-inducible protein J
K19158 yoeB; toxin YoeB [EC:3.1.-.-]
K19159 yefM; antitoxin YefM
K07154 hipA; serine/threonine-protein kinase HipA [EC:2.7.11.1]
K15773 hipB; HTH-type transcriptional regulator / antitoxin HipB
K07339 hicA; mRNA interferase HicA [EC:3.1.-.-]
K18843 hicB; antitoxin HicB
K19160 yafO; mRNA interferase YafO [EC:3.1.-.-]
K19161 yafN; antitoxin YafN
K05839 hha; haemolysin expression modulating protein
K19162 tomB; hha toxicity modulator TomB
K03973 pspC; phage shock protein C
K03970 pspB; phage shock protein B
K19163 ccdB; toxin CcdB
K19164 ccdA; antitoxin CcdA
K19092 parE1_3_4; toxin ParE1/3/4
K19093 parE2; toxin ParE2
K07746 parD1_3_4; antitoxin ParD1/3/4
K19094 parD2; antitoxin ParD2
K07341 doc; death on curing protein
K19165 phd; antitoxin Phd
K19166 higB; mRNA interferase HigB [EC:3.1.-.-]
K07334 higB-1; toxin HigB-1
K18831 higA; HTH-type transcriptional regulator / antitoxin HigA
K21498 higA-1; antitoxin HigA-1
K13651 mqsR; motility quorum-sensing regulator / GCU-specific mRNA interferase toxin
K13655 mqsA; HTH-type transcriptional regulator / antitoxin MqsA
K18828 mvpA, vapC; tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]
K18829 mvpT, vapB; antitoxin VapB
K19686 vapC; ribonuclease VapC [EC:3.1.-.-]
K19687 vapB; antitoxin VapB
K16214 pezT; UDP-N-acetylglucosamine kinase [EC:2.7.1.176]
K18830 pezA; HTH-type transcriptional regulator / antitoxin PezA
K21487 yobL; toxin YobL [EC:3.1.-.-]
K21488 yobK; antitoxin YobK
K21489 yokI; toxin YokI [EC:3.1.-.-]
K21490 yokJ; antitoxin YokJ
K21491 yqcG; toxin YqcG [EC:3.1.-.-]
K21492 yqcF; antitoxin YqcF
K21493 yxiD; toxin YxiD [EC:3.1.-.-]
K21494 yxxD; antitoxin YxxD
K07062 fitB; toxin FitB [EC:3.1.-.-]
K21495 fitA; antitoxin FitA
K21496 BC_0920; toxin [EC:3.1.-.-]
K21497 BC_0921; antitoxin
K19334 tabA; biofilm protein TabA
K13650 mcbA; MqsR-controlled colanic acid and biofilm protein A
K12148 bssS; biofilm regulator BssS
K19688 bssR; biofilm regulator BssR
K12151 bhsA; multiple stress resistance protein BhsA
K03531 ftsZ; cell division protein FtsZ
K03569 mreB; rod shape-determining protein MreB and related proteins
K02621 parC; topoisomerase IV subunit A [EC:5.6.2.2]
K02622 parE; topoisomerase IV subunit B [EC:5.6.2.2]
K01885 EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]
K07060 nob1; endoribonuclease Nob1 [EC:3.1.-.-]
K19167 abiQ; protein AbiQ
K18837 cbtA; cytoskeleton-binding toxin CbtA and related proteins
K18838 cbeA; cytoskeleton bundling-enhancing protein CbeA and related proteins
K19168 cptA; toxin CptA
K09159 cptB; antitoxin CptB
K18839 ghoT; toxin GhoT
K18840 ghoS; antitoxin GhoS
K04487 iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]
K19169 dndB; DNA sulfur modification protein DndB
K19170 dndC; DNA sulfur modification protein DndC
K19171 dndD; DNA sulfur modification protein DndD
K19172 dndE; DNA sulfur modification protein DndE
K19173 dptF; DNA phosphorothioation-dependent restriction protein DptF
K19174 dptG; DNA phosphorothioation-dependent restriction protein DptG
K19175 dptH; DNA phosphorothioation-dependent restriction protein DptH
